0	Libanius	CityOfBirth	Antioch	Section	1	Antioch	exact	Libanius was born into a once-influential, deeply cultured family of Antioch	http://nif.dbpedia.org/wiki/en/Libanius?dbpv=2016-10&nif=word&char=323,330
1	Moshe Safdie	CityOfBirth	Haifa	Section	1	Haifa	exact	Moshe Safdie was born in Haifa	http://nif.dbpedia.org/wiki/en/Moshe_Safdie?dbpv=2016-10&nif=word&char=260,265
3	Theodoret	CityOfBirth	Antioch	Section	1	Antioch	exact	According to Tillemont, he was born at Antioch	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=word&char=508,515
3	Theodoret	CityOfBirth	Antioch	Section	1	Antioch	exact	According to Tillemont, he was born at Antioch in 393, and died either at Cyrrhus ("about a two-days' journey east of Antioch	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=word&char=587,594
3	Theodoret	CityOfBirth	Antioch	Abstract	0	School of Antioch	partial	Theodoret of Cyrus or Cyrrhus (Greek: Θεοδώρητος Κύρρου; c. AD 393 – c. 458/466) was an influential theologian of the School of Antioch	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=phrase&char=118,135
3	Theodoret	CityOfBirth	Antioch	Section	6	István Pásztori-Kupán: Theodoret of Cyrus’s Double Treatise On the Trinity and On the Incarnation: The Antiochene Pathway to Chalcedon (PhD thesis)	partial	 * "Theodoret of Cyrus". The Crossroads Iniative.  * Theodoret's works at CCEL  * Greek Opera Omnia by Migne Patrologia Graeca, with analytical indexes and concordances made on the whole writings  * István Pásztori-Kupán: Theodoret of Cyrus’s Double Treatise On the Trinity and On the Incarnation: The Antiochene Pathway to Chalcedon (PhD thesis)	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=phrase&char=17919,18066
3	Theodoret	CityOfBirth	Antioch	Section	3.1	school of Antioch	partial	In principle his exegesis is grammatical-historical; and he criticizes the intrusion of the author's own ideas. His aim is to avoid a one-sidedness of literalness as well as of allegory. Hence he protests against the attributing of The Song of Songs to Solomon and the like as degrading the Holy Spirit. Rather is it to be said that the Scripture speaks often "figuratively" and "in riddles." In the Old Testament everything has typological significance and prophetically it embodies already the Christian doctrine. The divine illumination affords the right understanding after the apostolic suggestion and the New Testament fulfilment. Valuable though not binding is the exegetical tradition of the ecclesiastical teachers. Theodoret likes to choose the best among various interpretations before him, preferably Theodore's, and supplements from his own. He is clear and simple in thought and statement; and his merit is to have rescued the exegetical heritage of the school of Antioch	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=phrase&char=9440,9457
3	Theodoret	CityOfBirth	Antioch	Section	2	John I of Antioch	partial	Theodoret stands out prominently in the christological controversies aroused by Cyril of Alexandria. Theodoret shared in the petition of John I of Antioch	http://nif.dbpedia.org/wiki/en/Theodoret?dbpv=2016-10&nif=phrase&char=3619,3636
4	Doron Zeilberger	CityOfBirth	Haifa	Abstract	0	Haifa	exact	Doron Zeilberger (דורון ציילברגר, born 2 July 1950 in Haifa	http://nif.dbpedia.org/wiki/en/Doron_Zeilberger?dbpv=2016-10&nif=word&char=54,59
5	Arik Benado	CityOfBirth	Haifa	Section	1	Maccabi Haifa	partial	He was a second generation player at Maccabi Haifa; his father, Shlomo, appeared for Haifa in the 1970s. Arik began playing at the age of nine, rising through the ranks to the senior team. He spent a two-year spell with Beitar Jerusalem in the mid-1990s to gain experience. He has won five league championships and a State Cup title with Maccabi. Benado is also a long-standing member of the Israeli national team where he holds the record as the most capped player (94 caps), and plays as a central defender. He is a tough defender, his strength lies in his tackling due to quick foot work. He had successfully defended against top strikers with the club and the national team in Europe. He has also appeared for Maccabi in the UEFA Champions League group stage. Beitar signed him for his second term in the club for the 2006/2007 season.On June 2010, Benado agreed to return to Maccabi Haifa	http://nif.dbpedia.org/wiki/en/Arik_Benado?dbpv=2016-10&nif=phrase&char=1012,1025
