0	Samuel Simons	CityOfResidence	Bridgeport, Connecticut	Section	1	Bridgeport, Connecticut	exact	He was born in Bridgeport, Connecticut	http://nif.dbpedia.org/wiki/en/Samuel_Simons?dbpv=2016-10&nif=phrase&char=271,294
1	Petersen Zagaze	CityOfResidence	Lusaka	Abstract	0	Lusaka	exact	Mukubesa Mundia (born September 28, 1982), better known by his stage name Petersen Zagaze is a Zambian Reggae recording artist, record and producer from Lusaka	http://nif.dbpedia.org/wiki/en/Petersen_Zagaze?dbpv=2016-10&nif=word&char=153,159
4	Alex Amancio	CityOfResidence	Montreal	Abstract	0	Ubisoft Montreal	partial	Amancio joined the Ubisoft Montreal	http://nif.dbpedia.org/wiki/en/Alex_Amancio?dbpv=2016-10&nif=phrase&char=195,211
4	Alex Amancio	CityOfResidence	Montreal	Abstract	0	Ubisoft Montreal	partial	Alexandre Amancio is Chief Creative Officer of Lune Rouge and Co-Founder of Reflector Entertainment Ltd., formerly a Creative Director of Assassin's Creed at Ubisoft Montreal	http://nif.dbpedia.org/wiki/en/Alex_Amancio?dbpv=2016-10&nif=phrase&char=158,174
4	Alex Amancio	CityOfResidence	Montreal	Section	1	Montreal	exact	Amancio was born in the city of Braga, Portugal on February 26, 1976. His Parents, Alexandre and Jacinta, spent their childhoods and most of their early adult years in Angola, Africa before war and violence forced them to move to Portugal, in 1975. In 1979, they emigrated to Montreal	http://nif.dbpedia.org/wiki/en/Alex_Amancio?dbpv=2016-10&nif=word&char=1714,1722
4	Alex Amancio	CityOfResidence	Montreal	Section	1	Montreal	exact	Growing up in Montreal	http://nif.dbpedia.org/wiki/en/Alex_Amancio?dbpv=2016-10&nif=word&char=1772,1780
4	Alex Amancio	CityOfResidence	Montreal	Section	2	Montreal	exact	Amancio lives in Montreal	http://nif.dbpedia.org/wiki/en/Alex_Amancio?dbpv=2016-10&nif=word&char=2794,2802
5	Leonardo DiCaprio	CityOfResidence	Palm Springs, California	Section	3	Palm Springs, California	exact	DiCaprio owns a home in Los Angeles, California and an apartment in Battery Park City, New York. In 2009, he bought an island off mainland Belize, on which he is planning to create an eco-friendly resort. In 2014, he purchased the original Dinah Shore residence designed by mid-century modern architect Donald Wexler in Palm Springs, California	http://nif.dbpedia.org/wiki/en/Leonardo_DiCaprio?dbpv=2016-10&nif=phrase&char=22873,22897
6	Alexander Ogston	CityOfResidence	Aberdeen	Section	5	University of Aberdeen	partial	The Surgical Society of the University of Aberdeen	http://nif.dbpedia.org/wiki/en/Alexander_Ogston?dbpv=2016-10&nif=phrase&char=4542,4564
7	Herbert Dixon (Louisiana politician)	CityOfResidence	Alexandria, Louisiana	Abstract	0	Alexandria, Louisiana	exact	Herbert Bernard Dixon, Sr. (born July 29, 1949), is a Democratic politician from Alexandria, Louisiana	http://nif.dbpedia.org/wiki/en/Herbert_Dixon_(Louisiana_politician)?dbpv=2016-10&nif=phrase&char=81,102
8	Wim Kok	CityOfResidence	Amsterdam	Section	3.2	Treaty of Amsterdam	partial	The main aim of the Cabinet Kok I was to create employment. The Dutch economy had been in a deep recession for years. The market was allowed more influence in the economy. This let to a policy of tax reduction, economizing, and trying to keep people out of the social care by supporting employment; large infrastructural projects were set in motion. Another aim was to make an end to the enormous debt of the Dutch government. The Treaty of Amsterdam	http://nif.dbpedia.org/wiki/en/Wim_Kok?dbpv=2016-10&nif=phrase&char=6645,6664
