Id	S	P	O	Found In	Section	Anchor	Kind of match	Text Segment	Anchor-URI
1	Jacqueline Noonan	Occupation	Cardiologist	Abstract	0	cardiologist	exact	Jacqueline Anne Noonan is a pediatric cardiologist	http://nif.dbpedia.org/wiki/en/Jacqueline_Noonan?dbpv=2016-10&nif=word&char=38,50
4	Chaos (performer)	Occupation	Instructor	Abstract	0	yoga instructor	partial	Chaos is a certified yoga instructor	http://nif.dbpedia.org/wiki/en/Chaos_(performer)?dbpv=2016-10&nif=phrase&char=21,36
7	Lance Comfort	Occupation	Director	Abstract	0	film director	partial	Lance Comfort (11 August 1908 – 25 August 1966) was an English film director	http://nif.dbpedia.org/wiki/en/Lance_Comfort?dbpv=2016-10&nif=phrase&char=63,76
8	Lily Monteverde	Occupation	Producer	Abstract	0	film producer	partial	Lily Monteverde (nickname Mother Lily, who first penned by showbiz columnist Lolit Solis) is a prominent Filipino film producer	http://nif.dbpedia.org/wiki/en/Lily_Monteverde?dbpv=2016-10&nif=phrase&char=114,127
9	Ron Lynch (comedian)	Occupation	Comedian	Abstract	0	stand-up comedian	partial	Ron Lynch is an American stand-up comedian	http://nif.dbpedia.org/wiki/en/Ron_Lynch_(comedian)?dbpv=2016-10&nif=phrase&char=25,42
10	Abigail Breslin	Occupation	Actress	Section	2	Academy Award for Best Supporting Actress	partial	Breslin's breakthrough role was in the 2006 comedy-drama Little Miss Sunshine, where she played Olive Hoover, a beauty pageant contestant, the youngest in a dysfunctional family on a road trip. She was cast at the age of six, years before filming was started. Her co-stars, Greg Kinnear and Alan Arkin, both stated that they were "astounded by her seriousness of purpose during shooting." Little Miss Sunshine was a critical and commercial success, grossing $100 million worldwide. Her performance was highly praised; Claudia Puig of USA Today wrote that, "If Olive had been played by any other little girl, she would not have affected us as mightily as [she] did." She received nominations for the Screen Actors Guild Award and Academy Award for Best Supporting Actress	http://nif.dbpedia.org/wiki/en/Abigail_Breslin?dbpv=2016-10&nif=phrase&char=3122,3163
10	Abigail Breslin	Occupation	Actress	Abstract	0	Academy Award for Best Supporting Actress	partial	Abigail Kathleen Breslin (born April 14, 1996) is an American actress and singer. She appeared in her first commercial when she was three years old, and in her first film, Signs (2002), at the age of five. Her other film roles include Little Miss Sunshine (2006), for which she was nominated for the Academy Award for Best Supporting Actress	http://nif.dbpedia.org/wiki/en/Abigail_Breslin?dbpv=2016-10&nif=phrase&char=300,341
12	Arnold Laven	Occupation	Film	Section	4	film noir	partial	The third feature, Down Three Dark Streets, was another semidocumentary-style film noir	http://nif.dbpedia.org/wiki/en/Arnold_Laven?dbpv=2016-10&nif=phrase&char=3930,3939
13	Arthur Gardner (producer)	Occupation	Actor	Section	3	List of centenarians (actors, filmmakers and entertainers)	partial	 * List of centenarians (actors, filmmakers and entertainers)	http://nif.dbpedia.org/wiki/en/Arthur_Gardner_(producer)?dbpv=2016-10&nif=phrase&char=1415,1473
18	Bernard McConville	Occupation	Screenwriter	Abstract	0	screenwriter	exact	Bernard McConville (October 16, 1887 – December 27, 1961) was an American screenwriter	http://nif.dbpedia.org/wiki/en/Bernard_McConville?dbpv=2016-10&nif=word&char=74,86
19	Brewster Higley	Occupation	Otolaryngologist	Abstract	0	otolaryngologist	exact	Brewster Martin Higley VI (November 30, 1823 - December 9, 1911) was an otolaryngologist	http://nif.dbpedia.org/wiki/en/Brewster_Higley?dbpv=2016-10&nif=word&char=72,88
20	Claire Hamilton (voice actress)	Occupation	Actress	Section	2	Claire Hamilton (voice actress)	partial	 *  Claire Hamilton at the Internet Movie Database  *  Claire Hamilton (voice actress)	http://nif.dbpedia.org/wiki/en/Claire_Hamilton_(voice_actress)?dbpv=2016-10&nif=phrase&char=970,1002
21	Deven Bhojani	Occupation	Actor	Section	3	Filmfare Best Supporting Actor Award	partial	 *  Nominated - Filmfare Best Supporting Actor Award	http://nif.dbpedia.org/wiki/en/Deven_Bhojani?dbpv=2016-10&nif=phrase&char=667,703
