2	Michael I of Romania	Parents	Carol II of Romania	Section	1	Carol II of Romania	exact	Michael was born at Foișor Castle, Sinaia, Romania, the son of Carol II of Romania	http://nif.dbpedia.org/wiki/en/Michael_I_of_Romania?dbpv=2016-10&nif=phrase&char=1414,1433
3	Louise of Great Britain	Parents	Caroline of Ansbach	Abstract	0	Caroline of Ansbach	exact	Louise of Great Britain (originally Louisa; 18 December 1724 – 19 December 1751) was Queen of Denmark and Norway from 1746 until her death, as the first wife of King Frederick V. She was the youngest surviving daughter of George II of Great Britain and Caroline of Ansbach	http://nif.dbpedia.org/wiki/en/Louise_of_Great_Britain?dbpv=2016-10&nif=phrase&char=253,272
4	Chiara Mastroianni	Parents	Catherine Deneuve	Abstract	0	Catherine Deneuve	exact	Chiara Charlotte Mastroianni (born 28 May 1972) is a French-Italian actress and singer. She is the daughter of Marcello Mastroianni and Catherine Deneuve	http://nif.dbpedia.org/wiki/en/Chiara_Mastroianni?dbpv=2016-10&nif=phrase&char=136,153
5	Harold Harefoot	Parents	Cnut the Great	Abstract	0	Cnut the Great	exact	The son of Cnut the Great	http://nif.dbpedia.org/wiki/en/Harold_Harefoot?dbpv=2016-10&nif=phrase&char=318,332
5	Harold Harefoot	Parents	Cnut the Great	Section	1	Cnut the Great	exact	The Anglo-Saxon Chronicle reports that Harold said that he was a son of Cnut the Great	http://nif.dbpedia.org/wiki/en/Harold_Harefoot?dbpv=2016-10&nif=phrase&char=1646,1660
6	Harthacnut	Parents	Cnut the Great	Abstract	0	Cnut the Great	exact	He was the son of King Cnut the Great	http://nif.dbpedia.org/wiki/en/Harthacnut?dbpv=2016-10&nif=phrase&char=193,207
7	Harthacnut	Parents	Emma of Normandy	Abstract	0	Emma of Normandy	exact	He was the son of King Cnut the Great (who ruled Denmark, Norway, and England) and Emma of Normandy	http://nif.dbpedia.org/wiki/en/Harthacnut?dbpv=2016-10&nif=phrase&char=253,269
8	Emperor Go-Daigo	Parents	Emperor Go-Uda	Section	1	Emperor Go-Uda	exact	He was the second son of the Daikakuji-tō emperor, Emperor Go-Uda	http://nif.dbpedia.org/wiki/en/Emperor_Go-Daigo?dbpv=2016-10&nif=phrase&char=834,848
8	Emperor Go-Daigo	Parents	Emperor Go-Uda	Section	1.1	Emperor Go-Uda	exact	 *  1308 (Enkyō 1): At the death of Emperor Go-Nijō, Hanazono accedes to the Chrysanthemum Throne at age 12 years; and Takaharu-shinnō, the second son of former-Emperor Go-Uda	http://nif.dbpedia.org/wiki/en/Emperor_Go-Daigo?dbpv=2016-10&nif=phrase&char=1560,1573
9	Francis III, Duke of Brittany	Parents	Francis I of France	Abstract	0	King Francis I of France	partial	Francis III of Brittany (Breton: Frañsez; French: François; 28 February 1518, in Amboise – 10 August 1536) was Duke of Brittany and Dauphin of Viennois as the first son and heir of King Francis I of France	http://nif.dbpedia.org/wiki/en/Francis_III,_Duke_of_Brittany?dbpv=2016-10&nif=phrase&char=181,205
10	George IV of the United Kingdom	Parents	George III of the United Kingdom	Section	1	George III of the United Kingdom	exact	George was born at St James's Palace, London, on 12 August 1762, the first child of King George III of the United Kingdom	http://nif.dbpedia.org/wiki/en/George_IV_of_the_United_Kingdom?dbpv=2016-10&nif=phrase&char=2058,2090
12	George VI	Parents	George V	Section	5	George VI's coronation	partial	George VI's coronation	http://nif.dbpedia.org/wiki/en/George_VI?dbpv=2016-10&nif=phrase&char=14495,14517
