3	Henry Clay	PartyAfiiliation	Democratic-Republican Party	Section	2.2	Democratic-Republican Party	exact	Clay's legal work earned him a reputation as a defender of the common man, and Clay began dabbling in politics. Like most other Kentuckians, Clay became a member of the Democratic-Republican Party	http://nif.dbpedia.org/wiki/en/Henry_Clay?dbpv=2016-10&nif=phrase&char=10947,10974
18	Pim Fortuyn	PartyAfiiliation	Livable Netherlands	Section	2.1	Livable Netherlands	exact	In 1992 Fortuyn wrote "Aan het volk van Nederland" (To the people of the Netherlands), declaring he was the successor to the charismatic but controversial 18th-century Dutch politician Joan van der Capellen tot den Pol. A one-time communist and former member of the social-democratic Labour Party, Fortuyn was elected "lijsttrekker" of the newly formed Livable Netherlands	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=3106,3125
22	Pim Fortuyn	PartyAfiiliation	People's Party for Freedom and Democracy	Section	5	People's Party for Freedom and Democracy	exact	Fortuyn changed the Dutch political landscape and political culture. The 2002 elections, only weeks after Fortuyn's death, were marked by large losses for the liberal People's Party for Freedom and Democracy	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=13733,13773
22	Pim Fortuyn	PartyAfiiliation	People's Party for Freedom and Democracy	Section	2.2	People's Party for Freedom and Democracy	exact	The assassination shocked many residents of the Netherlands and highlighted the cultural clashes within the country. Various conspiracy theories arose after Pim Fortuyn's murder and deeply affected Dutch politics and society. Politicians from all parties suspended campaigning. After consultation with LPF, the government decided not to postpone the elections. As Dutch law did not permit modifying the ballots, Fortuyn became a posthumous candidate. The LPF made an unprecedented debut in the House of Representatives by winning 26 seats (17% of the 150 seats in the house). The LPF joined a cabinet with the Christian Democratic Appeal and the People's Party for Freedom and Democracy	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=6098,6138
22	Pim Fortuyn	PartyAfiiliation	People's Party for Freedom and Democracy	Section	5	People's Party for Freedom and Democracy	exact	The coalition cabinet of Christian Democratic Appeal, Pim Fortuyn List and People's Party for Freedom and Democracy	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=14891,14931
23	Pim Fortuyn	PartyAfiiliation	Pim Fortuyn List	Section	5	Pim Fortuyn List	exact	Fortuyn changed the Dutch political landscape and political culture. The 2002 elections, only weeks after Fortuyn's death, were marked by large losses for the liberal People's Party for Freedom and Democracy and especially the social democratic Labour Party (whose parliamentary group was halved in size); both parties replaced their leaders shortly after their losses. The election winners were the Pim Fortuyn List	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=13966,13982
23	Pim Fortuyn	PartyAfiiliation	Pim Fortuyn List	Section	5	Pim Fortuyn List	exact	The coalition cabinet of Christian Democratic Appeal, Pim Fortuyn List	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=14870,14886
23	Pim Fortuyn	PartyAfiiliation	Pim Fortuyn List	Abstract	0	Pim Fortuyn List	exact	Wilhelmus Simon Petrus Fortuijn, known as Pim Fortuyn (Dutch: [ˈpɪm fɔrˈtœyn] (13px listen); 19 February 1948 – 6 May 2002), was a Dutch politician, civil servant, sociologist, author and professor who formed his own party, Pim Fortuyn List	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=224,240
23	Pim Fortuyn	PartyAfiiliation	Pim Fortuyn List	Section	2.1	Pim Fortuyn List	exact	On 9 February 2002, he was interviewed by the Volkskrant, a Dutch newspaper (see below). His statements were considered so controversial that the party dismissed him as lijsttrekker the next day. Fortuyn had said that he favoured putting an end to Muslim immigration, if possible. Having been rejected by Livable Netherlands, Fortuyn founded his own party Pim Fortuyn List	http://nif.dbpedia.org/wiki/en/Pim_Fortuyn?dbpv=2016-10&nif=phrase&char=3574,3590
24	Joseph Lyons	PartyAfiiliation	United Australia Party	Abstract	0	United Australia Party	exact	Elected to the Division of Wilmot at the 1929 federal election, Lyons was immediately made a minister in the new government formed by James Scullin. However, he resigned from cabinet in January 1931 over a policy dispute, and two months later left the party altogether. He and several other Labor defectors subsequently helped to form the new United Australia Party	http://nif.dbpedia.org/wiki/en/Joseph_Lyons?dbpv=2016-10&nif=phrase&char=1084,1106
24	Joseph Lyons	PartyAfiiliation	United Australia Party	Section	4	United Australia Party	exact	When Scullin returned in January 1931, he reappointed Theodore (as it had become clear Theodore would not be charged with corruption) to the Cabinet as Treasurer, which Lyons took as a rejection of his own policies. Lyons immediately resigned from the Cabinet, and then in March from the Labor Party. Accompanied by another senior minister in the Scullin government, James Fenton, and four other right-wing Labor MPs, he formed the "All for Australia League" and crossed the floor to sit on the opposition benches. Soon afterward, Lyons and his supporters joined with the opposition Nationalist Party and the Australian Party, a small party led by Hughes, to form a new party, the United Australia Party	http://nif.dbpedia.org/wiki/en/Joseph_Lyons?dbpv=2016-10&nif=phrase&char=5962,5984
34	Abdul Haq Shafaq	PartyAfiiliation	Hezbe Wahdat	Abstract	0	Hezbe Wahdat	exact	Abdul Haq Shafaq is former commander of the Hezbe Wahdat	http://nif.dbpedia.org/wiki/en/Abdul_Haq_Shafaq?dbpv=2016-10&nif=phrase&char=210,222
37	Shimon Peres	PartyAfiiliation	Mapai	Section	1	Mapai	exact	At age 20, he was elected to the HaNoar HaOved VeHaLomed national secretariat, where he was only one of two Mapai	http://nif.dbpedia.org/wiki/en/Shimon_Peres?dbpv=2016-10&nif=word&char=5335,5340
37	Shimon Peres	PartyAfiiliation	Mapai	Section	3	Mapai	exact	Peres was first elected to the Knesset in the 1959 elections, as a member of the Mapai	http://nif.dbpedia.org/wiki/en/Shimon_Peres?dbpv=2016-10&nif=word&char=10677,10682
37	Shimon Peres	PartyAfiiliation	Mapai	Abstract	0	Mapai	exact	In 1963, he held negotiations with U.S. President John F. Kennedy, which resulted in the sale of Hawk anti-aircraft missiles to Israel, the first sale of US military equipment to Israel. On October 26, 1994, Jordan and Israel signed the Israel–Jordan peace treaty, which had been initiated by Israeli Prime Minister Yitzhak Rabin and Foreign Minister Shimon Peres. Peres won the 1994 Nobel Peace Prize together with Yitzhak Rabin and Yasser Arafat for the peace talks that he participated in as Israeli Foreign Minister, producing the Oslo Accords. During his career, he represented five political parties in the Knesset: Mapai	http://nif.dbpedia.org/wiki/en/Shimon_Peres?dbpv=2016-10&nif=word&char=1961,1966
39	Théodore Reinach	PartyAfiiliation	Bloc des gauches	Section	2	Bloc des gauches	exact	In 1886, Théodore Reinach married Charlotte Marie Evelyne Hirsch. They had two daughters but she died at age twenty-six in 1889. Théodore Reinach married a second time in 1891 to Fanny Kann, a daughter of Maximilien Kann and Betty Ephrussi. They made their home in a chateau at La Motte-Servolex in the Savoie department in southeastern France. As a resident there, Théodore Reinach was elected to the Chamber of Deputies of France as a member of the Bloc des gauches	http://nif.dbpedia.org/wiki/en/Théodore_Reinach?dbpv=2016-10&nif=phrase&char=1740,1756
40	Saddam Hussein	PartyAfiiliation	Ba'ath Party	Abstract	0	Iraqi Ba'ath Party	partial	addam Hussein Abd al-Majid al-Tikriti (Arabic: صدام حسين عبد المجيد التكريتي Ṣaddām Ḥusayn ʿAbd al-Maǧīd al-Tikrītī; 28 April 1937 – 30 December 2006) was the fifth President of Iraq, serving in this capacity from 16 July 1979 until 9 April 2003. A leading member of the revolutionary Arab Socialist Ba'ath Party, and later, the Baghdad-based Ba'ath Party and its regional organization the Iraqi Ba'ath Party—	http://nif.dbpedia.org/wiki/en/Saddam_Hussein?dbpv=2016-10&nif=phrase&char=576,594
40	Saddam Hussein	PartyAfiiliation	Ba'ath Party	Abstract	0	Baghdad-based Ba'ath Party	partial	addam Hussein Abd al-Majid al-Tikriti (Arabic: صدام حسين عبد المجيد التكريتي Ṣaddām Ḥusayn ʿAbd al-Maǧīd al-Tikrītī; 28 April 1937 – 30 December 2006) was the fifth President of Iraq, serving in this capacity from 16 July 1979 until 9 April 2003. A leading member of the revolutionary Arab Socialist Ba'ath Party, and later, the Baghdad-based Ba'ath Party 	http://nif.dbpedia.org/wiki/en/Saddam_Hussein?dbpv=2016-10&nif=phrase&char=515,541
40	Saddam Hussein	PartyAfiiliation	Ba'ath Party	Abstract	0	Arab Socialist Ba'ath Party	partial	addam Hussein Abd al-Majid al-Tikriti (Arabic: صدام حسين عبد المجيد التكريتي Ṣaddām Ḥusayn ʿAbd al-Maǧīd al-Tikrītī; 28 April 1937 – 30 December 2006) was the fifth President of Iraq, serving in this capacity from 16 July 1979 until 9 April 2003. A leading member of the revolutionary Arab Socialist Ba'ath Party,	http://nif.dbpedia.org/wiki/en/Saddam_Hussein?dbpv=2016-10&nif=phrase&char=471,498
42	Gerry Fitt	PartyAfiiliation	Social Democratic and Labour Party	Section	3	Social Democratic and Labour Party	exact	In August 1970, Fitt became the first leader of a coalition of civil rights and nationalist leaders who created the Social Democratic and Labour Party	http://nif.dbpedia.org/wiki/en/Gerry_Fitt?dbpv=2016-10&nif=phrase&char=3540,3574
42	Gerry Fitt	PartyAfiiliation	Social Democratic and Labour Party	Abstract	0	Social Democratic and Labour Party	exact	Gerard Fitt, Baron Fitt (9 April 1926 – 26 August 2005) was a politician in Northern Ireland. He was a founder and the first leader of the Social Democratic and Labour Party	http://nif.dbpedia.org/wiki/en/Gerry_Fitt?dbpv=2016-10&nif=phrase&char=139,173
43	Ilie Ilașcu	PartyAfiiliation	Greater Romania Party	Section	2	Greater Romania Party	exact	In October 2000, he received Romanian citizenship, after which he renounced his Moldovan citizenship. In the same year, he was elected to the Senate of Romania for the Greater Romania Party	http://nif.dbpedia.org/wiki/en/Ilie_Ilașcu?dbpv=2016-10&nif=phrase&char=3707,3728
47	Claude Roy (politician)	PartyAfiiliation	Action démocratique du Québec	Abstract	0	Action démocratique du Québec	exact	Claude Roy (born April 25, 1952 in Montmagny, Quebec) is a politician from Quebec, Canada. He was an Action démocratique du Québec	http://nif.dbpedia.org/wiki/en/Claude_Roy_(politician)?dbpv=2016-10&nif=phrase&char=101,130
48	Fructuoso Rivera	PartyAfiiliation	Colorado Party 	Section	3	Colorado Party (Uruguay)#Pedro Bordaberry and Riverista resurgence	partial	 *  Politics of Uruguay  *  Colorado Party (Uruguay)#Pedro Bordaberry and Riverista resurgence	http://nif.dbpedia.org/wiki/en/Fructuoso_Rivera?dbpv=2016-10&nif=phrase&char=3260,3327
49	Ganesh Ghosh	PartyAfiiliation	Communist Party of India	Section	1	Communist Party of India	exact	After the trial, Ganesh Ghosh was deported to the Cellular Jail in Port Blair in 1932. After the release from jail in 1946, he joined communist politics and became a member of the Communist Party of India	http://nif.dbpedia.org/wiki/en/Ganesh_Ghosh?dbpv=2016-10&nif=phrase&char=634,658
49	Ganesh Ghosh	PartyAfiiliation	Communist Party of India	Section	1	Communist Party of India (Marxist)	partial	After the trial, Ganesh Ghosh was deported to the Cellular Jail in Port Blair in 1932. After the release from jail in 1946, he joined communist politics and became a member of the Communist Party of India. After the independence, he became a leader of the party. After the split in Communist Party of India in 1964, Ganesh sided with the Communist Party of India (Marxist)	http://nif.dbpedia.org/wiki/en/Ganesh_Ghosh?dbpv=2016-10&nif=phrase&char=792,826
