0	Thomas R. Marshall	SchoolAttended	Wabash College	Section	1.2	Wabash College	exact	On settling in Pierceton, Indiana, Marshall began to attend public school. His father and grandfather became embroiled in a dispute with their Methodist minister when they refused to vote Republican in the 1862 election. The minister threatened to expel them from the church, to which Marshall's grandfather replied that he would "take his risk on hell, but not the Republican Party". The dispute prompted the family to move again, to Fort Wayne, and convert to the Presbyterian church. In Fort Wayne, Marshall attended high school, graduating in 1869. At age fifteen his parents sent him to Wabash College	http://nif.dbpedia.org/wiki/en/Thomas_R._Marshall?dbpv=2016-10&nif=phrase&char=6175,6189
3	Al Pacino	SchoolAttended	HB Studio	Section	1	HB Studio	exact	He acted in basement plays in New York's theatrical underground but was rejected for the Actors Studio while a teenager. Pacino then joined the Herbert Berghof Studio (HB Studio	http://nif.dbpedia.org/wiki/en/Al_Pacino?dbpv=2016-10&nif=phrase&char=4769,4778
3	Al Pacino	SchoolAttended	HB Studio	Abstract	0	HB Studio	exact	A method actor and former student of the HB Studio	http://nif.dbpedia.org/wiki/en/Al_Pacino?dbpv=2016-10&nif=phrase&char=732,741
4	Thurgood Marshall	SchoolAttended	Howard University School of Law	Section	1	Howard University School of Law	exact	Marshall wanted to study in his hometown law school, the University of Maryland School of Law, but did not apply because of the school's segregation policy. Marshall instead attended Howard University School of Law	http://nif.dbpedia.org/wiki/en/Thurgood_Marshall?dbpv=2016-10&nif=phrase&char=2776,2807
5	Harry Joseph Flynn	SchoolAttended	Siena College	Section	1	Siena College	exact	Flynn is a graduate of Siena College	http://nif.dbpedia.org/wiki/en/Harry_Joseph_Flynn?dbpv=2016-10&nif=phrase&char=449,462
6	Muammar Gaddafi	SchoolAttended	University of Libya	Section	1.3	University of Libya	exact	Gaddafi briefly studied History at the University of Libya	http://nif.dbpedia.org/wiki/en/Muammar_Gaddafi?dbpv=2016-10&nif=phrase&char=8271,8290
7	Édouard Roche	SchoolAttended	University of Montpellier	Section	1	University of Montpellier	exact	He was born in Montpellier, and studied at the University of Montpellier	http://nif.dbpedia.org/wiki/en/Édouard_Roche?dbpv=2016-10&nif=phrase&char=356,381
10	Milan Kundera	SchoolAttended	Academy of Performing Arts in Prague	Section	1	Academy of Performing Arts in Prague	exact	Kundera was born in 1929 at Purkyňova ulice, 6 (6 Purkyně Street) in Brno, Czechoslovakia, to a middle-class family. His father, Ludvík Kundera (1891–1971) was an important Czech musicologist and pianist who served as the head of the Janáček Music Academy in Brno from 1948 to 1961. His mother was Milada Kunderová (born Janošíková). Milan learned to play the piano from his father; he later studied musicology and musical composition. Musicological influences and references can be found throughout his work; he has even included musical notation in the text to make a point. Kundera is a cousin of Czech writer and translator Ludvík Kundera. He belonged to the generation of young Czechs who had had little or no experience of the pre-war democratic Czechoslovak Republic. Their ideology was greatly influenced by the experiences of World War II and the German occupation. Still in his teens, he joined the Communist Party of Czechoslovakia which seized power in 1948. He completed his secondary school studies in Brno at Gymnázium třída Kapitána Jaroše in 1948. He studied literature and aesthetics at the Faculty of Arts at Charles University in Prague. After two terms, he transferred to the Film Faculty of the Academy of Performing Arts in Prague	http://nif.dbpedia.org/wiki/en/Milan_Kundera?dbpv=2016-10&nif=phrase&char=1873,1909
13	Jerzy Grotowski	SchoolAttended	Russian Academy of Theatre Arts	Abstract	0	Russian Academy of Theatre Arts	exact	Jerzy Marian Grotowski (Polish pronunciation: ['jɛʐɨ grɔ'tɔfskʲi]; 11 August 1933 – 14 January 1999) was a Polish innovative theatre director and theorist whose approaches to acting, training and theatrical production have significantly influenced theatre today. He was born in Rzeszów, in South-eastern Poland in 1933 and studied acting and directing at the Ludwik Solski Academy of Dramatic Arts in Kraków and Russian Academy of Theatre Arts	http://nif.dbpedia.org/wiki/en/Jerzy_Grotowski?dbpv=2016-10&nif=phrase&char=412,443
15	John B. Anderson	SchoolAttended	University of Illinois College of Law	Section	5	University of Illinois College of Law	exact	By the end of the campaign, Anderson's support came mostly from college students. He capitalized on that by becoming a visiting professor at a series of universities: Stanford University, University of Southern California, Duke University, University of Illinois College of Law	http://nif.dbpedia.org/wiki/en/John_B._Anderson?dbpv=2016-10&nif=phrase&char=17420,17457
