Id	S	P	O	Found In	Section	Anchor	Kind of match	Text Segment	Anchor-URI
0	Beata Tyszkiewicz	Spouse	Andrzej Wajda	Section	1	Andrzej Wajda	exact	Beata Tyszkiewicz is one of Poland’s quintessentially cinematic beauties, having worked exclusively on the big screen. She became famous through her portrayal of distinguished ladies in costume dramas like [The Doll by Wojciech Has and The Ashes by Andrzej Wajda	http://nif.dbpedia.org/wiki/en/Beata_Tyszkiewicz?dbpv=2016-10&nif=phrase&char=400,413
0	Beata Tyszkiewicz	Spouse	Andrzej Wajda	Section	1	Andrzej Wajda	exact	Beata Tyszkiewicz is one of Poland’s quintessentially cinematic beauties, having worked exclusively on the big screen. She became famous through her portrayal of distinguished ladies in costume dramas like [The Doll by Wojciech Has and The Ashes by Andrzej Wajda. She has worked with leading directors such as Agnieszka Holland, Krzysztof Zanussi, Andre Delvaux and former husband Andrzej Wajda	http://nif.dbpedia.org/wiki/en/Beata_Tyszkiewicz?dbpv=2016-10&nif=phrase&char=532,545
1	Jennifer Aniston	Spouse	Brad Pitt	Section	5.1	Brad Pitt	exact	Aniston's high-profile relationship with actor Brad Pitt	http://nif.dbpedia.org/wiki/en/Jennifer_Aniston?dbpv=2016-10&nif=phrase&char=21313,21322
1	Jennifer Aniston	Spouse	Brad Pitt	Abstract	0	Brad Pitt	exact	In 2012, Aniston received a star on the Hollywood Walk of Fame. She is one of the highest paid actresses in Hollywood, and as of 2014, her net worth is estimated to be US$150 million. She has also been included in magazines' lists of the world's most beautiful women. People magazine named Aniston "The Most Beautiful Woman" in 2004 and 2016, and Men's Health magazine voted her the "Sexiest Woman of All Time" in 2011. Divorced from actor Brad Pitt	http://nif.dbpedia.org/wiki/en/Jennifer_Aniston?dbpv=2016-10&nif=phrase&char=1816,1825
2	Clark Gable	Spouse	Carole Lombard	Section	1.3	Carole Lombard	exact	In 1924, with Dillon's financing, they went to Hollywood, where she became Gable's manager and first wife. He changed his stage name from W. C. Gable to Clark Gable. He found work as an extra in such silent films as Erich von Stroheim's The Merry Widow (1925), The Plastic Age (1925), which starred Clara Bow, Forbidden Paradise (1924), starring Pola Negri, plus a series of two-reel comedies called The Pacemakers. He appeared as an extra in Fox's The Johnstown Flood (1926). 17-year-old Carole Lombard	http://nif.dbpedia.org/wiki/en/Clark_Gable?dbpv=2016-10&nif=phrase&char=5757,5771
2	Clark Gable	Spouse	Carole Lombard	Section	1.7	Carole Lombard	exact	Gable's marriage in 1939 to his third wife, actress Carole Lombard	http://nif.dbpedia.org/wiki/en/Clark_Gable?dbpv=2016-10&nif=phrase&char=16351,16365
3	George IV of the United Kingdom	Spouse	Caroline of Brunswick	Section	3	Caroline of Brunswick	exact	The Prince of Wales's debts continued to climb, and his father refused to aid him unless he married his cousin Princess Caroline of Brunswick	http://nif.dbpedia.org/wiki/en/George_IV_of_the_United_Kingdom?dbpv=2016-10&nif=phrase&char=9544,9565
3	George IV of the United Kingdom	Spouse	Caroline of Brunswick	Abstract	0	Caroline of Brunswick	exact	His charm and culture earned him the title "the first gentleman of England", but his poor relationship with both his father and his wife, Caroline of Brunswick	http://nif.dbpedia.org/wiki/en/George_IV_of_the_United_Kingdom?dbpv=2016-10&nif=phrase&char=786,807
5	Carole Lombard	Spouse	Clark Gable	Abstract	0	Clark Gable	exact	Paramount quickly began casting Lombard as a leading lady, primarily in drama films. Her fame increased when she married William Powell in 1931, but the pair divorced two years later. A turning point in Lombard's career came in 1934, when she starred in Howard Hawks' pioneering screwball comedy Twentieth Century. The actress found her niche in this genre, and continued to appear in films such as Hands Across the Table (1935) - forming a popular partnership with Fred MacMurray - My Man Godfrey (1936), for which she was nominated for the Academy Award for Best Actress, and Nothing Sacred (1937). During this period, Lombard married "the King of Hollywood", Clark Gable	http://nif.dbpedia.org/wiki/en/Carole_Lombard?dbpv=2016-10&nif=phrase&char=1622,1633
6	Emma of Normandy	Spouse	Cnut the Great	Section	6	Cnut the Great	exact	Her issue with Cnut the Great	http://nif.dbpedia.org/wiki/en/Emma_of_Normandy?dbpv=2016-10&nif=phrase&char=6092,6106
6	Emma of Normandy	Spouse	Cnut the Great	Abstract	0	Cnut the Great	exact	Emma of Normandy (c. 985 – 6 March 1052) was a queen consort of England, Denmark and Norway. She was the daughter of Richard I, Duke of Normandy, and his second wife, Gunnora. Through her marriages to Æthelred the Unready (1002-1016) and Cnut the Great	http://nif.dbpedia.org/wiki/en/Emma_of_Normandy?dbpv=2016-10&nif=phrase&char=238,252
7	Leigh Brackett	Spouse	Edmond Hamilton	Section	2.1	Edmond Hamilton	exact	In 1946 Brackett married science fiction author Edmond Hamilton	http://nif.dbpedia.org/wiki/en/Leigh_Brackett?dbpv=2016-10&nif=phrase&char=1574,1589
7	Leigh Brackett	Spouse	Edmond Hamilton	Section	1	Edmond Hamilton	exact	Leigh Brackett was born December 7, 1915 in Los Angeles, California and grew up there. On December 31, 1946, at age 31, she married Edmond Hamilton	http://nif.dbpedia.org/wiki/en/Leigh_Brackett?dbpv=2016-10&nif=phrase&char=474,489
8	Richard Burton	Spouse	Elizabeth Taylor	Section	3	Elizabeth Taylor	exact	Burton was married five times and he had four children. From 1949 until their divorce in 1963, he was married to Welsh actress/producer Sybil Williams, with whom he had two daughters, Katherine "Kate" Burton (born 10 September 1957) and Jessica Burton (born 1959). He was married twice, consecutively, to actress Elizabeth Taylor	http://nif.dbpedia.org/wiki/en/Richard_Burton?dbpv=2016-10&nif=phrase&char=65973,65989
8	Richard Burton	Spouse	Elizabeth Taylor	Section	2.3	Elizabeth Taylor	exact	At a party held in Simmons' residence in Bel Air, Los Angeles to celebrate the success of The Robe, Burton met Elizabeth Taylor	http://nif.dbpedia.org/wiki/en/Richard_Burton?dbpv=2016-10&nif=phrase&char=25524,25540
8	Richard Burton	Spouse	Elizabeth Taylor	Abstract	0	Elizabeth Taylor	exact	Burton remains closely associated in the public consciousness with his second wife, actress Elizabeth Taylor	http://nif.dbpedia.org/wiki/en/Richard_Burton?dbpv=2016-10&nif=phrase&char=969,985
9	John Grey of Groby	Spouse	Elizabeth Woodville	Section	2	Elizabeth Woodville	exact	About 1454, Sir John Grey married Elizabeth Woodville	http://nif.dbpedia.org/wiki/en/John_Grey_of_Groby?dbpv=2016-10&nif=phrase&char=960,979
9	John Grey of Groby	Spouse	Elizabeth Woodville	Abstract	0	Elizabeth Woodville	exact	Sir John Grey, of Groby, Leicestershire (c. 1432 – 17 February 1461) was a Lancastrian knight, the first husband of Elizabeth Woodville	http://nif.dbpedia.org/wiki/en/John_Grey_of_Groby?dbpv=2016-10&nif=phrase&char=116,135
10	Cnut the Great	Spouse	Emma of Normandy	Section	9	Emma of Normandy	exact	 * 1 – Ælfgifu of Northampton  * Sweyn Knutsson, King of Norway  * Harold Harefoot, King of England  * 2 – Emma of Normandy	http://nif.dbpedia.org/wiki/en/Cnut_the_Great?dbpv=2016-10&nif=phrase&char=44268,44284
10	Cnut the Great	Spouse	Emma of Normandy	Section	3.1	Emma of Normandy	exact	In July 1017, Cnut wed Emma of Normandy	http://nif.dbpedia.org/wiki/en/Cnut_the_Great?dbpv=2016-10&nif=phrase&char=16201,16217
10	Cnut the Great	Spouse	Emma of Normandy	Section	7	Emma of Normandy	exact	Cnut's actions as a Viking conqueror and his ruthless treatment of the overthrown dynasty had made him uneasy with the Church. He was already a Christian before he was king—being named Lambert at his baptism—although the Christianization of Scandinavia was not at all complete. His open relationship with a concubine, Ælfgifu of Northampton, his handfast wife, whom he kept as his northern queen when he wed Emma of Normandy	http://nif.dbpedia.org/wiki/en/Cnut_the_Great?dbpv=2016-10&nif=phrase&char=36891,36907
12	Chris Martin	Spouse	Gwyneth Paltrow	Section	5	Gwyneth Paltrow	exact	Martin forces himself to drink vodka with cranberry juice when he behaves "like an idiot". PETA named him the World's Sexiest Vegetarian in 2005, as he had been a vegetarian for a while; however, he started eating meat again after his split with Gwyneth Paltrow	http://nif.dbpedia.org/wiki/en/Chris_Martin?dbpv=2016-10&nif=phrase&char=12675,12690
13	Harriet Smithson	Spouse	Hector Berlioz	Abstract	0	Hector Berlioz	exact	Harriet Constance (1800–1854), most commonly known as Harriet Smithson, who also went by Henrietta Constance Smithson, Harriet Smithson Berlioz, and Miss H.C. Smithson, was a famous Shakespearean actress, who is best known as the first wife and muse of Hector Berlioz	http://nif.dbpedia.org/wiki/en/Harriet_Smithson?dbpv=2016-10&nif=phrase&char=253,267
13	Harriet Smithson	Spouse	Hector Berlioz	Section	3	Hector Berlioz	exact	Smithson's excellent acting muddled perceptions of her personality with that of her female characters. At the height of her career, she became the figurehead for the French Romantic movement. However, the many French Romantic pieces of art, plays, music, and written works she had inspired depicted her as Ophelia, Juliet, and Harriet. The most famous of these works was Hector Berlioz	http://nif.dbpedia.org/wiki/en/Harriet_Smithson?dbpv=2016-10&nif=phrase&char=8801,8815
14	Roberto Rossellini	Spouse	Ingrid Bergman	Section	2	Ingrid Bergman	exact	Dear Mr. Rossellini,I saw your films Open City and Paisan, and enjoyed them very much. If you need a Swedish actress who speaks English very well, who has not forgotten her German, who is not very understandable in French, and who in Italian knows only "ti amo," I am ready to come and make a film with you.Ingrid Bergman	http://nif.dbpedia.org/wiki/en/Roberto_Rossellini?dbpv=2016-10&nif=phrase&char=5063,5076
15	Brad Pitt	Spouse	Jennifer Aniston	Abstract	0	Jennifer Aniston	exact	As a public figure, Pitt has been cited as one of the most influential and powerful people in the American entertainment industry, as well as the world's most attractive man, by various media outlets. His personal life is also the subject of wide publicity. Divorced from actress Jennifer Aniston	http://nif.dbpedia.org/wiki/en/Brad_Pitt?dbpv=2016-10&nif=phrase&char=1654,1670
15	Brad Pitt	Spouse	Jennifer Aniston	Section	2.3	Jennifer Aniston	exact	The following year Pitt starred opposite Julia Roberts in the romantic comedy The Mexican, a film that garnered a range of reviews but enjoyed box office success. Pitt's next role, in 2001's $143 million-grossing Cold War thriller Spy Game, was as Tom Bishop, an operative of the CIA's Special Activities Division, mentored by Robert Redford's character. Mark Holcomb of Salon.com enjoyed the film, although he noted that neither Pitt nor Redford provided "much of an emotional connection for the audience". On November 22, 2001, Pitt made a guest appearance in the eighth season of the television series Friends, playing a man with a grudge against Rachel Green, played by Jennifer Aniston	http://nif.dbpedia.org/wiki/en/Brad_Pitt?dbpv=2016-10&nif=phrase&char=14036,14052
15	Brad Pitt	Spouse	Jennifer Aniston	Section	4.1	Jennifer Aniston	exact	Pitt met Friends actress Jennifer Aniston	http://nif.dbpedia.org/wiki/en/Brad_Pitt?dbpv=2016-10&nif=phrase&char=27237,27253
16	Vivien Leigh	Spouse	Laurence Olivier	Abstract	0	Laurence Olivier	exact	To the public at the time, Leigh was strongly identified with her second husband Laurence Olivier	http://nif.dbpedia.org/wiki/en/Vivien_Leigh?dbpv=2016-10&nif=phrase&char=1189,1205
17	Edmond Hamilton	Spouse	Leigh Brackett	Section	3	Leigh Brackett	exact	On December 31, 1946, Hamilton married fellow science fiction author and screenwriter Leigh Brackett	http://nif.dbpedia.org/wiki/en/Edmond_Hamilton?dbpv=2016-10&nif=phrase&char=4584,4598
