number of equals =	1564
number of contains =	124
notInAbstractList =	8333
Appoaches:
	Sbj-Obj =	877
	Pronoun-Obj =	811
Extraction:
	In Sentence =	1602
	In Paragraph =	86
Blank Sentences =	0
Number of articles not found in 2016-10 wikipedia nif version =	18	Don_Draper____1,reporter),reporter),Don_Draper____1,Bertil_Ohlin__1,Judith_Keene,Carol_Ann_Shudlick,Lucky_Dias,Charles_%22Nish%22_Bruce,Louis_Harold_Gray,Edward_%22Porky%22_Cragg,Edward_%22Porky%22_Cragg,Edward_%22Porky%22_Cragg,Edward_%22Porky%22_Cragg,Cresswell_Shearer,Edward_%22Tug%22_Wilson,Kapila_Jayampathi,Leslie_%22Bull%22_Allen,
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Physics	http://dbpedia.org/resource/Carlo_Rubbia	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physics	Carlo Rubbia, OMRI, OMCA (born 31 March 1934) is an Italian particle physicist and inventor who shared the Nobel Prize in Physics	Carlo Rubbia, OMRI, OMCA (born 31 March 1934) is an Italian particle physicist and inventor who shared the Nobel Prize in Physics in 1984 with Simon van der Meer for work leading to the discovery of the W and Z particles at CERN.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Physics	http://dbpedia.org/resource/Charles_K._Kao	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physics	Kao, known as the "Godfather of Broadband", "Father of Fiber Optics" or "Father of Fiber Optic Communications", was jointly awarded the 2009 Nobel Prize in Physics	Sir Charles Kuen Kao, GBM, KBE, FRS, FREng (born 4 November 1933) is a Chinese-born Hong Kong, American and British electrical engineer and physicist who pioneered in the development and use of fiber optics in telecommunications. Kao, known as the "Godfather of Broadband", "Father of Fiber Optics" or "Father of Fiber Optic Communications", was jointly awarded the 2009 Nobel Prize in Physics for "groundbreaking achievements concerning the transmission of light in fibers for optical communication". Kao holds multiple citizenship of Hong Kong, the United Kingdom and the United States.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Nobel Prize in Physics	http://dbpedia.org/resource/Henri_Becquerel	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physics	(**he=Henri Becquerel**): he, along with Marie Skłodowska-Curie and Pierre Curie, received the 1903 Nobel Prize in Physics	Antoine Henri Becquerel (15 December 1852 – 25 August 1908) was a French physicist, Nobel laureate, and the first person to discover evidence of radioactivity. For work in this field he, along with Marie Skłodowska-Curie and Pierre Curie, received the 1903 Nobel Prize in Physics. The SI unit for radioactivity, the becquerel (Bq), is named after him.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Nobel Prize in Physics	http://dbpedia.org/resource/Walter_Houser_Brattain	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physics	Walter Houser Brattain (February 10, 1902 – October 13, 1987) was an American physicist at Bell Labs who, along with fellow scientists John Bardeen and William Shockley, invented the point-contact transistor in December, 1947. They shared the 1956 Nobel Prize in Physics	Walter Houser Brattain (February 10, 1902 – October 13, 1987) was an American physicist at Bell Labs who, along with fellow scientists John Bardeen and William Shockley, invented the point-contact transistor in December, 1947. They shared the 1956 Nobel Prize in Physics for their invention. Brattain devoted much of his life to research on surface states.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Nobel Prize in Physics	http://dbpedia.org/resource/Zhores_Alferov	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physics	(**he=Zhores Alferov**): He is the inventor of the heterotransistor and the winner of 2000 Nobel Prize in Physics	Zhores Ivanovich Alferov (Russian: Жоре́с Ива́нович Алфёров, [ʐɐˈrʲɛs ɪˈvanəvʲɪtɕ ɐlˈfʲɵrəf]; Belarusian: Жарэс Іва́навіч Алфёраў; born March 15, 1930) is a Belarusian, Soviet and Russian physicist and academic who contributed significantly to the creation of modern heterostructure physics and electronics. He is the inventor of the heterotransistor and the winner of 2000 Nobel Prize in Physics. He is also a Russian politician and has been a member of the Russian State Parliament, the Duma, since 1995. Lately, he has become one of the most influential members of the Communist Party of the Russian Federation.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Physiology or Medicine	http://dbpedia.org/resource/Barbara_McClintock	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine	Barbara McClintock (June 16, 1902 – September 2, 1992) was an American scientist and cytogeneticist who was awarded the 1983 Nobel Prize in Physiology or Medicine	Barbara McClintock (June 16, 1902 – September 2, 1992) was an American scientist and cytogeneticist who was awarded the 1983 Nobel Prize in Physiology or Medicine. McClintock received her PhD in botany from Cornell University in 1927. There she started her career as the leader in the development of maize cytogenetics, the focus of her research for the rest of her life. From the late 1920s, McClintock studied chromosomes and how they change during reproduction in maize. She developed the technique for visualizing maize chromosomes and used microscopic analysis to demonstrate many fundamental genetic ideas. One of those ideas was the notion of genetic recombination by crossing-over during meiosis—a mechanism by which chromosomes exchange information. She produced the first genetic map for maize, linking regions of the chromosome to physical traits. She demonstrated the role of the telomere and centromere, regions of the chromosome that are important in the conservation of genetic information. She was recognized among the best in the field, awarded prestigious fellowships, and elected a member of the National Academy of Sciences in 1944. During the 1940s and 1950s, McClintock discovered transposition and used it to demonstrate that genes are responsible for turning physical characteristics on and off. She developed theories to explain the suppression and expression of genetic information from one generation of maize plants to the next. Due to skepticism of her research and its implications, she stopped publishing her data in 1953. Later, she made an extensive study of the cytogenetics and ethnobotany of maize races from South America. McClintock's research became well understood in the 1960s and 1970s, as other scientists confirmed the mechanisms of genetic change and genetic regulation that she had demonstrated in her maize research in the 1940s and 1950s. Awards and recognition for her contributions to the field followed, including the Nobel Prize in Physiology or Medicine, awarded to her in 1983 for the discovery of genetic transposition; she is the only woman to receive an unshared Nobel Prize in that category.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Physiology or Medicine	http://dbpedia.org/resource/Emil_von_Behring	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine	Emil von Behring (Emil Adolf von Behring), as Emil Adolf Behring born (15 March 1854 – 31 March 1917) was a German physiologist who received the 1901 Nobel Prize in Physiology or Medicine	Emil von Behring (Emil Adolf von Behring), as Emil Adolf Behring born (15 March 1854 – 31 March 1917) was a German physiologist who received the 1901 Nobel Prize in Physiology or Medicine, the first one awarded, for his discovery of a diphtheria antitoxin. He was widely known as a "saviour of children", as diphtheria used to be a major cause of child death. He was ennobled in 1901 for services to medicine.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Nobel Prize in Physiology or Medicine	http://dbpedia.org/resource/Thomas_Huckle_Weller	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine	(**he=Thomas Huckle Weller**): He, John Franklin Enders and Frederick Chapman Robbins were awarded a Nobel Prize in Physiology or Medicine	Thomas Huckle Weller (June 15, 1915 – August 23, 2008) was an American virologist. He, John Franklin Enders and Frederick Chapman Robbins were awarded a Nobel Prize in Physiology or Medicine in 1954 for showing how to cultivate poliomyelitis viruses in a test tube, using a combination of human embryonic skin and muscle tissue. Weller was born and grew up in Ann Arbor, Michigan, and then went to the University of Michigan, where his father Carl Vernon Weller was a professor in the Department of Pathology. At Michigan, he studied medical zoology and received a B.S. and an M.S., with his masters thesis on fish parasites. In 1936, Weller entered Harvard Medical School, and in 1939 began working under John Franklin Enders, with whom he would later (along with Frederick Chapman Robbins) share the Nobel Prize. It was Enders who got Weller involved in researching viruses and tissue-culture techniques for determining infectious disease causes. Weller received his MD in 1940, and went to work at Children's Hospital in Boston. In 1942, during World War II, he entered the Army Medical Corps and was stationed at the Antilles Medical Laboratory in Puerto Rico, earning the rank of Major and heading the facility's Departments of Bacteriology, Virology and Parasitology. After the War, he returned to Children's Hospital in Boston, and it was there in 1947, that he rejoined Enders in the newly created Research Division of Infectious Diseases. After several leading positions, in July 1954, he was appointed Tropical Public Health Department Head at the Harvard School of Public Health. Weller also served from 1953 to 1959 as Director of the Commission on Parasitic Diseases of the American Armed Forces Epidemiological Board. In 1954 he was awarded the George Ledlie prize in recognition of his research on rubella, polio and cytomegalovirus(CMV) viruses. In addition to his research on polio, for which he won the Nobel Prize, Weller also contributed to treating schistosomiasis, and Coxsackie viruses. He was also the first to isolate the virus responsible for varicella. In 1945, Weller married Kathleen Fahey. They had two sons and two daughters.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Physiology or Medicine	http://dbpedia.org/resource/Thomas_Hunt_Morgan	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine	Thomas Hunt Morgan (September 25, 1866 – December 4, 1945) was an American evolutionary biologist, geneticist, embryologist, and science author who won the Nobel Prize in Physiology or Medicine	Thomas Hunt Morgan (September 25, 1866 – December 4, 1945) was an American evolutionary biologist, geneticist, embryologist, and science author who won the Nobel Prize in Physiology or Medicine in 1933 for discoveries elucidating the role that the chromosome plays in heredity. Morgan received his Ph.D. from Johns Hopkins University in zoology in 1890 and researched embryology during his tenure at Bryn Mawr. Following the rediscovery of Mendelian inheritance in 1900, Morgan began to study the genetic characteristics of the fruit fly Drosophila melanogaster. In his famous Fly Room at Columbia University, Morgan demonstrated that genes are carried on chromosomes and are the mechanical basis of heredity. These discoveries formed the basis of the modern science of genetics. During his distinguished career, Morgan wrote 22 books and 370 scientific papers. As a result of his work, Drosophila became a major model organism in contemporary genetics. The Division of Biology which he established at the California Institute of Technology has produced seven Nobel Prize winners.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Silver Star	http://dbpedia.org/resource/Douglas_MacArthur	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Silver_Star	(**he=Douglas MacArthur**): he rose to the rank of brigadier general, was again nominated for a Medal of Honor, and was awarded the Distinguished Service Cross twice and the Silver Star	("General MacArthur" and "Douglas McArthur" redirect here. For the Canadian politician, see Douglas Francis McArthur. For the diplomat, see Douglas MacArthur II. For other uses, see General MacArthur (disambiguation).) Douglas MacArthur (26 January 1880 – 5 April 1964) was an American five-star general and field marshal of the Philippine Army. He was Chief of Staff of the United States Army during the 1930s and played a prominent role in the Pacific theater during World War II. He received the Medal of Honor for his service in the Philippines Campaign, which made him and his father Arthur MacArthur, Jr., the first father and son to be awarded the medal. He was one of only five men ever to rise to the rank of General of the Army in the US Army, and the only man ever to become a field marshal in the Philippine Army. Raised in a military family in the American Old West, MacArthur was valedictorian at the West Texas Military Academy, and First Captain at the United States Military Academy at West Point, where he graduated top of the class of 1903. During the 1914 United States occupation of Veracruz, he conducted a reconnaissance mission, for which he was nominated for the Medal of Honor. In 1917, he was promoted from major to colonel and became chief of staff of the 42nd (Rainbow) Division. In the fighting on the Western Front during World War I, he rose to the rank of brigadier general, was again nominated for a Medal of Honor, and was awarded the Distinguished Service Cross twice and the Silver Star seven times. From 1919 to 1922, MacArthur served as Superintendent of the U.S. Military Academy at West Point, where he attempted a series of reforms. His next assignment was in the Philippines, where in 1924 he was instrumental in quelling the Philippine Scout Mutiny. In 1925, he became the Army's youngest major general. He served on the court martial of Brigadier General Billy Mitchell and was president of the American Olympic Committee during the 1928 Summer Olympics in Amsterdam. In 1930, he became Chief of Staff of the United States Army. As such, he was involved in the expulsion of the Bonus Army protesters from Washington, D.C. in 1932, and the establishment and organization of the Civilian Conservation Corps. He retired from the US Army in 1937 to become Military Advisor to the Commonwealth Government of the Philippines. MacArthur was recalled to active duty in 1941 as commander of United States Army Forces in the Far East. A series of disasters followed, starting with the destruction of his air forces on 8 December 1941, and the invasion of the Philippines by the Japanese. MacArthur's forces were soon compelled to withdraw to Bataan, where they held out until May 1942. In March 1942, MacArthur, his family and his staff left nearby Corregidor Island in PT boats and escaped to Australia, where MacArthur became Supreme Commander, Southwest Pacific Area. For his defense of the Philippines, MacArthur was awarded the Medal of Honor. After more than two years of fighting in the Pacific, he fulfilled a promise to return to the Philippines. He officially accepted Japan's surrender on 2 September 1945, aboard USS Missouri anchored in Tokyo Bay, and oversaw the occupation of Japan from 1945 to 1951. As the effective ruler of Japan, he oversaw sweeping economic, political and social changes. He led the United Nations Command in the Korean War until he was removed from command by President Harry S. Truman on 11 April 1951. He later became Chairman of the Board of Remington Rand.	
Contains	0	Abstract	In Sentence	Pronoun-Obj		Silver Star Medal	http://dbpedia.org/resource/Chris_Kyle	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Silver_Star	(**he=Chris Kyle**): He was awarded one Silver Star	Christopher Scott "Chris" Kyle (April 8, 1974 − February 2, 2013) was a United States Navy SEAL veteran and sniper. Kyle served four tours in the Iraq War and was awarded several commendations for acts of heroism and meritorious service in combat. He was awarded one Silver Star Medal, four Bronze Star Medals with "V" devices, a Navy and Marine Corps Achievement Medal and numerous other unit and personal awards.Kyle was honorably discharged from the U.S. Navy in 2009 and published his bestselling autobiography, American Sniper, in 2012. An eponymous film adaptation of Kyle's book, directed by Clint Eastwood, was released two years later. On February 2, 2013, Kyle was murdered by Eddie Ray Routh at a shooting range near Chalk Mountain, Texas. A former Marine with PTSD, Routh was found guilty and sentenced to life in prison without parole.	
Contains	0	Abstract	In Sentence	Pronoun-Obj		Tony Award for Best Play	http://dbpedia.org/resource/Edward_Albee	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Tony_Award	(**his=Edward Albee**): his plays won the Pulitzer Prize for Drama, and two of his other works won the Tony Award	Edward Franklin Albee III (/ˈɔːlbiː/ AWL-bee; March 12, 1928 – September 16, 2016) was an American playwright known for works such as The Zoo Story (1958), The Sandbox (1959), Who's Afraid of Virginia Woolf? (1962), and A Delicate Balance (1966). Three of his plays won the Pulitzer Prize for Drama, and two of his other works won the Tony Award for Best Play. His works are often considered as frank examinations of the modern condition. His early works reflect a mastery and Americanization of the Theatre of the Absurd that found its peak in works by European playwrights such as Samuel Beckett, Eugène Ionesco, and Jean Genet. His middle period comprised plays that explored the psychology of maturing, marriage, and sexual relationships. Younger American playwrights, such as Paula Vogel, credit Albee's daring mix of theatricality and biting dialogue with helping to reinvent the post-war American theatre in the early 1960s. Later in his life, Albee continued to experiment in works such as The Goat, or Who Is Sylvia? (2002).	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Turing Award	http://dbpedia.org/resource/Vint_Cerf	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Turing_Award	(**his=Vint Cerf**): His contributions have been acknowledged and lauded, repeatedly, with honorary degrees and awards that include the National Medal of Technology, the Turing Award	Vinton Gray Cerf ForMemRS, (/ˈsɜːrf/; born June 23, 1943) is an American Internet pioneer, who is recognized as one of "the fathers of the Internet", sharing this title with TCP/IP co-inventor Bob Kahn. His contributions have been acknowledged and lauded, repeatedly, with honorary degrees and awards that include the National Medal of Technology, the Turing Award, the Presidential Medal of Freedom, the Marconi Prize and membership in the National Academy of Engineering. In the early days, Cerf was a manager for the United States' Defense Advanced Research Projects Agency (DARPA) funding various groups to develop TCP/IP technology. When the Internet began to transition to a commercial opportunity during the late 1980s, Cerf moved to MCI where he was instrumental in the development of the first commercial email system (MCI Mail) connected to the Internet. Cerf was instrumental in the funding and formation of ICANN from the start. He waited in the wings for a year before he stepped forward to join the ICANN Board, eventually becoming chairman. He was elected as the president of the Association for Computing Machinery in May 2012, and in August 2013 he joined the Council on CyberSecurity's Board of Advisors. Cerf is also known for his sartorial style, typically appearing in three-piece suit—a rarity in an industry known for its casual dress norms. Cerf is active in many organizations that are working to help the Internet deliver humanitarian value in our world today. He is supportive of innovative projects that are experimenting with new approaches to global problems, including the digital divide, the gender gap, and the changing nature of jobs.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Academy Award for Best Actor	http://dbpedia.org/resource/Roberto_Benigni	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Academy_Award_for_Best_Actor	(**he=Roberto Benigni**): He co-wrote, directed and acted in the 1997 film, Life Is Beautiful, which garnered him the Academy Award for Best Actor	Roberto Remigio Benigni, Cavaliere di Gran Croce OMRI (Italian pronunciation: [roˈbɛrto beˈniɲɲi]; born 27 October 1952) is an Italian actor, comedian, screenwriter and director. He co-wrote, directed and acted in the 1997 film, Life Is Beautiful, which garnered him the Academy Award for Best Actor and the Academy Award for Best Foreign Language Film. He also portrayed Inspector Clouseau's son in Son of the Pink Panther (1993) and has collaborated with filmmaker Jim Jarmusch in three of his films: Down by Law (1986), Night on Earth (1991) and Coffee and Cigarettes (2003).	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Academy Award for Best Supporting Actor	http://dbpedia.org/resource/Anthony_Quinn	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Academy_Award_for_Best_Supporting_Actor	(**he=Anthony Quinn**): He won the Academy Award for Best Supporting Actor	Antonio Rodolfo Quinn Oaxaca (April 21, 1915 – June 3, 2001), more commonly known as Anthony Quinn, was a Mexican-born American actor, painter and writer. He starred in numerous critically acclaimed and commercially successful films, including La Strada, The Guns of Navarone, Zorba the Greek, Guns for San Sebastian, Lawrence of Arabia, The Message and Lion of the Desert. He won the Academy Award for Best Supporting Actor twice: for Viva Zapata! in 1952 and Lust for Life in 1956.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Memorial Prize in Economic Sciences	http://dbpedia.org/resource/Gary_Becker	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences	Becker was awarded the Nobel Memorial Prize in Economic Sciences	Gary Stanley Becker (December 2, 1930 – May 3, 2014) was an American economist and a professor of economics and sociology at the University of Chicago. Described as “the most important social scientist in the past 50 years” by the New York Times, Becker was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom in 2007. Becker was one of the first economists to branch into what were traditionally considered topics belonging to sociology, including racial discrimination, crime, family organization, and drug addiction (see rational addiction). He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing. His approach included altruistic behavior of human behavior by defining individuals' utility appropriately. He was also among the foremost exponents of the study of human capital. Becker was also credited with the "rotten kid theorem."	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Nobel Memorial Prize in Economic Sciences	http://dbpedia.org/resource/Amartya_Sen	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences	(**he=Amartya Sen**): He was awarded the Nobel Memorial Prize in Economic Sciences	Amartya Kumar Sen (pronounced /ˈɔmort:o ˈʃen/; born 3 November 1933) is an Indian economist and philosopher of Bengali ethnicity, who since 1972 has taught and worked in the United Kingdom and the United States. Sen has made contributions to welfare economics, social choice theory, economic and social justice, economic theories of famines, and indexes of the measure of well-being of citizens of developing countries. He was awarded the Nobel Memorial Prize in Economic Sciences in 1998 and Bharat Ratna in 1999 for his work in welfare economics. He was also awarded the inaugural Charleston-EFG John Maynard Keynes Prize in recognition of his work on welfare economics in February 2015 during a reception at the Royal Academy in the UK. He is currently the Thomas W. Lamont University Professor and Professor of Economics and Philosophy at Harvard University. He served as the chancellor of Nalanda University. He is also a senior fellow at the Harvard Society of Fellows, a distinguished fellow of All Souls College, Oxford, an honorary fellow of Darwin College, Cambridge and a Fellow of Trinity College, Cambridge, where he served as Master from 1998 to 2004.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Memorial Prize in Economic Sciences	http://dbpedia.org/resource/Richard_Stone	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences	Richard Nicholas Stone (30 August 1913 – 6 December 1991) was an eminent British economist, educated at Westminster School, Cambridge University (Caius and King's), who in 1984 received the Nobel Memorial Prize in Economic Sciences	Sir John Richard Nicholas Stone (30 August 1913 – 6 December 1991) was an eminent British economist, educated at Westminster School, Cambridge University (Caius and King's), who in 1984 received the Nobel Memorial Prize in Economic Sciences for developing an accounting model that could be used to track economic activities on a national and, later, an international scale.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Nobel Prize in Literature	http://dbpedia.org/resource/José_Saramago	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Nobel_Prize_in_Literature	José de Sousa Saramago, GColSE (Portuguese: [ʒuˈzɛ ðɨ ˈsozɐ sɐɾɐˈmaɣu]; 16 November 1922 – 18 June 2010), was a Portuguese writer and recipient of the 1998 Nobel Prize in Literature	José de Sousa Saramago, GColSE (Portuguese: [ʒuˈzɛ ðɨ ˈsozɐ sɐɾɐˈmaɣu]; 16 November 1922 – 18 June 2010), was a Portuguese writer and recipient of the 1998 Nobel Prize in Literature. His works, some of which can be seen as allegories, commonly present subversive perspectives on historic events, emphasizing the human factor. Harold Bloom described Saramago as "the greatest living novelist" and considers him to be "a permanent part of the Western canon", while James Wood praises "the distinctive tone to his fiction because he narrates his novels as if he were someone both wise and ignorant." More than two million copies of Saramago's books have been sold in Portugal alone and his work has been translated into 25 languages. A proponent of libertarian communism, Saramago was criticized by institutions such as the Catholic Church, the European Union and the International Monetary Fund, with whom he disagreed on various issues. An atheist, he defended love as an instrument to improve the human condition. In 1992, the Government of Portugal under Prime Minister Aníbal Cavaco Silva ordered the removal of The Gospel According to Jesus Christ from the Aristeion Prize's shortlist, claiming the work was religiously offensive. Disheartened by this political censorship of his work, Saramago went into exile on the Spanish island of Lanzarote, upon which he resided until his death in 2010. Saramago was a founding member of the National Front for the Defense of Culture in Lisbon in 1992, and co-founder with Orhan Pamuk, of the European Writers' Parliament (EWP).	
