number of equals =	1622
number of contains =	48
notInAbstractList =	8345
Appoaches:
	Sbj-Obj =	863
	Pronoun-Obj =	807
Extraction:
	In Sentence =	1534
	In Paragraph =	136
Blank Sentences =	4
Number of articles not found in 2016-10 wikipedia nif version =	33	James_%22Beg%22_Stewart,Mohammad_Said_Keruak,Cameron_%22Buck%22_Williams,Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł,Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł,C._E._%22Cap%22_Barham,Michał_Kazimierz_%22Rybeńko%22_Radziwiłł,William_%22Billy%22_Nungesser,Michał_Kazimierz_%22Rybeńko%22_Radziwiłł,C._H._%22Sammy%22_Downs,Priscilla_Paetsch,Priscilla_Paetsch,Howard_%22Bunny%22_Colvin,Helen_Giuliani,Yang_Ye__Yang_Ye__1,Yang_Ye__Yang_Ye__1,Marie_Hüni,David_Nevins_Sr.,Käte_Duncker,David_Nevins_Sr.,Grace_Hall_Hemingway,Belkis_Cuza_Malé,James_H._%22Jim%22_Brown,James_Earl_Carter_Sr.,James_Earl_Carter_Sr.,James_Earl_Carter_Sr.,James_Earl_Carter_Sr.,Temperance_%22Bones%22_Brennan,Mikołaj_Krzysztof_%22the_Orphan%22_Radziwiłł,John_%22Mad_Jack%22_Byron,Tuck),Tuck),Tuck),
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	0	Abstract	In Sentence	Sbj-Obj		Jeff Bridges	http://dbpedia.org/resource/Dorothy_Bridges	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Jeff_Bridges	Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges	Dorothy Louise Bridges (née Simpson; September 19, 1915 – February 16, 2009) was an American actress and poet. Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges, and her grandson, Jordan Bridges. Bridges was sometimes credited as Dorothy Dean.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Luke Skywalker	http://dbpedia.org/resource/Darth_Vader	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Luke_Skywalker	(**he=Darth Vader**): He is also the father of Luke Skywalker	Darth Vader, also known as Anakin Skywalker, is a fictional character in the Star Wars universe. Vader appears in the original trilogy as a pivotal figure whose actions drive the plot of the first three films while his past as Anakin Skywalker, and the story of his corruption, is central to the prequel trilogy. The character was created by George Lucas and has been portrayed by numerous actors. His appearances span the first six Star Wars films, and his character is heavily referenced in Star Wars: The Force Awakens. He is also an important character in the Star Wars expanded universe of television series, video games, novels, literature and comic books. Originally a Jedi prophesied to bring balance to the Force, he falls to the dark side of the Force and serves the evil Galactic Empire at the right hand of his Sith master, Emperor Palpatine (also known as Darth Sidious). He is also the father of Luke Skywalker and Princess Leia Organa, grandfather of Kylo Ren, and secret husband of Padmé Amidala. The American Film Institute listed him as the third greatest movie villain in cinema history on 100 Years... 100 Heroes and Villains, behind Hannibal Lecter and Norman Bates.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Luke Skywalker	http://dbpedia.org/resource/Padmé_Amidala	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Luke_Skywalker	(**she=Padmé Amidala**): She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker	Padmé Amidala (born Padmé Naberrie) is a fictional character in the Star Wars universe, appearing in the prequel trilogy portrayed by actress Natalie Portman. She served as the Princess of Theed and later Queen of Naboo. After her reign, she becomes a senator in the Galactic Senate. She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia Organa and the grandmother of Kylo Ren.	
Contains	0	Abstract	In Sentence	Pronoun-Obj		Princess Leia Organa	http://dbpedia.org/resource/Darth_Vader	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Princess_Leia	(**he=Darth Vader**): He is also the father of Luke Skywalker and Princess Leia	Darth Vader, also known as Anakin Skywalker, is a fictional character in the Star Wars universe. Vader appears in the original trilogy as a pivotal figure whose actions drive the plot of the first three films while his past as Anakin Skywalker, and the story of his corruption, is central to the prequel trilogy. The character was created by George Lucas and has been portrayed by numerous actors. His appearances span the first six Star Wars films, and his character is heavily referenced in Star Wars: The Force Awakens. He is also an important character in the Star Wars expanded universe of television series, video games, novels, literature and comic books. Originally a Jedi prophesied to bring balance to the Force, he falls to the dark side of the Force and serves the evil Galactic Empire at the right hand of his Sith master, Emperor Palpatine (also known as Darth Sidious). He is also the father of Luke Skywalker and Princess Leia Organa, grandfather of Kylo Ren, and secret husband of Padmé Amidala. The American Film Institute listed him as the third greatest movie villain in cinema history on 100 Years... 100 Heroes and Villains, behind Hannibal Lecter and Norman Bates.	
Contains	0	Abstract	In Sentence	Pronoun-Obj		Princess Leia Organa	http://dbpedia.org/resource/Padmé_Amidala	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Princess_Leia	(**she=Padmé Amidala**): She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia	Padmé Amidala (born Padmé Naberrie) is a fictional character in the Star Wars universe, appearing in the prequel trilogy portrayed by actress Natalie Portman. She served as the Princess of Theed and later Queen of Naboo. After her reign, she becomes a senator in the Galactic Senate. She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia Organa and the grandmother of Kylo Ren.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Richard M. Daley	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_M._Daley	Daley is the father of Richard M. Daley	Richard Joseph Daley (May 15, 1902 – December 20, 1976) was an American politician who served as the Mayor of Chicago for a total of 21 years (1955–1976) and chairman of the Cook County Democratic Central Committee for 23 years, holding both positions until his death in office in 1976. Daley was Chicago's third consecutive mayor from the working-class, heavily Irish American Bridgeport neighborhood on Chicago's South Side, where he lived his entire life. Daley is remembered for doing much to avoid the declines that some other "rust belt" cities like Cleveland, Buffalo and Detroit experienced during the same period. He had a strong base of support in Chicago's Irish Catholic community, and he was treated by national politicians such as Lyndon B. Johnson as a pre-eminent Irish American, with special connections to the Kennedy family. Daley played a major role in the history of the Democratic Party, especially with his support of John F. Kennedy in 1960 and of Hubert Humphrey in 1968. Daley is the father of Richard M. Daley, also a former mayor of Chicago, William M. Daley, a former United States Secretary of Commerce, and John P. Daley, a member of the Cook County Board of Commissioners. While many members of Daley's administration were charged with corruption and convicted, Daley was never charged with corruption.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Roque Sáenz Peña	http://dbpedia.org/resource/Luis_Sáenz_Peña	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Roque_Sáenz_Peña	(**he=Luis Sáenz Peña**): He was the father of president Roque Sáenz Peña	Luis Sáenz Peña Davila (April 2, 1822 – December 4, 1907) was a lawyer and President of Argentina. He was the father of president Roque Sáenz Peña He graduated in law from the University of Buenos Aires, and participated in the constitutional assembly of 1860. He was a number of times a national deputy and senator. In 1882 he occupied a seat on the Supreme Court of the Province of Buenos Aires. Later he was employed as president of the Provincial Bank, director of the Academy of Jurisprudence, and had a seat in the General Council of Education. On 12 October 1892 Sáenz Peña was inaugurated president of the country. Weakened by many radical uprisings, on 23 January 1895 he presented his resignation to Congress, which accepted it. The government passed into the hands of José Evaristo Uriburu, who completed the term ending in 1898.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Vidyullekha Raman	http://dbpedia.org/resource/Mohan_V._Raman	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Vidyullekha_Raman	(**his=Mohan V. Raman**): His daughter Vidyullekha Raman	Mohan Venkata Pattabhi Raman (born April 3, 1956) is an Indian film and television actor and management trainer. He is acclaimed for playing supportive or negative roles in Tamil television serials prominent ones being Marmadesam and Chidambara Rahasiyam directed by Tamil director Naga. He is the eldest son of lawyer and politician V. P. Raman and elder brother of P. S. Raman, Former Advocate-General of Tamil Nadu. His daughter Vidyullekha Raman made her debut in Neethane En Ponvasantham He is also the uncle of Gautam.S.Raman.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Daniel Genis	http://dbpedia.org/resource/Alexander_Genis	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Daniel_Genis	(**he=Alexander Genis**): He is the father of Daniel Genis	Alexander Genis (born February 11, 1953) is a Russian–American writer, broadcaster, and cultural critic. He has written more than a dozen books that are non-fiction bestsellers in Russia. Genis, an American citizen, resides in the New York City area. He is the father of Daniel Genis, writer and journalist.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Daniel Parke Custis	http://dbpedia.org/resource/John_Custis	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Daniel_Parke_Custis	(**his=John Custis**): His only surviving son, Daniel Parke Custis	John Custis (August 1678–after 14 November 1749) was a member of the Governor's Council in the British Colony of Virginia. Often he is designated as John Custis IV or John Custis of Williamsburg to distinguish him from his grandfather, father, and other relatives of the same name. His parents were John Custis (ca. 1654–1714) (usually designated John Custis III or John Custis of Wilsonia), who was also a Council member, and Margaret Michael Custis. Custis was born at Arlington in Northampton County, Virginia. On 4 May 1706 he married Frances Parke, the elder daughter and heiress of Daniel Parke, governor of the Leeward Islands. Custis had moved to Williamsburg, Virginia by 1717. There he created a magnificent 4-acre (16,000 m2) garden and corresponded with many celebrated horticulturists and naturalists, including John Bartram, Mark Catesby, and Peter Collinson. Custis served on the governor's Council from 1727 until increasingly ill health forced him to request to be suspended in August 1749. In 1744, John Custis took the extraordinary step of petitioning the Governor and Council to set a slave child free. The petition stated the boy was "Christened John but commonly called Jack, born of the body of his Negro wench, Alice." He died soon after completing his will on 14 November 1749. At his request, he was buried on the Eastern Shore of Virginia at the Arlington plantation's Custis Tombs. In his will Custis instructed his son, on pain of being cut off with only one shilling, to place on his marble tomb the wording that Custis had "Yet lived but Seven years which was the Space of time he kept a Batchelors House at Arlington on the Eastern Shoar of Virginia. This Inscription put on this Stone by his own positive Orders." His only surviving son, Daniel Parke Custis, was the first husband of Martha Washington.	
