number of equals =	1363
number of contains =	550
notInAbstractList =	8227
Appoaches:
	Sbj-Obj =	1363
	Pronoun-Obj =	550
Extraction:
	In Sentence =	1644
	In Paragraph =	269
Blank Sentences =	3
Number of articles not found in 2016-10 wikipedia nif version =	68	Alona_Barkat,Karri_Käyhkö,Pekka_Lairola,Märta_Blomstedt,Steven_Hutchinson,Bakare_Kone,Hans-Ulrich_Dürst,Tiago_Portuga,Jean-Baptiste_Mockey,Barbara_McDermott,Keith_Carlos__Keith_Carlos__1,Isa_Pola,Carlo_Tononi,Guido_Fantoni,Leonardo_Cremonini,Paolo_La_Rosa,Gloria_Christian,Eugene_%22Sdwig%22_Zvidionny,Leo_%22K'millian%22_Moyo,Oleg_Pungin,Shota_Omine,Yuu_Tejima,Kiyoe_Yoshioka,Peeco,Takahiro_Imanami,Moriji_Mochida,Toyo_Asayama,Andriy_Lunin,Chihiro_Noda,Yu_Tamura_(footballer),Hiroshi_Miyaoka,Dilpreet_Dhillon,Marnie_Mosiman,Ikuko_Yoda,Hikaru_Sato__Hikaru_Sato__1,Nick_Thometz,Taiki_Tamukai,Boris_Gorbatov,Hisashi_Takeda,Natsuki_Sato,Nataliya_Obmochaeva,Mohammad_Reza_Tonekaboni,Hashiru_Shimono,Hayato_Ikegaya,Kristine_Marie_Jensen,Nobuyuki_Shiina,Ryuji_Okada,Takuro_Uehara,Yuya_Hikichi_(footballer,_born_1990),Yuya_Nakasaka,Masato_Yuzawa,Takuya_Kakine,Yusaku_Toyoshima,Nastassia_Staravoitava,Nail_Mukhamedyarov,Sohichiro_Amaya,Sakura_Miyajima,Akihiro_Higashide,Ayatollah_Sheykh_Gholam_Hossein_Tabrizi,Ko_Kyung-te,Yuma_Takahashi,Jeff_Stinco,Atsushi_Ugumori,Kohei_Hattori,Koki_Matsuzawa,Ryota_Sekiya,Shun_Takagi,Yoshiki_Matsushita,
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Contains	0	Abstract	In Sentence	Sbj-Obj		School of Antioch	http://dbpedia.org/resource/Theodoret	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Antioch	Theodoret of Cyrus or Cyrrhus (Greek: Θεοδώρητος Κύρρου; c. AD 393 – c. 458/466) was an influential theologian of the School of Antioch	Theodoret of Cyrus or Cyrrhus (Greek: Θεοδώρητος Κύρρου; c. AD 393 – c. 458/466) was an influential theologian of the School of Antioch, biblical commentator, and Christian bishop of Cyrrhus (423–457). He played a pivotal role in several 5th-century, Byzantine Church controversies that led to various ecumenical acts and schisms. He is called "blessed" in the Eastern Orthodox Church, and some Chalcedonian and East Syrian Christians regard him as a saint.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Haifa	http://dbpedia.org/resource/Ella_Milch-Sheriff	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Haifa	Ella Milch-Sheriff (Hebrew: אלה מילך-שריף) is an Israeli composer. Born in Haifa	Ella Milch-Sheriff (Hebrew: אלה מילך-שריף) is an Israeli composer. Born in Haifa, Israel, Milch-Sheriff began her career as a composer at the age of 12. During her military service she composed, performed and interpreted her own songs after which she returned to classical music studying composition under the direction of Professor Tzvi Avni and graduating in composition from the Rubin Academy of Music at Tel Aviv University. Milch-Sheriff has composed operas, chamber, orchestral and vocal music as well as popular music and solo works.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Ashkelon	http://dbpedia.org/resource/Ruth_Dolores_Weiss	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Ashkelon	Weiss' songs, said it was like discovering Billie Holiday or Björk in Ashkelon	Ruth Dolores Weiss (Hebrew: רות דולורס וייס‎‎; born February 23, 1978, in Ashkelon, Israel) is an Israeli musician. She released her second studio album, Be'Ivrit (literally, "In Hebrew"), to critical acclaim in Israel in August 2008. Ben Shalev, Israel's top music critic, writing about the album in Haaretz, said, "Amazing. There is no other word to describe the encounter with the voice, talent, sensitivity, emotion and spirit of Ruth Dolores Weiss." Another Israeli music critic, David Peretz, one of the first to hear Weiss' songs, said it was like discovering Billie Holiday or Björk in Ashkelon, her hometown. Weiss' previous album, Come See (Raw Versions), was released in 2004. Weiss lived in Austin, Texas, for a few years before releasing Be'Ivrit, but returned to live in Israel with her family to tour, perform and record. She also composed the soundtrack for the film Hayuta and Berl by Amir Manor in 2012.	
Contains	0	Abstract	In Sentence	Sbj-Obj		FC Espoo	http://dbpedia.org/resource/Jami_Puustinen	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Espoo	Puustinen began his career with FC Kasiysi at the age of eight in 1995, before signing for FC Espoo	Jami Petteri Puustinen (born 9 January 1987) is a Finnish football player who plays as a striker for FC Haka. Born in Espoo, Puustinen began his career with FC Kasiysi at the age of eight in 1995, before signing for FC Espoo in 2000. After going on trial with Manchester United in July 2003, Puustinen attracted attention from several big European clubs, before signing a three-year contract with United on 29 September 2003. However, Puustinen never made a senior appearance for Manchester United and he was released in January 2006. He then returned to Finland to sign for newly promoted FC Honka. After the 2011 season his contract with Honka expired and he became a free agent. On 21 February 2012 it was announced that Puustinen had signed a 1+1 year contract with fellow Finnish team, FC Haka. Puustinen was a regular member of the Finland national under-21 football team.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Espoo	http://dbpedia.org/resource/Jami_Puustinen	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Espoo	Jami Petteri Puustinen (born 9 January 1987) is a Finnish football player who plays as a striker for FC Haka. Born in Espoo	Jami Petteri Puustinen (born 9 January 1987) is a Finnish football player who plays as a striker for FC Haka. Born in Espoo, Puustinen began his career with FC Kasiysi at the age of eight in 1995, before signing for FC Espoo in 2000. After going on trial with Manchester United in July 2003, Puustinen attracted attention from several big European clubs, before signing a three-year contract with United on 29 September 2003. However, Puustinen never made a senior appearance for Manchester United and he was released in January 2006. He then returned to Finland to sign for newly promoted FC Honka. After the 2011 season his contract with Honka expired and he became a free agent. On 21 February 2012 it was announced that Puustinen had signed a 1+1 year contract with fellow Finnish team, FC Haka. Puustinen was a regular member of the Finland national under-21 football team.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Hebron	http://dbpedia.org/resource/Avraham_Chaim_Naeh	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Hebron	Naeh was born in Hebron	Avraham Chaim Naeh (1890–1954) was a Lubavitcher chassid and major posek (halachic authority) active during the first half of twentieth century. He is most famous for his works Ketzos ha-Shulchan, Piskei HaSiddur, Shi'urei Mikveh, and Shi'urei Torah, (Measurements of the Torah), in which he converted biblical measurements into contemporary measurements. The work is of significance as much of Jewish law involves specific requirements of certain sizes and quantities. Naeh was born in Hebron. His father, Rabbi Menachem Mendel Naeh, was the dean of the Magen Avos Yeshiva, founded by the Sdei Chemed. He studied in his youth at the Ohel Moshe Yeshiva, under Rabbi Yitzchak Yerucham Diskin. In 1912, Naeh published Chanoch LaNa'ar, a book containing laws for bar mitzvah boys. When World War I broke out, the Ottoman authorities expelled people from Palestine who did not possess Turkish citizenship. Many of the dispossessed Jews found refuge in Alexandria, Egypt, where Naeh opened a yeshiva called "Yeshivat Eretz Yisrael". His yeshivah had 200 students who had been exiled from Jerusalem. In Alexandria, Naeh wrote Shenot Chaim, a special Kitzur Shulchan Aruch for Sephardic Jews. In 1918, he returned to Palestine and served as the personal secretary of the Edah HaChareidis, under Rabbi Yosef Chaim Sonnenfeld,. He published his most famous work Ketzos HaShulchan in 1926. In 1948, he founded the Vaad HaRabbanim of Agudas Yisrael and later helped found the haredi weekly newspapers, Kol Yisrael and HaModia.	
Contains	0	Abstract	In Sentence	Sbj-Obj		Hapoel Ashkelon	http://dbpedia.org/resource/Eliran_Asao	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Ashkelon	Asao played in Hapoel Ashkelon	Eliran Asao (Hebrew: אלירן אסאו‎‎, born February 3, 1985) is a former Israeli footballer. Asao played in Hapoel Ashkelon, Bnei Yehuda and Hapoel Ramat Gan, among others, before having to retire through injury in 2011.	
Contains	0	Abstract	In Sentence	Sbj-Obj		F.C. Haifa	http://dbpedia.org/resource/Eyal_Tartazky	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Haifa	Eyal Tartazky (Hebrew:אייל טרטצקי ;born September 13, 1977) is an Israeli footballer currently playing for F.C. Haifa	Eyal Tartazky (Hebrew:אייל טרטצקי ;born September 13, 1977) is an Israeli footballer currently playing for F.C. Haifa.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Ramallah	http://dbpedia.org/resource/Nabeel_Kassis	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Ramallah	Nabeel Kassis (Arabic: نبيل قسيس‎‎), also transliterated as Nabil Kassis, Nabil Qasis, Nabeel Qassis, etc, is a Palestinian academic and politician from Ramallah	Nabeel Kassis (Arabic: نبيل قسيس‎‎), also transliterated as Nabil Kassis, Nabil Qasis, Nabeel Qassis, etc, is a Palestinian academic and politician from Ramallah. He was born 1945.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Haifa	http://dbpedia.org/resource/Tamar_Ziskind	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Haifa	Tamar Ziskind (Hebrew: תמר זיסקינד‎‎;born February 23, 1985 in Haifa	Tamar Ziskind (Hebrew: תמר זיסקינד‎‎;born February 23, 1985 in Haifa, Israel) is a beauty pageant contestant who represented Israel in Miss World 2008 in South Africa. She has worked as a psychometrics instructor and has studied dentistry.	
