number of equals =	1522
number of contains =	819
notInAbstractList =	8007
Appoaches:
	Sbj-Obj =	1403
	Pronoun-Obj =	938
Extraction:
	In Sentence =	2235
	In Paragraph =	106
Blank Sentences =	1
Number of articles not found in 2016-10 wikipedia nif version =	31	Dilip_Dandekar,Ben_%22Yahtzee%22_Croshaw,Tom_Osborne__Tom_Osborne__1,Jersey_Joe_Walcott__Arnold_%22Jersey_Joe_Walcott%22_Cream__1,Ken_Dryden__Ken_Dryden__1,Donald_%22Buz%22_Lukens,David_E._Clemmer,John_%22Bam%22_Carney,J._E._%22Buster%22_Brown,Billy_Chow__Billy_Chow__1,Sahab_Singh_Chauhan,Becca_Swanson__Becca_Swanson__1,C._E._%22Cap%22_Barham,Chris_Collins_(Virginia_politician),William_T._%22Bill%22_Hanna,John_Bell_(Florida_politician),Roberto_%22Cyborg%22_Abreu,Toshifumi_Takeshima,CM_Punk__CM_Punk__1,CM_Punk__CM_Punk__1,Amin_Mahmoud_(politician)__Amin_A._Mahmoud__1,Theodore_%22Ted%22_Jones,Clarence_%22Tiger%22_Davis,Carson_W._%22Bill%22_Beck,Chris_Haueter,Saurabh_Gadgil,Adam_Goode,Achim_Albrecht__Achim_Albrecht__1,Yukio_Sakaguchi__Yukio_Sakaguchi__1,C._H._%22Sammy%22_Downs,Fernando_Chien,
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	0	Abstract	In Sentence	Sbj-Obj		Lusaka	http://dbpedia.org/resource/Petersen_Zagaze	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Lusaka	Petersen Zagaze is a Zambian Reggae recording artist, record and producer from Lusaka	Mukubesa Mundia (born September 28, 1982), better known by his stage name Petersen Zagaze is a Zambian Reggae recording artist, record and producer from Lusaka, Zambia. He initially gained recognition after his first single in 2005 Munyaule. Petersen is also the chief executive officer (CEO) of his own label imprint, Zaga Lyfe Entertainnment and 2016 Kora Awards Best Male Southern Africa Nominee.	
Contains	0	Abstract	In Sentence	Sbj-Obj		Ubisoft Montreal	http://dbpedia.org/resource/Alex_Amancio	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Montreal	Amancio is Chief Creative Officer of Lune Rouge and Co-Founder of Reflector Entertainment Ltd., formerly a Creative Director of Assassin's Creed at Ubisoft Montreal	Alexandre Amancio is Chief Creative Officer of Lune Rouge and Co-Founder of Reflector Entertainment Ltd., formerly a Creative Director of Assassin's Creed at Ubisoft Montreal. Amancio joined the Ubisoft Montreal team in 2005 as Art Director. On Far Cry 2, he led the art team and spearheaded an innovative shader system that became the foundations of the Dunia engine graphical pipeline. This innovative technique was soon turned into an Autodesk Master Class, for which Amancio delivered several conferences across the globe. In 2009, Amancio was offered a position as the Creative Director of Assassin’s Creed Revelations, a game that was reportedly completed in less than a year. Amancio left Ubisoft in 2012 for a short foray as Chief Creative Officer of Cossette, a Montreal-based advertising agency, but was soon back at Ubisoft to help complete Assassin’s Creed Unity, which had already been in the works for two years. Following Assassin’s Creed Unity, Amancio left Ubisoft and is now Chief Creative Officer of Lune Rouge, a holding and investment firm held by Cirque du Soleil founder, Guy Laliberté, as well as Co-Founder of Reflector Entertainment Ltd., an enterprise that focuses on the creation of original transmedia content. He has been nominated twice for Outstanding Achievement in Video Game Writing at the Writer’s Guild Awards, for Assassin’s Creed Revelations in 2012  and Assassin’s Creed Unity in 2015.	
Contains	0	Abstract	In Sentence	Sbj-Obj		Ubisoft Montreal	http://dbpedia.org/resource/Alex_Amancio	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Montreal	Amancio joined the Ubisoft Montreal	Alexandre Amancio is Chief Creative Officer of Lune Rouge and Co-Founder of Reflector Entertainment Ltd., formerly a Creative Director of Assassin's Creed at Ubisoft Montreal. Amancio joined the Ubisoft Montreal team in 2005 as Art Director. On Far Cry 2, he led the art team and spearheaded an innovative shader system that became the foundations of the Dunia engine graphical pipeline. This innovative technique was soon turned into an Autodesk Master Class, for which Amancio delivered several conferences across the globe. In 2009, Amancio was offered a position as the Creative Director of Assassin’s Creed Revelations, a game that was reportedly completed in less than a year. Amancio left Ubisoft in 2012 for a short foray as Chief Creative Officer of Cossette, a Montreal-based advertising agency, but was soon back at Ubisoft to help complete Assassin’s Creed Unity, which had already been in the works for two years. Following Assassin’s Creed Unity, Amancio left Ubisoft and is now Chief Creative Officer of Lune Rouge, a holding and investment firm held by Cirque du Soleil founder, Guy Laliberté, as well as Co-Founder of Reflector Entertainment Ltd., an enterprise that focuses on the creation of original transmedia content. He has been nominated twice for Outstanding Achievement in Video Game Writing at the Writer’s Guild Awards, for Assassin’s Creed Revelations in 2012  and Assassin’s Creed Unity in 2015.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Alexandria, Louisiana	http://dbpedia.org/resource/Herbert_Dixon_(Louisiana_politician)	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Alexandria,_Louisiana	Herbert Bernard Dixon, Sr. (born July 29, 1949), is a Democratic politician from Alexandria, Louisiana	Herbert Bernard Dixon, Sr. (born July 29, 1949), is a Democratic politician from Alexandria, Louisiana. He served in the Louisiana House of Representatives from 2008 until his resignation for health reasons on December 11, 2014. In December 2015, he was declared free of bladder cancer.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Austin, Texas	http://dbpedia.org/resource/Gavin_Free	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Austin,_Texas	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas. Originally from Thame in Oxfordshire, he is best known for his work at the Austin, Texas-based production company Rooster Teeth – where he formerly served as creative director – featuring in many of their projects, including the Achievement Hunter gaming division; starring in his own YouTube-based web series The Slow Mo Guys, which he created with friend Daniel Gruchy; and co-starring in the animated comedy series X-Ray and Vav alongside Ray Narvaez, Jr.. The Slow Mo Guys features slow-motion footage of various stunts and experiments, garnering over 970 million views since it launched in 2010. In April 2011, the channel was voted the winner of YouTube's On The Rise program, which highlights up-and-coming YouTube partners on the homepage. In September 2012, their episode involving crushing watermelons was featured on The Tonight Show. Free appeared alongside Gruchy in YouTube Rewind 2013, 2014, and 2015. He is also known for his slow motion cinematography work for films, including Hot Fuzz (2007), Sherlock Holmes: A Game of Shadows (2011), Snow White and the Huntsman (2012), and Dredd (2012). Free has also worked on slow-motion footage for the BBC show Top Gear. In 2014, Free and fellow Rooster Teeth employee and domestic partner Meg Turney, were featured in the music video for Barenaked Ladies single "Did I Say That Out Loud?". He starred in the science fiction action comedy film Lazer Team (2016), alongside his Rooster Teeth co-workers Burnie Burns and Michael Jones.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Chicago	http://dbpedia.org/resource/Carter_Harrison_Jr.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Chicago	Carter Henry Harrison Jr. (April 23, 1860 – December 25, 1953) was an American politician who served as Mayor of Chicago	Carter Henry Harrison Jr. (April 23, 1860 – December 25, 1953) was an American politician who served as Mayor of Chicago, Illinois (1897–1905 and 1911–1915). The City's 30th mayor, he was the first actually born in Chicago.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Chicago	http://dbpedia.org/resource/Carter_Harrison_Sr.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Chicago	Carter Henry Harrison Sr. (February 15, 1825 – October 28, 1893) was an American politician who served as mayor of Chicago	Carter Henry Harrison Sr. (February 15, 1825 – October 28, 1893) was an American politician who served as mayor of Chicago, Illinois, from 1879 until 1887; he was subsequently elected to a fifth term in 1893 but was assassinated before completing his term. He previously served two terms in the United States House of Representatives. Harrison was the first cousin twice removed of President William Henry Harrison. Born near Lexington, Kentucky, to Carter Henry Harrison II and Caroline Russell, he was only a few months old when his father died. He was educated by private tutors, and was graduated from Yale College in 1845 as a member of Scroll and Key. Following graduation, he traveled and studied in Europe from 1851 to 1853 before entering Transylvania College in Lexington, where he earned a law degree in 1855. He was admitted to the bar in 1855 and commenced practice in Chicago; Harrison came to Chicago because he saw it as a land of opportunity. Harrison ran an unsuccessful campaign in 1872 for election to the Forty-third Congress. Beginning in 1874, he served as a member of the board of commissioners of Cook County. He was elected as a Democrat to the Forty-fourth and Forty-fifth Congresses, and delegate to the 1880 and 1884 Democratic National Conventions. Harrison married Margarette (or Margaret) E. Stearns in 1882, following the death of his first wife in 1876. She was the daughter of Chicago pioneer Marcus C. Stearns.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Chicago	http://dbpedia.org/resource/John_Coughlin_(alderman)	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Chicago	John Coughlin (August 15, 1860 – November 11, 1938) was an alderman of Chicago	"Bathhouse" John Coughlin (August 15, 1860 – November 11, 1938) was an alderman of Chicago's First Ward from 1892 until his death. He was the longest serving alderman in Chicago history until November 2014 when his record was surpassed by Edward M. Burke.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Chicago	http://dbpedia.org/resource/Greg_Harris_(Illinois_politician)	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Chicago	Harris (born June 5, 1955) is a Democratic member of the Illinois House of Representatives, having represented the state's 13th district since 2007. He was elected in November 2006, having been selected by the 13th district's Democratic ward committeemen to replace Larry McKeon as the party's nominee on the November ballot. No Republican filed for the District 13 seat in downtown Chicago	Gregory S. Harris (born June 5, 1955) is a Democratic member of the Illinois House of Representatives, having represented the state's 13th district since 2007. He was elected in November 2006, having been selected by the 13th district's Democratic ward committeemen to replace Larry McKeon as the party's nominee on the November ballot. No Republican filed for the District 13 seat in downtown Chicago so he was elected unopposed. He also ran unopposed for re-election in 2008. McKeon, who had held the seat for five terms, announced his intention to retire from the legislature in July 2006. He had, though, already been re-elected in the March primary election to be the Democratic candidate on the November general-election ballot, and it fell to the local Democratic committeemen to select his successor to appear on the ballot. Harris, like McKeon, is both openly gay and HIV-positive. At the time of his selection, Harris had been chief of staff to Chicago’s 48th Ward Alderman Mary Ann Smith for 14 years. An alumnus of the University of Colorado, he had previously worked for social service agencies. Harris is one of four openly gay members of the Illinois General Assembly, alongside Reps. Deb Mell (D-Chicago), Kelly Cassidy (D-Chicago), and Sam Yingling (D-Round Lake Beach). In 2010, Harris sponsored The Illinois Religious Freedom Protection & Civil Union Act (SB1716), which was signed into law on January 31, 2011 by Governor Pat Quinn. The act established civil unions in Illinois.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Chicago	http://dbpedia.org/resource/John_Powers_(alderman)	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Chicago	John Coughlin and Hinky Dink Kenna, Powers was considered one of the leaders of the "Gray Wolves" of Chicago	John Powers (February 15, 1852 in Brannon, Ireland - May 19, 1930) served as an alderman in Chicago, Illinois (1888-1903, 1904–1927) for the Democratic Party. He was known as Johnny De Pow by his constituents. Along with Bathhouse John Coughlin and Hinky Dink Kenna, Powers was considered one of the leaders of the "Gray Wolves" of Chicago politics. Powers arrived in Chicago in 1872 and began working as an apprentice to a grocer. After opening his own grocery store, he added a tavern next to it and used his exposure there to begin a political career as a ward captain. In 1888, Powers ran for alderman of Chicago's 19th ward and won, after which he closed his grocery, but continued to run his saloon, eventually going into business with fellow an alderman, William O'Brian, to open a larger saloon which included gambling. Powers introduced the practice of distributing free turkeys, ducks, and geese to voters at Christmas, but his inability to keep his ward clean of garbage or maintain the schools led Jane Addams to target him. Addams also focused on Powers' corruption, citing instances of cronyism and bribery. Powers, in turn, used Addams's attacks on him to brand her as anti-Catholic, but he also hired her to be the ward's garbage inspector, the only paying job she ever held. In 1903, Powers ran against incumbent Peter F. Galligan for the state senate. During the campaign, Galligan showed up at Powers's home and attacked him with a brickbat. Powers won the election, but the following year he returned to Chicago and was reelected to serve as the 19th ward alderman, a position he retained until 1927. By the 1910s, the ethnic makeup of his ward had begun to change. Instead of being 90 percent Irish, it was only about 50 percent Irish, with the remainder being made up of Italian and Jewish immigrants. On September 28, 1920, a bomb exploded at Powers' home at 1284 Macalister shortly after he arrived, this proved to be the opening salvo in the 1921 aldermanic election. In 1921, Anthony D'Andrea, who Powers had supported for ward committeeman in 1919, but pulled his support after the Supreme Court negated D'Andrea's initial victory, challenged Powers for his seat as alderman. The election was marked by violence, which continued after Powers won the election by 381 votes. Shortly after the election, D'Andrea was assassinated. This election was the culmination of the Aldermen's Wars. Powers died as his home at 6038 Sheridan Road, on May 19, 1930, suffering from pulmonary edema and anemia, although he had been suffering throat tumors since 1929.	
