number of equals =	2104
number of contains =	73
notInAbstractList =	7879
Appoaches:
	Sbj-Obj =	1146
	Pronoun-Obj =	1031
Extraction:
	In Sentence =	2092
	In Paragraph =	85
Blank Sentences =	1
Number of articles not found in 2016-10 wikipedia nif version =	19	Ryoko_Tani__谷_亮子__1,Josias,_Hereditary_Prince_of_Waldeck_and_Pyrmont__Prince_Josias__1,Lucky_Dias,Giovanna_Ewbank,Cameron_%22Buck%22_Williams,Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł,Krzysztof_Mikołaj_%22the_Thunderbolt%22_Radziwiłł,John_Graham_(Australian_politician),François-Bernard_Lépicié,Tracy_%22Bird%22_Van_Adams,Vladimir_Lenin,Kelly_Ryan__Kelly_Ryan__1,13th_Earl_of_Devon,Stephen_%22tWitch%22_Boss,Charles_%22Buddy%22_Rogers,Michał_Kazimierz_%22Rybeńko%22_Radziwiłł,10th_Earl_of_Devon,Jan_van_Paradijs,Emmi_Dölling,
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	0	Abstract	In Sentence	Sbj-Obj		Caroline of Brunswick	http://dbpedia.org/resource/George_IV_of_the_United_Kingdom	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Caroline_of_Brunswick	the title "the first gentleman of England", but his poor relationship with both his father and his wife, Caroline of Brunswick	George IV (George Augustus Frederick; 12 August 1762 – 26 June 1830) was King of the United Kingdom of Great Britain and Ireland and of Hanover following the death of his father, George III, on 29 January 1820, until his own death ten years later. From 1811 until his accession, he served as Prince Regent during his father's final mental illness. George IV led an extravagant lifestyle that contributed to the fashions of the Regency era. He was a patron of new forms of leisure, style and taste. He commissioned John Nash to build the Royal Pavilion in Brighton and remodel Buckingham Palace, and Sir Jeffry Wyattville to rebuild Windsor Castle. His charm and culture earned him the title "the first gentleman of England", but his poor relationship with both his father and his wife, Caroline of Brunswick, and his dissolute way of life, earned him the contempt of the people and dimmed the prestige of the monarchy. He even forbade Caroline to attend his coronation and asked the government to introduce the unpopular Pains and Penalties Bill in a desperate, unsuccessful attempt to divorce her. For most of George's regency and reign, Lord Liverpool controlled the government as Prime Minister, with little help from George. His ministers found his behaviour selfish, unreliable and irresponsible. At all times he was much under the influence of favourites. Taxpayers were angry at his wasteful spending at a time when Britons were fighting in the Napoleonic Wars. He did not provide national leadership in time of crisis, nor act as a role model for his people. Liverpool's government presided over Britain's ultimate victory, negotiated the peace settlement, and attempted to deal with the social and economic malaise that followed. After Liverpool's retirement, George was forced to accept Catholic emancipation despite opposing it. His only child, Princess Charlotte, died before him in 1817 and so he was succeeded by his younger brother, William.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Brad Pitt	http://dbpedia.org/resource/Jennifer_Aniston	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Brad_Pitt	Jennifer Joanna Aniston (born February 11, 1969) is an American actress, producer, and businesswoman. The daughter of Greek actor John Aniston and American actress Nancy Dow, Aniston gained worldwide recognition for portraying Rachel Green on the popular television sitcom Friends (1994–2004), a role which earned her a Primetime Emmy Award, a Golden Globe Award, and a Screen Actors Guild Award. The character was widely popular during the airing of the series and was later recognized as one of the 100 greatest female characters in United States television. Aniston has played the female protagonist in a number of comedies and romantic comedies. Her box office hits include Bruce Almighty (2003), The Break-Up (2006), Marley & Me (2008), Just Go with It (2011), Horrible Bosses (2011), and We're the Millers (2013), each of which have grossed over US$200 million in worldwide receipts. Her most critically acclaimed roles included the role of Olivia in Friends with Money (2006), The Good Girl (2002), for which she was nominated for an Independent Spirit Award for Best Female Lead, and the drama Cake (2014), for which she received nominations for the Golden Globe Award and the Screen Actors Guild Award for Best Actress. Her other films include Along Came Polly (2004) and He's Just Not That Into You (2009). In 2008, she co-founded the production company Echo Films. In 2012, Aniston received a star on the Hollywood Walk of Fame. She is one of the highest paid actresses in Hollywood, and as of 2014, her net worth is estimated to be US$150 million. She has also been included in magazines' lists of the world's most beautiful women. People magazine named Aniston "The Most Beautiful Woman" in 2004 and 2016, and Men's Health magazine voted her the "Sexiest Woman of All Time" in 2011. Divorced from actor Brad Pitt	Jennifer Joanna Aniston (born February 11, 1969) is an American actress, producer, and businesswoman. The daughter of Greek actor John Aniston and American actress Nancy Dow, Aniston gained worldwide recognition for portraying Rachel Green on the popular television sitcom Friends (1994–2004), a role which earned her a Primetime Emmy Award, a Golden Globe Award, and a Screen Actors Guild Award. The character was widely popular during the airing of the series and was later recognized as one of the 100 greatest female characters in United States television. Aniston has played the female protagonist in a number of comedies and romantic comedies. Her box office hits include Bruce Almighty (2003), The Break-Up (2006), Marley & Me (2008), Just Go with It (2011), Horrible Bosses (2011), and We're the Millers (2013), each of which have grossed over US$200 million in worldwide receipts. Her most critically acclaimed roles included the role of Olivia in Friends with Money (2006), The Good Girl (2002), for which she was nominated for an Independent Spirit Award for Best Female Lead, and the drama Cake (2014), for which she received nominations for the Golden Globe Award and the Screen Actors Guild Award for Best Actress. Her other films include Along Came Polly (2004) and He's Just Not That Into You (2009). In 2008, she co-founded the production company Echo Films. In 2012, Aniston received a star on the Hollywood Walk of Fame. She is one of the highest paid actresses in Hollywood, and as of 2014, her net worth is estimated to be US$150 million. She has also been included in magazines' lists of the world's most beautiful women. People magazine named Aniston "The Most Beautiful Woman" in 2004 and 2016, and Men's Health magazine voted her the "Sexiest Woman of All Time" in 2011. Divorced from actor Brad Pitt, to whom she was married for five years, she has been married to actor Justin Theroux since 2015.	
Equal	0	Abstract	In Sentence	Pronoun-Obj		Cnut the Great	http://dbpedia.org/resource/Emma_of_Normandy	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Cnut_the_Great	(**her=Emma of Normandy**): her marriages to Æthelred the Unready (1002-1016) and Cnut the Great	Emma of Normandy (c. 985 – 6 March 1052) was a queen consort of England, Denmark and Norway. She was the daughter of Richard I, Duke of Normandy, and his second wife, Gunnora. Through her marriages to Æthelred the Unready (1002-1016) and Cnut the Great (1017-1035), she became the Queen Consort of England, Denmark, and Norway. She was the mother of three sons, Edward the Confessor, Alfred, and Harthacnut, as well as two daughters, Goda of England, and Gunhilda of Denmark. Even after her husbands' deaths Emma remained in the public eye, and continued to participate actively in politics. As Anne J. Duggan notes, Emma is the "first of the early medieval queens" portrayed visually and she is the central figure within the Encomium Emmae Reginae, a critical source for the history of early 11th-century English politics.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Clark Gable	http://dbpedia.org/resource/Carole_Lombard	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Clark_Gable	Lombard married "the King of Hollywood", Clark Gable	Carole Lombard (born Jane Alice Peters, October 6, 1908 – January 16, 1942) was an American film actress. She was particularly noted for her energetic, often off-beat roles in the screwball comedies of the 1930s. She was the highest-paid star in Hollywood in the late 1930s. Lombard was born into a wealthy family in Fort Wayne, Indiana, but was raised in Los Angeles by her single mother. At 12, she was recruited by the film director Allan Dwan and made her screen debut in A Perfect Crime (1921). Eager to become an actress, she signed a contract with the Fox Film Corporation at age 16, but mainly played bit parts. She was dropped by Fox after a car accident left a scar on her face. Lombard appeared in 15 short comedies for Mack Sennett between 1927 and 1929, and then began appearing in feature films such as High Voltage and The Racketeer. After a successful appearance in The Arizona Kid (1930), she was signed to a contract with Paramount Pictures. Paramount quickly began casting Lombard as a leading lady, primarily in drama films. Her fame increased when she married William Powell in 1931, but the pair divorced two years later. A turning point in Lombard's career came in 1934, when she starred in Howard Hawks' pioneering screwball comedy Twentieth Century. The actress found her niche in this genre, and continued to appear in films such as Hands Across the Table (1935) - forming a popular partnership with Fred MacMurray - My Man Godfrey (1936), for which she was nominated for the Academy Award for Best Actress, and Nothing Sacred (1937). During this period, Lombard married "the King of Hollywood", Clark Gable, and the pair was treated in the media as a celebrity supercouple. Keen to win an Oscar, at the end of the decade, Lombard began to move towards more serious roles. Unsuccessful in this aim, she returned to comedy in Alfred Hitchcock's Mr. & Mrs. Smith (1941) and Ernst Lubitsch's To Be or Not to Be (1942) – her final film role. Lombard's career was cut short when she died at the age of 33 in an aircraft crash on Mount Potosi, Nevada, while returning from a War Bond tour. Today, she is remembered as one of the definitive actresses of the screwball comedy genre and American comedy, and ranks among the American Film Institute's greatest female stars of classic Hollywood cinema.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Elizabeth Woodville	http://dbpedia.org/resource/John_Grey_of_Groby	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Elizabeth_Woodville	of Elizabeth Woodville	Sir John Grey, of Groby, Leicestershire (c. 1432 – 17 February 1461) was a Lancastrian knight, the first husband of Elizabeth Woodville who later married King Edward IV of England, and great-great-grandfather of Lady Jane Grey.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Elizabeth Taylor	http://dbpedia.org/resource/Richard_Burton	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Elizabeth_Taylor	Burton remains closely associated in the public consciousness with his second wife, actress Elizabeth Taylor	Richard Burton, CBE (/ˈbɜːrtən/; 10 November 1925 – 5 August 1984) was a Welsh stage and cinema actor noted for his mellifluous baritone voice. Establishing himself as a formidable Shakespearean actor in the 1950s, with a memorable performance of Hamlet in 1964, Burton was called "the natural successor to Olivier" by critic and dramaturg Kenneth Tynan. An alcoholic, Burton's failure to live up to those expectations disappointed critics and colleagues and fueled his legend as a great thespian wastrel. Burton was nominated seven times for an Academy Award without ever winning. He was a recipient of BAFTA, Golden Globe and Tony Awards for Best Actor. In the mid-1960s Burton ascended into the ranks of the top box office stars, and by the late 1960s was one of the highest-paid actors in the world, receiving fees of $1 million or more plus a share of the gross receipts. Burton remains closely associated in the public consciousness with his second wife, actress Elizabeth Taylor. The couple's turbulent relationship was rarely out of the news.	
Equal	0	Abstract	In Paragraph	Sbj-Obj		Jennifer Aniston	http://dbpedia.org/resource/Brad_Pitt	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Jennifer_Aniston	Brad" Pitt (born December 18, 1963) is an American actor and producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment. Pitt first gained recognition as a cowboy hitchhiker in the road movie Thelma & Louise (1991). His first leading roles in big-budget productions came with the dramas A River Runs Through It (1992) and Legends of the Fall (1994), and Interview with the Vampire (1994). He gave critically acclaimed performances in the crime thriller Seven and the science fiction film 12 Monkeys (both 1995), the latter earning him a Golden Globe Award for Best Supporting Actor and an Academy Award nomination. Pitt starred in the cult film Fight Club (1999) and the major international hit Ocean's Eleven (2001) and its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007). His greatest commercial successes have been Troy (2004), Mr. & Mrs. Smith (2005), and World War Z (2013). Pitt received his second and third Academy Award nominations for his leading performances in The Curious Case of Benjamin Button (2008) and Moneyball (2011). He produced The Departed (2006) and 12 Years a Slave (2013), both of which won the Academy Award for Best Picture, and also The Tree of Life, Moneyball, and The Big Short (2015), all of which garnered Best Picture nominations. As a public figure, Pitt has been cited as one of the most influential and powerful people in the American entertainment industry, as well as the world's most attractive man, by various media outlets. His personal life is also the subject of wide publicity. Divorced from actress Jennifer Aniston	William Bradley "Brad" Pitt (born December 18, 1963) is an American actor and producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment. Pitt first gained recognition as a cowboy hitchhiker in the road movie Thelma & Louise (1991). His first leading roles in big-budget productions came with the dramas A River Runs Through It (1992) and Legends of the Fall (1994), and Interview with the Vampire (1994). He gave critically acclaimed performances in the crime thriller Seven and the science fiction film 12 Monkeys (both 1995), the latter earning him a Golden Globe Award for Best Supporting Actor and an Academy Award nomination. Pitt starred in the cult film Fight Club (1999) and the major international hit Ocean's Eleven (2001) and its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007). His greatest commercial successes have been Troy (2004), Mr. & Mrs. Smith (2005), and World War Z (2013). Pitt received his second and third Academy Award nominations for his leading performances in The Curious Case of Benjamin Button (2008) and Moneyball (2011). He produced The Departed (2006) and 12 Years a Slave (2013), both of which won the Academy Award for Best Picture, and also The Tree of Life, Moneyball, and The Big Short (2015), all of which garnered Best Picture nominations. As a public figure, Pitt has been cited as one of the most influential and powerful people in the American entertainment industry, as well as the world's most attractive man, by various media outlets. His personal life is also the subject of wide publicity. Divorced from actress Jennifer Aniston, to whom he was married for five years, he has been married to actress Angelina Jolie since 2014. They have six children together, three of whom were adopted internationally. In September 2016, Jolie filed for divorce from Pitt.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Laurence Olivier	http://dbpedia.org/resource/Vivien_Leigh	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Laurence_Olivier	Leigh was strongly identified with her second husband Laurence Olivier	Vivien Leigh (born Vivian Mary Hartley, and also known as Lady Olivier after 1947; 5 November 1913 – 8 July 1967) was an English stage and film actress. She won two Academy Awards for Best Actress for her performances as Scarlett O'Hara in Gone with the Wind (1939) and Blanche DuBois in the film version of A Streetcar Named Desire (1951), a role she had also played on stage in London's West End in 1949. She also won a Tony Award for her work in the Broadway musical version of Tovarich (1963). After her drama school education, Leigh appeared in small roles in four films in 1935 and progressed to the role of heroine in Fire Over England (1937). Lauded for her beauty, Leigh felt that it sometimes prevented her from being taken seriously as an actress. Despite her fame as a screen actress, Leigh was primarily a stage performer. During her 30-year stage career, she played roles ranging from the heroines of Noël Coward and George Bernard Shaw comedies to classic Shakespearean characters such as Ophelia, Cleopatra, Juliet, and Lady Macbeth. Later in life, she played character roles in a few films. To the public at the time, Leigh was strongly identified with her second husband Laurence Olivier, to whom she was married from 1940 to 1960. Leigh and Olivier starred together in many stage productions, with Olivier often directing, and in three films. She earned a reputation for being difficult to work with, as for much of her adult life she suffered from bipolar disorder as well as recurrent bouts of chronic tuberculosis, first diagnosed in the mid-1940s, which ultimately claimed her life at the age of 53. Although her career had periods of inactivity, in 1999, the American Film Institute ranked Leigh as the 16th greatest female movie star of classic Hollywood cinema.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Marie Antoinette	http://dbpedia.org/resource/Louis_XVI_of_France	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Marie_Antoinette	of France's middle and lower classes resulted in strengthened opposition to the French aristocracy and to the absolute monarchy, of which Louis and his wife, queen Marie Antoinette	Louis XVI (French pronunciation: ​[lwi sɛːz]; 23 August 1754 – 21 January 1793), born Louis-Auguste, also known as Louis Capet, was King of France from 1774 until his deposition in 1792, although his formal title after 1791 was King of the French. He was guillotined on 21 January 1793. His father, Louis, Dauphin of France, was the son and heir apparent of Louis XV of France, but his father died in 1765, and Louis succeeded his grandfather as king in 1774. The first part of Louis' reign was marked by attempts to reform France in accordance with Enlightenment ideas. These included efforts to abolish serfdom, remove the taille, and increase tolerance toward non-Catholics. The French nobility reacted to the proposed reforms with hostility, and successfully opposed their implementation. Louis implemented deregulation of the grain market, advocated by his liberal minister Turgot, but it resulted in an increase in bread prices. In periods of bad harvests, it would lead to food scarcity which would prompt the masses to revolt. From 1776 Louis XVI actively supported the North American colonists, who were seeking their independence from Great Britain, which was realized in the 1783 Treaty of Paris. The ensuing debt and financial crisis contributed to the unpopularity of the Ancien Régime which culminated at the Estates-General of 1789. Discontent among the members of France's middle and lower classes resulted in strengthened opposition to the French aristocracy and to the absolute monarchy, of which Louis and his wife, queen Marie Antoinette, were viewed as representatives. In 1789, the storming of the Bastille during riots in Paris marked the beginning of the French Revolution. Louis's indecisiveness and conservatism led some elements of the people of France to view him as a symbol of the perceived tyranny of the Ancien Régime, and his popularity deteriorated progressively. His disastrous flight to Varennes in June 1791, four months before the constitutional monarchy was declared, seemed to justify the rumors that the king tied his hopes of political salvation to the prospects of foreign invasion. The credibility of the king was deeply undermined and the abolition of the monarchy and the establishment of a republic became an ever increasing possibility. In a context of civil and international war, Louis XVI was suspended and arrested at the time of the insurrection of 10 August 1792 one month before the constitutional monarchy was abolished and the First French Republic proclaimed on 21 September 1792. He was tried by the National Convention (self-instituted as a tribunal for the occasion), found guilty of high treason, and executed by guillotine on 21 January 1793, as a desacralized French citizen known as "Citizen Louis Capet", a nickname in reference to Hugh Capet, the founder of the Capetian dynasty – which the revolutionaries interpreted as Louis' family name. Louis XVI was the only King of France ever to be executed, and his death brought an end to more than a thousand years of continuous French monarchy.	
Equal	0	Abstract	In Sentence	Sbj-Obj		Peter the Great	http://dbpedia.org/resource/Catherine_I_of_Russia	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Peter_the_Great	I Alekseyevna, born Polish: Marta Helena Skowrońska, later known as Marta Samuilovna Skavronskaya; 15 April [O.S. 5 April] 1684 – 17 May [O.S. 6 May] 1727) was the second wife of Peter the Great	Catherine I (Russian: Екатери́на I Алексе́евна, tr. Yekaterina I Alekseyevna, born Polish: Marta Helena Skowrońska, later known as Marta Samuilovna Skavronskaya; 15 April [O.S. 5 April] 1684 – 17 May [O.S. 6 May] 1727) was the second wife of Peter the Great and Empress of Russia from 1725 until her death.	
