Occupation	TOTAL TIME = 11 min, 26 sec
PartyAfiiliation	TOTAL TIME = 14 min, 28 sec
Awards	TOTAL TIME = 13 min, 22 sec
Spouse	TOTAL TIME = 20 min, 13 sec
Employer	TOTAL TIME = 1 min, 56 sec
Occupation	TOTAL TIME = 3 min, 55 sec
Occupation	TOTAL TIME = 4 min, 36 sec
Occupation	TOTAL TIME = 4 min, 28 sec
Occupation	TOTAL TIME = 0 min, 27 sec
	
Occupation	TOTAL TIME = 5 min, 39 sec
Awards	TOTAL TIME = 10 min, 48 sec
PartyAfiiliation	TOTAL TIME = 7 min, 8 sec
Nationality	TOTAL TIME = 5 min, 52 sec
Spouse	TOTAL TIME = 6 min, 18 sec
Children	TOTAL TIME = 9 min, 45 sec
CityOfBirth	TOTAL TIME = 7 min, 40 sec
CityOfResidence	TOTAL TIME = 7 min, 58 sec
Parents	TOTAL TIME = 7 min, 9 sec
PartyAfiiliation	TOTAL TIME = 8 min, 24 sec
Employer	TOTAL TIME = 3 min, 32 sec
SchoolAttended	TOTAL TIME = 5 min, 56 sec
Siblings	TOTAL TIME = 8 min, 46 sec
Awards	TOTAL TIME = 10 min, 41 sec
Children	TOTAL TIME = 8 min, 52 sec
Nationality	TOTAL TIME = 6 min, 40 sec
Nationality	TOTAL TIME = 9 min, 9 sec
Occupation	TOTAL TIME = 11 min, 3 sec
Spouse	TOTAL TIME = 10 min, 32 sec
