number of equals = 2951
number of contains = 176
notInAbstractList = 6906
Appoaches:
	Sbj-Obj = 2313
	Pronoun-Obj = 814
Extraction:
	In Sentence = 2969
	In Paragraph = 158
Blank Sentences = 7
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Sentence	Sbj-Obj		Caroline of Ansbach	http://dbpedia.org/resource/Louise_of_Great_Britain	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Caroline_of_Ansbach	of George II of Great Britain and Caroline of Ansbach	Louise of Great Britain (originally Louisa; 18 December 1724 – 19 December 1751) was Queen of Denmark and Norway from 1746 until her death, as the first wife of King Frederick V. She was the youngest surviving daughter of George II of Great Britain and Caroline of Ansbach.	
Equal	Abstract	In Sentence	Sbj-Obj		Catherine Deneuve	http://dbpedia.org/resource/Chiara_Mastroianni	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Catherine_Deneuve	Mastroianni and Catherine Deneuve	Chiara Charlotte Mastroianni (born 28 May 1972) is a French-Italian actress and singer. She is the daughter of Marcello Mastroianni and Catherine Deneuve.	
Equal	Abstract	In Paragraph	Sbj-Obj		Cnut the Great	http://dbpedia.org/resource/Harold_Harefoot	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Cnut_the_Great	Harold I (c.1016—17 March 1040), also known as Harold Harefoot, was King of England from 1035 to 1040. Harold's nickname "Harefoot" is first recorded as "Harefoh" or "Harefah" in the twelfth century in the history of Ely Abbey, and according to late medieval chroniclers it meant that he was fleet of foot. The son of Cnut the Great	Harold I (c.1016—17 March 1040), also known as Harold Harefoot, was King of England from 1035 to 1040. Harold's nickname "Harefoot" is first recorded as "Harefoh" or "Harefah" in the twelfth century in the history of Ely Abbey, and according to late medieval chroniclers it meant that he was fleet of foot. The son of Cnut the Great and Ælfgifu of Northampton, Harold was elected regent of England, following the death of his father in 1035. He was initially ruling England in place of his brother Harthacnut, who was stuck in Denmark due to a rebellion in Norway, which had ousted their brother Svein. Although Harold had wished to be crowned king since 1035, Æthelnoth, Archbishop of Canterbury, refused to do so. It was not until 1037 that Harold, supported by earl Leofric and many others, was officially proclaimed king. The same year Harold's two step-brothers Edward and Alfred returned to England with a considerable military force, Alfred was captured by earl Godwin, who had him seized and delivered to an escort of men loyal to Harefoot. While en route to Ely he was blinded and soon after died of his wounds. Harold died in 1040, having ruled just five years; his brother Harthacnut soon returned and took hold of the kingdom peacefully. Harold was originally buried in Westminster, but Harthacnut had his body dragged up and thrown into a "fen" (sewer), as well as then thrown into the river Thames, but was after a short time picked up by a fisherman, being immediately taken to the Danes, was honourably buried by them in their cemetery at London.	
Equal	Abstract	In Sentence	Pronoun-Obj		Cnut the Great	http://dbpedia.org/resource/Harthacnut	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Cnut_the_Great	(**he=Harthacnut**): He was the son of King Cnut the Great	Harthacnut, Harðacnut, or Canute III (Danish: Hardeknud; "Tough-knot"; c.1018 – 8 June 1042) was King of Denmark from 1035 to 1042 and King of England from 1040 to 1042. He was the son of King Cnut the Great (who ruled Denmark, Norway, and England) and Emma of Normandy. When Cnut died in 1035, Harthacnut struggled to retain his father's possessions. Magnus I took control of Norway, but Harthacnut succeeded as King of Denmark and became King of England in 1040 after the death of his half-brother Harold Harefoot. Harthacnut died suddenly in 1042 and was succeeded by Magnus in Denmark and Edward the Confessor in England. Harthacnut was the last Scandinavian to rule England.	
Equal	Abstract	In Sentence	Pronoun-Obj		Emma of Normandy	http://dbpedia.org/resource/Harthacnut	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Emma_of_Normandy	(**he=Harthacnut**): He was the son of King Cnut the Great (who ruled Denmark, Norway, and England) and Emma of Normandy	Harthacnut, Harðacnut, or Canute III (Danish: Hardeknud; "Tough-knot"; c.1018 – 8 June 1042) was King of Denmark from 1035 to 1042 and King of England from 1040 to 1042. He was the son of King Cnut the Great (who ruled Denmark, Norway, and England) and Emma of Normandy. When Cnut died in 1035, Harthacnut struggled to retain his father's possessions. Magnus I took control of Norway, but Harthacnut succeeded as King of Denmark and became King of England in 1040 after the death of his half-brother Harold Harefoot. Harthacnut died suddenly in 1042 and was succeeded by Magnus in Denmark and Edward the Confessor in England. Harthacnut was the last Scandinavian to rule England.	
Contains	Abstract	In Sentence	Sbj-Obj		King Francis I of France	http://dbpedia.org/resource/Francis_III,_Duke_of_Brittany	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Francis_I_of_France	Francis III of Brittany (Breton: Frañsez; French: François; 28 February 1518, in Amboise – 10 August 1536) was Duke of Brittany and Dauphin of Viennois as the first son and heir of King Francis I of France	Francis III of Brittany (Breton: Frañsez; French: François; 28 February 1518, in Amboise – 10 August 1536) was Duke of Brittany and Dauphin of Viennois as the first son and heir of King Francis I of France and Duchess Claude of Brittany.	
Equal	Abstract	In Sentence	Pronoun-Obj		George V	http://dbpedia.org/resource/George_VI	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/George_V	(**his=George VI**): his accession, George V	George VI (Albert Frederick Arthur George; 14 December 1895 – 6 February 1952) was King of the United Kingdom and the Dominions of the British Commonwealth from 11 December 1936 until his death. He was the last Emperor of India and the first Head of the Commonwealth. Known as Albert until his accession, George VI was born in the reign of his great-grandmother Queen Victoria, and was named after his great-grandfather Albert, Prince Consort. As the second son of King George V, he was not expected to inherit the throne and spent his early life in the shadow of his elder brother, Edward. He attended naval college as a teenager, and served in the Royal Navy and Royal Air Force during the First World War. In 1920, he was made Duke of York. He married Lady Elizabeth Bowes-Lyon in 1923 and they had two daughters, Elizabeth and Margaret. In the mid-1920s, he had speech therapy for a stammer, which he never fully overcame. George's elder brother ascended the throne as Edward VIII upon the death of their father in 1936. However, later that year Edward revealed his desire to marry the divorced American socialite Wallis Simpson. British Prime Minister Stanley Baldwin advised Edward that for political and religious reasons he could not marry a divorced woman and remain king. Edward abdicated in order to marry, and George ascended the throne as the third monarch of the House of Windsor. During George's reign the break-up of the British Empire and its transition into the Commonwealth of Nations accelerated. The parliament of the Irish Free State removed direct mention of the monarch from the country's constitution on the day of his accession. The following year, a new Irish constitution changed the name of the state to Ireland and established the office of President. From 1939, the Empire and Commonwealth – except Ireland – was at war with Nazi Germany. War with Italy and Japan followed in 1940 and 1941, respectively. Though Britain and its allies were ultimately victorious in 1945, the United States and the Soviet Union rose as pre-eminent world powers and the British Empire declined. After the independence of India and Pakistan in 1947, George remained king of both countries, but the title Emperor of India was abandoned in June 1948. Ireland formally declared itself a republic and left the Commonwealth in 1949, and India became a republic within the Commonwealth the following year. George adopted the new title of Head of the Commonwealth. He was beset by health problems in the later years of his reign. He was succeeded by his elder daughter, Elizabeth II.	
Contains	Abstract	In Sentence	Sbj-Obj		King George VI	http://dbpedia.org/resource/Princess_Margaret,_Countess_of_Snowdon	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/George_VI	Princess Margaret, Countess of Snowdon, CI, GCVO, GCStJ (Margaret Rose; 21 August 1930 – 9 February 2002), often known as a child as Princess Margaret Rose but later simply as Princess Margaret, was the younger daughter of King George VI	Princess Margaret, Countess of Snowdon, CI, GCVO, GCStJ (Margaret Rose; 21 August 1930 – 9 February 2002), often known as a child as Princess Margaret Rose but later simply as Princess Margaret, was the younger daughter of King George VI and Queen Elizabeth, and the only sibling of Queen Elizabeth II. Margaret spent much of her childhood years in the company of her older sister and parents. Her life changed dramatically in 1936, when her paternal uncle, King Edward VIII, abdicated to marry the twice divorced American Wallis Simpson. Margaret's father became King, and her older sister became heir presumptive, with Margaret second in line to the throne. During World War II, the two sisters stayed at Windsor Castle, despite suggestions to evacuate them to Canada. During the war years, Margaret was considered too young to perform any official duties, and instead continued her education. After the war, Margaret fell in love with Group Captain Peter Townsend. In 1952, Margaret's father died, her sister became Queen, and Townsend divorced his first wife. Early the following year, he proposed to Margaret. Many in the government felt that he would be an unsuitable husband for the Queen's 22-year-old sister, and the Church of England refused to countenance a marriage to a divorced man. Margaret eventually abandoned her plans with him. In 1960, she accepted the proposal of the photographer Antony Armstrong-Jones, who was created Earl of Snowdon by the Queen. The couple had two children; they later divorced in 1978. Margaret was often viewed as a controversial member of the royal family. Her divorce earned her negative publicity, and she was romantically associated with several men. Her health gradually deteriorated in the final two decades of her life. A heavy smoker for most of her adult life, she had a lung operation in 1985, a bout of pneumonia in 1993, and at least three strokes between 1998 and 2001. She died at King Edward VII Hospital on 9 February 2002.	
Equal	Abstract	In Sentence	Pronoun-Obj		Harald Bluetooth	http://dbpedia.org/resource/Sweyn_Forkbeard	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Harald_Bluetooth	(**he=Sweyn Forkbeard**): He was the son of King Harald Bluetooth	Sweyn Forkbeard (Old Norse: Sveinn Tjúguskegg; Danish: Sven(d) Tveskæg; 960 – 3 February 1014) was king of Denmark, England, and parts of Norway. His name appears as Swegen in the Anglo-Saxon Chronicle. He was the son of King Harald Bluetooth of Denmark, and the father of Cnut the Great. In the mid-980s, Sweyn revolted against his father and seized the throne. Harald was driven into exile and died shortly afterwards in November 986 or 987. In 1000, with the allegiance of Trondejarl, Eric of Lade, Sweyn ruled most of Norway. In 1013, shortly before his death, he became the first Danish king of England after a long effort.	
Equal	Abstract	In Sentence	Sbj-Obj		Hosni Mubarak	http://dbpedia.org/resource/Alaa_Mubarak	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Hosni_Mubarak	Alaa Mubarak (Arabic: علاء مبارك‎‎  IPA: [ʕæˈlæːʔ moˈbɑːɾɑk]) (born 26 November 1960 in Cairo) is an Egyptian businessman and the elder of two sons of Hosni Mubarak	Alaa Mubarak (Arabic: علاء مبارك‎‎  IPA: [ʕæˈlæːʔ moˈbɑːɾɑk]) (born 26 November 1960 in Cairo) is an Egyptian businessman and the elder of two sons of Hosni Mubarak the former President of Egypt who served from 1981 to 2011, and his wife Suzanne Mubarak.	
