number of equals =	782
number of contains =	109
notInAbstractList =	6985
Appoaches:
	Sbj-Obj =	579
	Pronoun-Obj =	312
Extraction:
	In Sentence =	704
	In Paragraph =	187
Blank Sentences =	0
Number of articles not found in 2016-10 wikipedia nif version =	0	
Kind of Match	Section	Section Title	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Contains	5	Politics	In Sentence	Pronoun-Obj		Ontario Liberal Party leadership election	http://dbpedia.org/resource/Eric_Hoskins	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Ontario_Liberal_Party	(**he=Eric Hoskins**): He resigned on November 9, 2012 to stand as a candidate in the Ontario Liberal Party	Politics On April 21, 2007, Hoskins was chosen as the Liberal candidate in the riding of Haldimand—Norfolk for the 2008 Federal election. On October 14, 2008, he was defeated by Conservative incumbent Diane Finley. On August 12, 2009, Hoskins was nominated as the provincial Liberal candidate in the St. Paul's by-election. On September 19, 2009, he defeated Toronto Sun columnist Sue-Ann Levy running for the Progressive Conservatives. On January 18, 2010, he was named the Minister of Citizenship and Immigration. In the 2011 Ontario election, Hoskins was easily re-elected defeating PC candidate Christine McGirr by 16,076 votes. After the election he was appointed as Minister of Children and Youth Services. He resigned on November 9, 2012 to stand as a candidate in the Ontario Liberal Party leadership election. He was eliminated after the first ballot and he endorsed Kathleen Wynne, the eventual winner. On February 11, 2013 he was appointed Minister of Economic Development, Trade & Employment. He was re-elected in June 2014, and was appointed as the Minister of Health and Long Term Care.	
Equal	4	Independent East Timor	In Sentence	Pronoun-Obj		National Congress for Timorese Reconstruction	http://dbpedia.org/resource/Xanana_Gusmão	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/National_Congress_for_Timorese_Reconstruction	(**he=Xanana Gusmão**): he said that he would lead the new National Congress for Timorese Reconstruction	Independent East Timor On 21 June 2006, Gusmão called for Prime Minister Mari Alkatiri to resign or else he would, as allegations that Alkatiri had ordered a hit squad to threaten and kill his political opponents led to a large backlash. Senior members of the Fretilin party met on 25 June to discuss Alkatiri's future as the Prime Minister, amidst a protest involving thousands of people calling for Alkatiri to resign instead of Gusmão. Despite receiving a vote of confidence from his party, Alkatiri resigned on 26 June 2006 to end the uncertainty. In announcing this he said, "I declare I am ready to resign my position as prime minister of the government...so as to avoid the resignation of His Excellency the President of the Republic [Xanana Gusmão]." The 'hit squad' accusations against Alkatiri were subsequently rejected by a UN Commission, which also criticised Gusmão for making inflammatory statements during the crisis. Gusmão declined to run for another term in the April 2007 presidential election. In March 2007 he said that he would lead the new National Congress for Timorese Reconstruction (CNRT) into the parliamentary election planned to be held later in the year, and said that he would be willing to become prime minister if his party won the election. He was succeeded as President by José Ramos-Horta on 20 May 2007. The CNRT placed second in the June 2007 parliamentary election, behind FRETILIN, taking 24.10% of the vote and 18 seats. He won a seat in parliament as the first name on the CNRT's candidate list. The CNRT allied with other parties to form a coalition that would hold a majority of seats in parliament. After weeks of dispute between this coalition and FRETILIN over who should form the government, Ramos-Horta announced on 6 August that the CNRT-led coalition would form the government and that Gusmão would become Prime Minister on 8 August. Gusmão was sworn in at the presidential palace in Dili on 8 August. On 11 February 2008, a motorcade containing Gusmão came under gunfire one hour after President José Ramos-Horta was shot in the stomach. Gusmão's residence was also occupied by rebels. According to the Associated Press, the incidents raised the possibility of a coup attempt; they have also described as possible assassination attempts and kidnap attempts.	
Equal	2	Politics	In Sentence	Pronoun-Obj		Commonwealth Liberal Party	http://dbpedia.org/resource/Carty_Salmon	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Commonwealth_Liberal_Party	(**he=Carty Salmon**): he became a member of the resulting Commonwealth Liberal Party	Politics As honorary surgeon for the South Yarra Relief Committee, Salmon met Alfred Deakin and formed a lifelong friendship. He won an 1893 by-election for the Victorian Legislative Assembly seat of Talbot and Avoca as an independent, and became identified as a political liberal. He was a minister without portfolio, and subsequently minister for public instruction and commissioner for trade and customs, from 1899–1900 in Allan McLean's government. He married Nancy Anne Harris in Sydney on 3 October 1900. In 1901, Salmon transferred to the Australian House of Representatives as the Protectionist member for Laanecoorie, holding the seat until its abolition in 1912. He became the House's second Speaker following the death of Sir Frederick Holder in 1909. He was known for his support of the White Australia policy, a strong national defence (not including conscription), and the policy of New Protection. In 1909, when the Protectionist Party amalgamated with the Anti-Socialists, he became a member of the resulting Commonwealth Liberal Party. He attempted to transfer to the Senate in 1913 after his seat's abolition, but was defeated; he also declined preselection for the safe seat of Balaclava. In 1915, however, he won the seat of Grampians from Labor in a by-election and joined the Nationalist Party upon its formation in 1916. Salmon was a freemason and from 1914 was the grand master of the Grand Lodge of Victoria. He was also a lieutenant-colonel in the Australian Medical Corps and commanded a base hospital in Melbourne in 1914. He died on 15 September 1917 at his home in South Yarra and was buried with Masonic rites and full military honours. His eulogy was delivered by Lowther Clarke, Archbishop of Melbourne, and both Prime Minister Billy Hughes and Leader of the Opposition Matthew Charlton attended his funeral.	
Equal	2	Career	In Sentence	Pronoun-Obj		Telangana Rashtra Samithi	http://dbpedia.org/resource/Jupally_Krishna_Rao	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Telangana_Rashtra_Samithi	(**he=Jupally Krishna Rao**): He quit Congress party and joined Telangana Rashtra Samithi	Career Jupally Krishna Rao started his career as a bank employee and gradually succeeded in construction business.He was elected as an MLA from Kollapur constituency in Mahbubnagar district in 1999,2004,2009,2012 By-elections & 2014. He was earlier a Minister for Food,Civil supplies,Legal Metrology, Consumer affairs under Late Sri YS Rajasekhar Reddy's Cabinet. Later in Kiran Kumar Reddy's cabiner he is been given Endowment Ministry in Andhra Pradesh.He is the first MLA from Kollapur Constituency who got elected 5 times consecutively. He quit Congress party and joined Telangana Rashtra Samithi on 30 October 2011. He is currently handling the Minister for Panchayat Raj and Rural Development, Textiles & Sugar in Government of Telangana	
Equal	2	Career	In Paragraph	Sbj-Obj		Bahujan Samaj Party	http://dbpedia.org/resource/Deepak_Bharadwaj	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Bahujan_Samaj_Party	Deepak Bhardwaj (1950–2013) was an Indian politician belonging to Bahujan Samaj Party	Career He started a business of automobile parts. "And I did real estate on the side," Bhardwaj said. He used to acquire agricultural land for use for industrial and farmhouses. He shut down his automobile business in 1979 and started doing real estate business full-time.Bhardwaj had business in real estate, hotels and education. He ran a school in Dwarka and Planning to open two more schools - in Dwarka and the Dhansa respectively, both locations in West Delhi.He is resident of Lajwanti Garden in West Delhi, Bhardwaj also owned a township project in Hardwar and a hotel on the Delhi-Gurgaon expressway.He says, real estate business is the surest way of getting rich. Indeed, Deepak Bhardwaj is the richest Lok Sabha candidate of year 2009; his and his wife's declared assets was Rs 6 billion. "It's a non-issue," he says, "I had to declare what I had in my books." When he filed his nomination on 16 April 2009 for the West Delhi Lok Sabha seat, he caused a furore. The media had one big question—isn't there a contradiction between fighting from the Bahujan Samaj Party (BSP) and being filthy rich?“It's helped us differentiate him from other candidates," says his publicity manager, "Now everyone knows his name."Until Bhardwaj filed his affidavit, the richest candidate in Delhi was Kanwar Singh Tanwar, with assets of Rs 1.55 billion. Tanwar, a Gurjar born in Fatehpur village in the South Delhi area of Chhatarpur, now he has a mansion there.	
Equal	3.1	Politics	In Paragraph	Sbj-Obj		Whigs (British political party)	http://dbpedia.org/resource/Georgiana_Cavendish,_Duchess_of_Devonshire	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Whigs_(British_political_party)	Georgiana Cavendish, Duchess of Devonshire (née Spencer; /dʒɒrˈdʒeɪnə/ jor-JAY-nə; 7 June 1757 – 30 March 1806) was an English socialite, style icon, author, and activist. Of noble birth from the House of Spencer, married into the House of Cavendish, she was the first wife of William Cavendish, 5th Duke of Devonshire, and the mother of the 6th Duke of Devonshire. As the 5th Duchess of Devonshire, she garnered much attention and fame in society during her lifetime. With a preeminent position in the peerage of England, the duchess was famous for her beauty, charisma, and leading fashion and style; political campaigning; emotionally and psychologically conflicting marital arrangements and love affairs; and socializing and gambling. She was the great-great-great-great-aunt of Diana, Princess of Wales. Their lives, centuries apart, have been compared in tragedy in contemporary time.  Early life and family The duchess was born Miss Georgiana Spencer, on 7 June 1757, as the first child of John Spencer (later Earl Spencer) and his wife, Margaret Georgiana Spencer (Mrs John Spencer; later Countess Spencer), at the Spencer family home, Althorp. After her daughter's birth, her mother wrote that "I will own I feel so partial to my Dear little Gee, that I think I never shall love another so well". Two younger siblings followed: Henrietta and George. (A niece later born to Henrietta, Lady Caroline Lamb, would become a writer and lover of Lord Byron). Mr John Spencer, great-grandson of John Churchill, 1st Duke of Marlborough, came from a wealthy English noble family. He built a Spencer family residence at St. James's, London and raised his children there. The parents raised Georgiana and her siblings in a marriage which bears no record of there ever having been any extramarital affairs - a rarity in the era. Meanwhile, Georgiana grew to be close to her mother who was said to favour Georgiana over her other children. When her father assumed the title of Viscount Spencer in 1761, she became The Honourable Georgiana Spencer. In 1765, her father became Earl Spencer and she Lady Georgiana Spencer.  Marriage and children On her seventeenth birthday, 7 June 1774, Lady Georgiana Spencer was married to society's most eligible bachelor, William Cavendish, the 5th Duke of Devonshire (aged 25). The wedding took place at Wimbledon Parish Church.  It was a small ceremony attended only by her parents, her maternal grandmother (Lady Cowper), one of her prospective brothers-in-law, and soon-to-be sister-in-law (the Duchess of Portland). Her parents were emotionally reluctant to let their daughter go, but she was wed to one of the wealthiest and most powerful men in the land. Her father, who had always shown affection to his children, wrote to her, "My Dearest Georgiana, I did not know till lately how much I loved you; I miss you more every day and every hour." Mother and daughter continued to correspond throughout their lives and many of their letters survive. From the beginning of the marriage, the Duke of Devonshire proved to be an emotionally reserved man who was quite unlike the duchess's father and who did not meet the emotional needs of the duchess. The spouses also had little in common. He would seldom be at her side and would spend nights at Brook's playing cards. The duke continued with adulterous behaviour throughout their married life and discord followed pregnancies that ended in miscarriage or failure to produce a male child as heir. Before their marriage, the duke had fathered an illegitimate daughter, Charlotte Williams, born from a dalliance with a former milliner, Charlotte Spencer (of no relation to the House of Spencer). This was unknown to the duchess until years after her marriage to the duke. After the death of the child's mother, she was compelled to raise Charlotte herself. The duchess of Devonshire was "very pleased" with Charlotte, although her own mother, now Countess Spencer, expressed disapproval: "I hope you have not talk'd of her to people." The duchess replied, "She is the best humored little thing you ever saw." In 1782, while on a retreat from London with the duke, the duchess met Lady Elizabeth Foster (widely known as "Bess") in the City of Bath. She became close friends with Lady Elizabeth who had become destitute after separating from her husband and two sons. Given the bond that developed between the two women (and the difficult position her new friend was in), with the Duke's acquiescence, the duchess agreed to having Lady Elizabeth live with them. When the Duke began a sexual relationship with Lady Elizabeth, a love triangle was established and it was arranged that Lady Elizabeth live with them permanently. While it was common for male members of the upper class to have mistresses, it was not common or generally acceptable for a mistress to live so openly with a married couple. Furthermore, the duchess had become emotionally dependent on Lady Elizabeth whom she believed to be her best friend. Having no alternative, she became complacent over the matter. The arrangement among the three is more commonly referred to as a ménage à trois, but, while the relationship between the duke and Lady Elizabeth was obviously sexual, there is no concrete evidence of anything beyond emotional dependence, and a particular and open affection, on the part of the duchess, towards Lady Elizabeth. In one of her letters, the Duchess of Devonshire wrote to Lady Elizabeth, "My dear Bess, Do you hear the voice of my heart crying to you? Do you feel what it is for me to be separated from you?" Nevertheless, Lady Elizabeth Foster herself was said to actually envy her and wished for her position. (Evidence Lady Elizabeth shared a love for her either way was proven at her death years later when a locket, containing a strand of the duchess' hair, was found around her neck, as well as a bracelet also containing hair of the duchess on a table beside her deathbed). Lady Elizabeth was reported to have insinuated her way into the marriage by taking advantage of the duchess's friendship and love and having "engineered her way" into a sexual relationship with the duke. Lady Elizabeth engaged in well documented sexual relations with other men while she was in the "love triangle" with the duke and duchess. Among their contemporaries, the relationship between the Duchess of Devonshire and Lady Elizabeth Foster was the subject of speculation which has continued beyond their time. The love triangle itself was a notorious topic; it was an irregular arrangement in a high-profile marriage. Lady Elizabeth's affair with the Duke resulted in two illegitimate children: a daughter, Caroline Rosalie St Jules, and a son, Augustus Clifford. Despite her unhappiness with her detached and philandering husband and volatile marriage, the duchess, as per the custom of the day, was not socially permitted to take a lover without first having produced an heir. The first successful pregnancy resulted in the birth of Lady Georgiana Dorothy Cavendish on 12 July 1783. Called "Little G", she would become the Countess of Carlisle and have issue of her own. The duchess had developed a strong mothering sentiment since raising Charlotte, and she insisted on nursing her own children (contrary to the aristocratic custom of having a wet nurse). On 29 August 1785, a second successful pregnancy resulted in another daughter: Lady Harriet Elizabeth Cavendish, called "Harryo", who would become Countess Granville and also have children of her own. Finally, on 21 May 1790, the duchess gave birth to a male heir to the dukedom: William George Spencer Cavendish, who took the title of Marquess of Hartington at birth, and was called "Hart". He would never marry and became known as "the bachelor duke". With the birth of the Marquess of Hartington, the duchess was able to take a lover. While there is no evidence of when the duchess began her affair with Charles Grey (later Earl Grey), she did become pregnant by him in 1791. Sent off to France, the duchess believed she would die in childbirth. In this spirit, she wrote a letter to her recently born son stating, "As soon as you are old enough to understand this letter it will be given to you. It contains the only present I can make you--my blessing, written in my blood...Alas, I am gone before you could know me, but I lov'd you, I nurs'd you nine months at my breast. I love you dearly." On 20 February 1792, Eliza Courtney was born without complications to mother and child, and the duchess was forced to give away the illegitimate daughter to Grey's family. The duchess would later be given the opportunity to pay visits to her illegitimate daughter, providing her with presents and affection, and Eliza would grow up to marry Lieutenant-Colonel Robert Ellice and bear a daughter named Georgiana as well. While in exile in France in the early 1790s, the Duchess of Devonshire suffered from isolation and felt her separation from her children. To her eldest, she wrote, "Your letter dated the 1st of Nov was delightful to me tho' it made me very melancholy my Dearest Child. This year has been the most painful of my life. . . when I do return to you, never leave you I hope again--it will be too great a happiness for me Dear Dear Georgiana & it will have been purchased by many days of regret - indeed ev'ry hour I pass away from you, I regret you; if I amuse myself or see anything I admire I long to share the happiness with you - if on the contrary I am out of spirits I wish for your presence which alone would do me good." In order to return to England and her children, she conceded to her husband's hypocritical demands and denounced her love for Charles Grey. Records of her exile in France were subsequently erased from the family records. However, the children of the duke and duchess had at one point been informed as to the reason of her absence during that period of their lives. Throughout her marriage, while the Duchess of Devonshire coped with the marital arrangements on the surface, she nevertheless suffered emotional and psychological distress. She sought further personal consolation from a "dissipated existence" in passions (socializing, fashion, politics, writing), addictions (gambling, drinking, and drugs), and affairs (with a number of men more that just Grey and which also may have included the bachelor Duke of Dorset  Pursuits and fame With her renowned beauty and character, alongside her marriage to the affluent and powerful Duke of Devonshire, the duchess enjoyed preeminence in society and was a high emblem of the era. Her keen sense made her the extravagant female leader in fashion and style in England. (The fashionable styling of her hair alone reached literally extraordinary heights above her exuberant costume). Using her influence as a leading socialite and fashion/style icon, she contributed to politics, science, and literature. As part of her illustrious social engagements, she would gathered around her a large salon of literary and political figures. Among her major acquaintances were the most influential figures of her time including the Prince of Wales (later King George IV); Marie Antoinette of France and her favorite in court, the Duchess of Polignac; Charles Grey (later Earl Grey and British Prime Minister); and Lady Melbourne (lover of the Prince of Wales). Newspapers chronicled her every appearance and activity. She was called a "phenomenon" by Horace Walpole who proclaimed, "[she] effaces all without being a beauty; but her youthful figure, flowing good nature, sense and lively modesty, and modest familiarity make her a phenomenon". Madame d'Arblay, who had a preference for acquaintances of talent, found that her appeal was not generally for her beauty but for far more which included fine "manner, politeness, and gentle quiet." Sir Nathaniel William Wraxall stated that her success as an individual lay "in the amenity and graces of her deportment, in her irresistible manners, and the seduction of her society." Famously, when she was stepping out of her carriage one day, an Irish dustman exclaimed: "Love and bless you, my lady, let me light my pipe in your eyes!" Then after, whenever others would compliment her, the duchess would retort, "After the dustman's compliment, all others are insipid."  Politics (See also: Whigs (British political party)	Politics (See also: Whigs (British political party)) The Spencer family, from which she derived, was an ardent supporter of the Whig party as was she and the House of Cavendish. However, because the duke's high position in the peerage disallowed him to participate so commonly in politics, the duchess took it as a positive outlet for herself. In an age when the realization of women's rights and suffrage were still more than a century away, the duchess became a political activist as the first woman to make active and influential frontline appearances on the political scene. Having begun her involvement in politics in 1778 (when she inspired a mass of women to promote the Whig party), she relished Enlightenment and Whig party ideals and took it upon herself to campaign — particularly for a distant cousin, Charles James Fox, who was chief party leader alongside Richard Sheridan — for Whig policies which were anti-crown and advocated for liberty against tyranny. At the time of her involvement, King George III (who detested the Whigs) and his ministers had a direct influence over the House of Commons, principally through their power of patronage. The Prince of Wales, who always relished going against the grain with his father, joined the Whig party at the time his friend, the duchess, became involved. She was renowned for hosting dinners that became political meetings and she took joy in cultivating the company of brilliant radicals. During the general election of 1784, the duchess became a major subject of scrutiny. Fanciful rumours and political cartoons circulated during the campaign, ridiculing her for securing votes in exchange for sexual - and monetary - rewards. Thomas Rowlandson even satirized her with a rumour of her trading kisses in his print "THE DEVONSHIRE, or Most Approved Method of Securing Votes". Her mother pleaded her to step down, but the duchess was not daunted and was adamant in her activism. On election day, the Duchess of Devonshire walked the streets of London, even gaining blisters on her feet, meeting face-to-face with commoners as equals. She was instrumental in the success of Fox and Lord Hood, but after the extensive campaigning and negative media against her, she retired, after the win, from the political arena for a while. In 1788, she returned to political activism though behind the scenes. Even in the last years of her life, she pushed ahead in the field and attempted to help rebuild the Whig party which had become fragmented; her efforts were to no avail and the political party would eventually come to dissolve decades after her death.	
Equal	1	Political life	In Sentence	Pronoun-Obj		Ontario Liberal Party	http://dbpedia.org/resource/Allan_A._Lamport	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Ontario_Liberal_Party	(**he=Allan A. Lamport**): he was an Ontario Liberal Party	Political life He first sat on Toronto City Council in 1937. A licensed pilot, he urged the city to build airports on Toronto Island and in Malton, Ontario. These projects were approved and became the Toronto Island Airport and what is now Pearson International Airport. He also advocated the construction of the Mount Pleasant Road extension connecting it to Jarvis Street in order to create a north-south alternative to Yonge Street. From 1937 to 1943 he was an Ontario Liberal Party Member of Provincial Parliament (MPP) for the Toronto riding of St. David. He enlisted in the Royal Canadian Air Force during World War II and once rose in the legislature to denounce Henry Ford for his lack of support for the Canadian war effort calling him a "black-hearted American Quisling". As a result he was transferred by the RCAF to the east coast and was unable to carry out his political duties contributing his electoral defeat in the 1943 provincial election. He returned to city council in 1946 and campaigned for the provincial government of George Drew to permit the opening of cocktail bars in Toronto. In 1947, the legislature approved the opening of bars in cities with more than 100,000 people. In 1949 he was elected to the Board of Control for the first time. In 1950, Lamport spearheaded a municipal plebiscite that approved the playing of sports on Sundays. Until then, playing fields and even swings were padlocked on the Lord's Day. He was defeated in his first campaign for mayor in 1951 but won on his second attempt the next year. As mayor, Lamport encouraged the construction of Toronto's subway system which would be Canada's first when it opened in 1954. He also advocated the creation of Regent Park, Canada's first large scale public housing project. Premier Leslie Frost considered Lamport for the position of Chairman of the newly created Municipality of Metropolitan Toronto but he was not interested. Lamport resigned as mayor in 1954 to serve on the Toronto Transit Commission first as vice-chairman and then as chairman from 1955 to 1959 and recommended and won approval for the construction of the Bloor-Danforth subway line. Following a political scandal over control of the TTC, he clashed with then Metro Chairman Fred Gardiner, and was nearly ousted from the TTC. In 1960, he again ran for mayor but was defeated by Nathan Phillips. In 1964, he again ran for mayor and was defeated by Phil Givens. He subsequently returned to City Council again as a Controller and then as an alderman when the Board of Control was abolished. He famously opposed the hippies who populated the neighbourhood of Yorkville pledging to drive them out of Toronto and encouraging police action against them and urged that the neighbourhood be demolished and replaced by a shopping mall. He clashed with David DePoe, unofficial spokesperson for the Yorkville hippies opposing DePoe's bid to address city council. The confrontation resulted in Lamport ordering police to remove the hippies from the city council chamber This conflict was documented in the 1967 National Film Board of Canada film "Flowers on a One Way Street." In 1994, he was made a Member of the Order of Canada. Lamport Stadium in Toronto and the Allan A. Lamport Regatta Course on Toronto Island are named in his honour. His funeral was arranged through Ralph Day Funeral Home and services were held at St. Paul's Anglican Church and he is buried at Mount Pleasant Cemetery in Toronto.	
Equal	1.3	Ministerial office	In Sentence	Sbj-Obj		Rhodesian Front	http://dbpedia.org/resource/John_Wrathall	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Rhodesian_Front	Wrathall was no longer a supporter of the United Federal Party and became a founder member of the Rhodesian Front	Ministerial office By 1962 Wrathall was no longer a supporter of the United Federal Party and became a founder member of the Rhodesian Front under Winston Field. He was elected in Bulawayo North in the December 1962 election under the RF banner, defeating the incumbent, Cyril Hatty, by 67 votes. As one of the party's most experienced members, in October 1963 he was made Minister of African Education. A month later he also took on the Ministry of Health, which was being transferred from the Federation of Rhodesia and Nyasaland on its demise at the end of 1963. Wrathall was among the members of the Rhodesian Front who deposed Winston Field and instead installed Ian Smith as Prime Minister in April 1964. Smith promoted him to be Minister of Finance and of Posts and Telecommunications. As such, he was one of the signatories to the Unilateral Declaration of Independence (UDI) on 11 November 1965. He was Deputy Prime Minister from 7 September 1966. Known as "the quiet man of Rhodesian politics", he nevertheless was a key figure in the secret struggle against United Nations sanctions imposed after UDI. As Minister of Finance, Wrathall also oversaw the adoption of a new decimal currency to replace the Rhodesian pound, known as the Rhodesian dollar, a name which he regarded as having international substance. In July 1973 Wrathall ceded his responsibility as Minister of Posts; during the 1974 general election he stood down from the House of Assembly and transferred to the Senate. In 1975 he presented his 12th (and last) consecutive Budget as Rhodesia's longest serving Finance Minister.	
Equal	2	Borough councillor	In Sentence	Sbj-Obj		Vision Montreal	http://dbpedia.org/resource/Pierre_Mainville	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Vision_Montreal	Mainville was elected to the Ville-Marie borough council in the 2005 Montreal municipal election as a member of the Vision Montreal	Borough councillor Mainville was elected to the Ville-Marie borough council in the 2005 Montreal municipal election as a member of the Vision Montreal party. Montreal mayor Gérald Tremblay's Montreal Island Citizens' Union (MICU) won four of the five borough seats in this election, and Mainville was initially the only member of the opposition. He was the sole councillor to vote against a local $15 million surtax for new recreational and cultural services in 2006, arguing that the funds should have come from the entire city. The following year, he was the only councillor to vote against the introduction of harsh financial penalties for littering and graffiti. He argued that the law would be difficult to enforce and would result in arbitrary and unfair penalties. He also criticized a requirement that local merchants clean up vandalism outside their shops, arguing that this shifted responsibility away from the offenders. In September 2007, Ville-Marie borough mayor Benoît Labonté and councillor Karim Boulos resigned from Tremblay's party to sit as independents. Mainville initially provided outside support to Labonté and Boulos, allowing them to maintain majority control on council. In October 2007, he was appointed to the borough's public safety committee. Labonté and Boulos eventually joined Vision Montreal and formed an official governing caucus in conjunction with Mainville. This proved to be a short-lived alliance, however — Mainville resigned from Vision Montreal on 10 December 2008, saying that he did not have confidence in Labonté's leadership. For the next year, he served on the borough council as an independent.	
Equal	2	See also	In Paragraph	Sbj-Obj		Balochistan National Party	http://dbpedia.org/resource/Syed_Nasir_Ali_Shah	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Balochistan_National_Party	Syed Nasir Ali Shah (Urdu: سید ناصر الی شاہ‎, Hazaragi: سید ناصر الی شاہ) is a Pakistani politician and parliamentarian from the Pakistan Peoples Party who is an elected member of the National Assembly (MNA). Shah hails from the city of Quetta in Balochistan and belongs to the Shi'a Hazara community. On 6 October 2011, he staged a walkout and strike outside the Pakistani parliament in Islamabad while boycotting a session to protest the PPP-led government's apparent inability in curbing continuous sectarian attacks on Hazara people in Balochistan. Later, he was also joined in solidarity by members of the opposition Pakistan Muslim League (N). He held talks with Rehman Malik in which he demanded a solid plan to end sectarian killings in Quetta and also called for a complete dissolution of the Government of Balochistan which, according to him, had completely failed to maintain law and order in the province. His father Haji Syed Hussain Hazara was also a politician and leader.  References   See also  * Ataullah Mengal  * Akhtar Mengal  * Balochistan National Party	See also  * Ataullah Mengal  * Akhtar Mengal  * Balochistan National Party  * Haji Syed Hussain Hazara	
