id	text	property	subject	object
0	Carlo Rubbia, OMRI, OMCA (born 31 March 1934) is an Italian particle physicist and inventor who shared the Nobel Prize in Physics	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Carlo_Rubbia	http://dbpedia.org/resource/Nobel_Prize_in_Physics
1	Kao, known as the "Godfather of Broadband", "Father of Fiber Optics" or "Father of Fiber Optic Communications", was jointly awarded the 2009 Nobel Prize in Physics	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Charles_K._Kao	http://dbpedia.org/resource/Nobel_Prize_in_Physics
2	Barbara McClintock (June 16, 1902 – September 2, 1992) was an American scientist and cytogeneticist who was awarded the 1983 Nobel Prize in Physiology or Medicine	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Barbara_McClintock	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
3	Emil von Behring (Emil Adolf von Behring), as Emil Adolf Behring born (15 March 1854 – 31 March 1917) was a German physiologist who received the 1901 Nobel Prize in Physiology or Medicine	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Emil_von_Behring	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
4	Thomas Hunt Morgan (September 25, 1866 – December 4, 1945) was an American evolutionary biologist, geneticist, embryologist, and science author who won the Nobel Prize in Physiology or Medicine	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Thomas_Hunt_Morgan	http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine
5	Becker was awarded the Nobel Memorial Prize in Economic Sciences	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Gary_Becker	http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences
6	Richard Nicholas Stone (30 August 1913 – 6 December 1991) was an eminent British economist, educated at Westminster School, Cambridge University (Caius and King's), who in 1984 received the Nobel Memorial Prize in Economic Sciences	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Richard_Stone	http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences
7	Ivo Andrić (Serbian Cyrillic: Иво Андрић, pronounced [ǐːʋɔ ǎːndritɕ]; born Ivan Andrić; 9 October 1892 – 13 March 1975) was a Yugoslav novelist, poet and short story writer who won the Nobel Prize in Literature	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Ivo_Andrić	http://dbpedia.org/resource/Nobel_Prize_in_Literature
8	José de Sousa Saramago, GColSE (Portuguese: [ʒuˈzɛ ðɨ ˈsozɐ sɐɾɐˈmaɣu]; 16 November 1922 – 18 June 2010), was a Portuguese writer and recipient of the 1998 Nobel Prize in Literature	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/José_Saramago	http://dbpedia.org/resource/Nobel_Prize_in_Literature
9	Morrison was awarded the Nobel Prize in Literature	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Toni_Morrison	http://dbpedia.org/resource/Nobel_Prize_in_Literature
10	Wisława Anna Szymborska [viˈswava ʂɨmˈbɔrska] (2 July 1923 – 1 February 2012) was a Polish poet, essayist, translator and recipient of the 1996 Nobel Prize in Literature	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Wisława_Szymborska	http://dbpedia.org/resource/Nobel_Prize_in_Literature
11	Szymborska was awarded the 1996 Nobel Prize in Literature	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Wisława_Szymborska	http://dbpedia.org/resource/Nobel_Prize_in_Literature
12	Becker was awarded the Nobel Memorial Prize in Economic Sciences in 1992 and received the United States Presidential Medal of Freedom	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Gary_Becker	http://dbpedia.org/resource/Presidential_Medal_of_Freedom
13	Morrison received the Presidential Medal of Freedom	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Toni_Morrison	http://dbpedia.org/resource/Presidential_Medal_of_Freedom
14	Albert Johnson rode Exterminator to a number of important wins and ended 1922 as the United States Champion Jockey by earnings	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Albert_Johnson_(jockey)	http://dbpedia.org/resource/United_States_Champion_Jockey_by_earnings
15	Markian Mikhaylovich Popov (Russian: Маркиан Михайлович Попов; 1902 – 1969) was a Soviet military commander, Army General (26 August 1943), and Hero of the Soviet Union	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Markian_Popov	http://dbpedia.org/resource/Hero_of_the_Soviet_Union
16	Otto Hahn, OBE, ForMemRS (8 March 1879 – 28 July 1968) was a German chemist and pioneer in the fields of radioactivity and radiochemistry who won the Nobel Prize in Chemistry	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Otto_Hahn	http://dbpedia.org/resource/Nobel_Prize_in_Chemistry
17	William Ramsay KCB, FRS, FRSE (2 October 1852 – 23 July 1916) was a Scottish chemist who discovered the noble gases and received the Nobel Prize in Chemistry	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/William_Ramsay	http://dbpedia.org/resource/Nobel_Prize_in_Chemistry
18	Wightman was awarded the Henri Poincaré Prize	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Arthur_Wightman	http://dbpedia.org/resource/Henri_Poincaré_Prize
19	Alexander Alexandrovich Kazakov (Kozakov, Kosakoff) (Russian: Александр Александрович Казаков) (2 January 1889 – 1 August 1919) (British Distinguished Service Order and Military Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Alexander_Kazakov	http://dbpedia.org/resource/Military_Cross
20	Malraux's novel La Condition Humaine (Man's Fate) (1933) won the Prix Goncourt	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/André_Malraux	http://dbpedia.org/resource/Prix_Goncourt
21	Alexander Alexandrovich Kazakov (Kozakov, Kosakoff) (Russian: Александр Александрович Казаков) (2 January 1889 – 1 August 1919) (British Distinguished Service Order	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Alexander_Kazakov	http://dbpedia.org/resource/Distinguished_Service_Order
22	Gibbs received what was then considered the highest honor awarded by the international scientific community, the Copley Medal	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Josiah_Willard_Gibbs	http://dbpedia.org/resource/Copley_Medal
23	Ellison is best known for his novel Invisible Man, which won the National Book Award	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Ralph_Ellison	http://dbpedia.org/resource/National_Book_Award
24	Henry Dalziel, VC (18 February 1893 – 24 July 1965) was an Australian recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Henry_Dalziel	http://dbpedia.org/resource/Victoria_Cross
25	James McGuire VC (1827 – 22 December 1862) was an Irish recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/James_McGuire_(VC)	http://dbpedia.org/resource/Victoria_Cross
26	John Alexander VC (died 24 September 1857) was a British Army soldier and an Irish recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/John_Alexander_(VC)	http://dbpedia.org/resource/Victoria_Cross
27	John Carroll, VC (16 August 1891 – 4 October 1971) was an Australian recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/John_Carroll_(VC)	http://dbpedia.org/resource/Victoria_Cross
28	Joseph Henry Collin VC (Irish: Seosamh Annraoi Ó Coileáin; 10 April 1893 – 9 April 1918) was an English recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Joseph_Henry_Collin	http://dbpedia.org/resource/Victoria_Cross
29	Thomas Murphy VC (Irish: Tomás Ó Murchadha; 1839 – 23 March 1900) was an Irish recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Thomas_Murphy_(VC)	http://dbpedia.org/resource/Victoria_Cross
30	Alexander Stanhope Cobbe VC, GCB, KCSI, DSO (6 June 1870 – 29 June 1931) was a senior British Indian Army officer and a recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Alexander_Cobbe	http://dbpedia.org/resource/Victoria_Cross
31	Andrew Cathcart Bogle VC (20 January 1829 – 11 December 1890) was a Scottish recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Andrew_Cathcart_Bogle	http://dbpedia.org/resource/Victoria_Cross
32	Arthur Herbert Procter VC (11 August 1890 – 27 January 1973) was an English recipient of the Victoria Cross	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Arthur_Herbert_Procter	http://dbpedia.org/resource/Victoria_Cross
33	Lush received National Medal of Science	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Jay_Laurence_Lush	http://dbpedia.org/resource/National_Medal_of_Science
34	Sturtevant received the National Medal of Science	http://dbpedia.org/ontology/award	http://dbpedia.org/resource/Alfred_Sturtevant	http://dbpedia.org/resource/National_Medal_of_Science
