id	text	property	subject	object
0	Theodoret of Cyrus or Cyrrhus (Greek: Θεοδώρητος Κύρρου; c. AD 393 – c. 458/466) was an influential theologian of the School of Antioch	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Theodoret	http://dbpedia.org/resource/Antioch
1	Weiss' songs, said it was like discovering Billie Holiday or Björk in Ashkelon	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Ruth_Dolores_Weiss	http://dbpedia.org/resource/Ashkelon
2	Puustinen began his career with FC Kasiysi at the age of eight in 1995, before signing for FC Espoo	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Jami_Puustinen	http://dbpedia.org/resource/Espoo
3	Naeh was born in Hebron	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Avraham_Chaim_Naeh	http://dbpedia.org/resource/Hebron
4	Asao played in Hapoel Ashkelon	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Eliran_Asao	http://dbpedia.org/resource/Ashkelon
5	Eyal Tartazky (Hebrew:אייל טרטצקי ;born September 13, 1977) is an Israeli footballer currently playing for F.C. Haifa	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Eyal_Tartazky	http://dbpedia.org/resource/Haifa
6	Nabeel Kassis (Arabic: نبيل قسيس‎‎), also transliterated as Nabil Kassis, Nabil Qasis, Nabeel Qassis, etc, is a Palestinian academic and politician from Ramallah	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Nabeel_Kassis	http://dbpedia.org/resource/Ramallah
7	Tamar Ziskind (Hebrew: תמר זיסקינד‎‎;born February 23, 1985 in Haifa	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Tamar_Ziskind	http://dbpedia.org/resource/Haifa
8	Danniel Danniel (Hebrew: דניאל דניאל‎‎; born 1950 in Haifa	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Danniel_Danniel	http://dbpedia.org/resource/Haifa
9	Emile was born in Haifa	http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Emile_Touma	http://dbpedia.org/resource/Haifa
