id	text	property	subject	object
0	of George II of Great Britain and Caroline of Ansbach	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Louise_of_Great_Britain	http://dbpedia.org/resource/Caroline_of_Ansbach
1	Mastroianni and Catherine Deneuve	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Chiara_Mastroianni	http://dbpedia.org/resource/Catherine_Deneuve
2	Francis III of Brittany (Breton: Frañsez; French: François; 28 February 1518, in Amboise – 10 August 1536) was Duke of Brittany and Dauphin of Viennois as the first son and heir of King Francis I of France	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Francis_III,_Duke_of_Brittany	http://dbpedia.org/resource/Francis_I_of_France
3	Princess Margaret, Countess of Snowdon, CI, GCVO, GCStJ (Margaret Rose; 21 August 1930 – 9 February 2002), often known as a child as Princess Margaret Rose but later simply as Princess Margaret, was the younger daughter of King George VI	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Princess_Margaret,_Countess_of_Snowdon	http://dbpedia.org/resource/George_VI
4	Alaa Mubarak (Arabic: علاء مبارك‎‎  IPA: [ʕæˈlæːʔ moˈbɑːɾɑk]) (born 26 November 1960 in Cairo) is an Egyptian businessman and the elder of two sons of Hosni Mubarak	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Alaa_Mubarak	http://dbpedia.org/resource/Hosni_Mubarak
5	John of Gaunt, 1st Duke of Lancaster, KG (6 March 1340 – 3 February 1399) was a member of the House of Plantagenet, the third of four surviving sons of King Edward III of England and Philippa of Hainault	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/John_of_Gaunt	http://dbpedia.org/resource/Philippa_of_Hainault
6	Cnut's father was Sweyn Forkbeard	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Cnut_the_Great	http://dbpedia.org/resource/Sweyn_Forkbeard
7	Otto III was the only son of the Emperor Otto II and his wife Theophanu	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Otto_III,_Holy_Roman_Emperor	http://dbpedia.org/resource/Theophanu
8	Titus succeeded his father Vespasian	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Titus	http://dbpedia.org/resource/Vespasian
9	the Varangian Grand Prince Vladimir the Great	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Yaroslav_the_Wise	http://dbpedia.org/resource/Vladimir_the_Great
10	Parker Bowles is the son of Camilla, Duchess of Cornwall and Andrew Parker Bowles	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Tom_Parker_Bowles	http://dbpedia.org/resource/Andrew_Parker_Bowles
11	of Count Christian Frederick of Stolberg-Wernigerode	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Louise_of_Stolberg-Wernigerode	http://dbpedia.org/resource/Christian_Frederick_of_Stolberg-Wernigerode
12	Sippy's father was producer G. P. Sippy	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Ramesh_Sippy	http://dbpedia.org/resource/G._P._Sippy
13	Mason was the eldest son of planter and businessman George Mason V	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/George_Mason_VI	http://dbpedia.org/resource/George_Mason_V
14	Christian Frederick of Stolberg-Wernigerode (German: Christian Friedrich (Graf) zu Stolberg-Wernigerode; 8 January 1746, Wernigerode Castle – 26 May 1824, Peterwaldau) was the only son of Count Henry Ernest of Stolberg-Wernigerode	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Christian_Frederick_of_Stolberg-Wernigerode	http://dbpedia.org/resource/Henry_Ernest_of_Stolberg-Wernigerode
15	Watling was born at Fulmer, Buckinghamshire, the daughter of actors Jack Watling	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Deborah_Watling	http://dbpedia.org/resource/Jack_Watling
