id	text	property	subject	object
0	Stuart Duncan Davies CBE FEng FRAeS (5 December 1906 – 22 January 1995) was a British aerospace engineer who was in charge of the design of the Avro Vulcan.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Stuart_Davies_(engineer)	http://dbpedia.org/resource/Avro
1	Michael Elkins (born New York, USA, 22 January 1917, died Jerusalem, Israel, 10 March 2001) was an American broadcaster and journalist who worked for the American network, CBS, for the magazine Newsweek and then for 17 years with the BBC.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michael_Elkins	http://dbpedia.org/resource/CBS
2	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/resource/CBS
3	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/resource/CBS
4	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/resource/CBS
5	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/resource/CBS
6	Robert Knox (8 February 1641 – 19 June 1720) was an English sea captain in the service of the British East India Company.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Robert_Knox_(sailor)	http://dbpedia.org/resource/East_India_Company
7	Glenn Branch is the Deputy Director of the National Center for Science Education and a prominent critic of creationism and its offshoot, intelligent design.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Glenn_Branch	http://dbpedia.org/resource/National_Center_for_Science_Education
8	Peter Morales is the president of the Unitarian Universalist Association, elected in 2009.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Peter_Morales	http://dbpedia.org/resource/Unitarian_Universalist_Association
9	As manager of Valmet, Wrede participated in developing of Valmet tractors.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Gustaf_Wrede	http://dbpedia.org/resource/Valmet
10	David Boies (born March 11, 1941) is an American lawyer and chairman of the law firm Boies, Schiller & Flexner.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/David_Boies	http://dbpedia.org/resource/Boies,_Schiller_&_Flexner
11	Dionisio Loya Plancarte (born 21 October 1955) is a Mexican drug lord and high-ranking leader of the Knights Templar Cartel, a quasi-religious criminal organization based in the state of Michoacán.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Dionisio_Loya_Plancarte	http://dbpedia.org/resource/Knights_Templar_Cartel
12	Jeff Broin (born August 25, 1965) is the founder of U.S.-based POET, LLC, a producer of ethanol and other biorefined products.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jeff_Broin	http://dbpedia.org/resource/POET
13	Jacqui Hurley (born 1984, in County Cork) is an Irish athlete, sports manager, sports broadcaster and chat show host employed by Raidió Teilifís Éireann (RTÉ).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jacqui_Hurley	http://dbpedia.org/resource/Raidió_Teilifís_Éireann
14	Joseph "Joe" Duffy (born 27 January 1956) is an Irish broadcaster employed by Raidió Teilifís Éireann (RTÉ).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Joe_Duffy	http://dbpedia.org/resource/Raidió_Teilifís_Éireann
15	Since 2012, Mr. Nachev has been a conductor with Shen Yun Performing Arts—an international touring company based in New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Milen_Nachev	http://dbpedia.org/resource/Shen_Yun_Performing_Arts
16	He and his sister, Cosmo Fujiyama, incorporated Students Helping Honduras in 2007 after visiting Honduras on a service learning trip for the first time.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Shin_Fujiyama	http://dbpedia.org/resource/Students_Helping_Honduras
17	Michael Mainelli is Chairman of Z/Yen, a commercial think-tank, which he co-founded in 1994.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michael_Mainelli	http://dbpedia.org/resource/Z/Yen
18	From 2011–2014, Bates was Chief Creative Officer for External Studios at Zynga.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Bob_Bates	http://dbpedia.org/resource/Zynga
19	Pierce was most notable for leading the firm of A.A. Housman & Company through the 1920s and 1930s and turning the firm into the largest brokerage in the U.S. The firm, which was renamed E.A. Pierce & Co. in recognition of Pierce was one of the predecessors of Merrill Lynch, Pierce, Fenner & Smith.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Edward_A._Pierce	http://dbpedia.org/resource/E.A._Pierce_&_Co.
20	Simone Legno (born June 16, 1977) is an Italian artist best known for the creation of the tokidoki brand.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Simone_Legno	http://dbpedia.org/resource/Tokidoki
21	François J. Castaing (born 1945 in Marseille) is a veteran automotive executive with Renault, American Motors, and Chrysler.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/François_Castaing	http://dbpedia.org/resource/American_Motors
22	He designed the Yakovlev military aircraft and founded the Yakovlev Design Bureau.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Alexander_Sergeyevich_Yakovlev	http://dbpedia.org/resource/Yakovlev
23	Alexander Sergeyevich Yakovlev (Russian: Алекса́ндр Серге́евич Я́ковлев; 1 April [O.S. 19 March] 1906 – 22 August 1989) was a Soviet aeronautical engineer.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Alexander_Sergeyevich_Yakovlev	http://dbpedia.org/resource/Yakovlev
24	Dumitru Matcovschi (20 October 1939 – 26 June 2013) was a writer from Moldova who was a member of the Academy of Sciences of Moldova.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Dumitru_Matcovschi	http://dbpedia.org/resource/Academy_of_Sciences_of_Moldova
25	Since 2014, Humes has hosted BBC One's The Voice UK with Emma Willis as well as creating a DJ-Producer-dance act LuvBug.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Marvin_Humes	http://dbpedia.org/resource/BBC_One
26	Betty W. Liu is a news anchor for Bloomberg Television, a subsidiary of Bloomberg L.P.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Betty_Liu	http://dbpedia.org/resource/Bloomberg_L.P.
27	William Felix Browder (born 23 April 1964) is the Chief Executive Officer and co-founder of the investment fund Hermitage Capital Management and noted critic of Vladimir Putin.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Bill_Browder	http://dbpedia.org/resource/Hermitage_Capital_Management
28	Howard Dearing Johnson (February 2, 1897 – June 20, 1972) was an entrepreneur, businessman, and the founder of an American chain of restaurants and motels under one company of the same name, Howard Johnson's.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Howard_Deering_Johnson	http://dbpedia.org/resource/Howard_Johnson's
29	After an 11-year career at UC – Irvine, which included positions as Associate Dean and Doctoral Program Coordinator, Perry began his tenure at Indiana University School of Public and Environmental Affairs (SPEA).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/James_L._Perry	http://dbpedia.org/resource/Indiana_University
30	John D. Graham, Ph.D., is a former senior official in the George W. Bush administration and is dean of the Indiana University School of Public and Environmental Affairs (SPEA).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_Graham_(policy_analyst)	http://dbpedia.org/resource/Indiana_University
31	Loresca currently works at KTRK-TV in Houston, Texas.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Elita_Loresca	http://dbpedia.org/resource/KTRK-TV
32	Tomasz Schafernaker (born 8 January 1979) is a Polish-British meteorologist for the Met Office, best known for his appearances for BBC Weather.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Tomasz_Schafernaker	http://dbpedia.org/resource/Met_Office
33	Michel Klyne (2 July 1781 – 1868) was an employee of the North West Company and later the Hudson's Bay Company, serving as postmaster at Jasper House in the Rocky Mountains.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michel_Klyne	http://dbpedia.org/resource/North_West_Company
34	In October 2007, Marchick joined The Carlyle Group, a Washington, D.C. based asset management firm as managing director and its global head of regulatory affairs.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/David_Marchick	http://dbpedia.org/resource/The_Carlyle_Group
35	Andrew Wilson (born December 26, 1950), full name Andrew Murray Wilson, is the Director of Scriptural Research and Professor of Scriptural Studies of the Unification Theological Seminary (UTS), the main seminary of the international Unification Church.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Andrew_Wilson_(academic)	http://dbpedia.org/resource/Unification_Theological_Seminary
36	Sami Amin Al-Arian (Arabic: سامي أمين العريان‎‎; born January 14, 1958) is a Palestinian-American civil rights activist who was a computer engineering professor at University of South Florida.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Sami_Al-Arian	http://dbpedia.org/resource/University_of_South_Florida
37	After a contentious interview with Bill O'Reilly on the The O'Reilly Factor following the September 11 attacks, Al-Arian's tenure at University of South Florida came under extreme public scrutiny.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Sami_Al-Arian	http://dbpedia.org/resource/University_of_South_Florida
38	Slyusarchuk was employed by the V. Chornovol Lviv State Institute of Modern Technology and Management, the Kyiv National University of Construction and Architecture, the P.L. Shupyk National Medical Academy of Postgraduate Education, the A. P. Romodanov Institute of Neurosurgery and Lviv Polytechnic as a professor, and by the government of Ukraine as an adviser to Oleksandr Turchynov.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Andriy_Slyusarchuk	http://dbpedia.org/resource/Government_of_Ukraine
39	Catherine Moira Sharkey (born 1970) is a professor of law at the New York University School of Law.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Catherine_Sharkey	http://dbpedia.org/resource/New_York_University_School_of_Law
40	Geoffrey Shawn Fletcher (born October 4, 1970) is an American screenwriter, film director, and adjunct film professor at Columbia University and New York University's Tisch School of the Arts in New York City, New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Geoffrey_S._Fletcher	http://dbpedia.org/resource/Tisch_School_of_the_Arts
41	Ben Forta is an author and Senior Technical Evangelist for Adobe Systems, particularly ColdFusion and Flex, and the owner of EmTek Systems.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Ben_Forta	http://dbpedia.org/resource/Adobe_Systems
42	Max D. Hopper (November 4, 1934 – January 25, 2010) was an American IT manager, who served as the CIO of Bank of America, the SVP (IS) of American Airlines (AA) and the chairman of the Sabre group.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Max_Hopper	http://dbpedia.org/resource/American_Airlines
43	Emery Bopp (May 13, 1924 – February 1, 2007) was an artist and long-time chairman of the Division of Art, Bob Jones University.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Emery_Bopp	http://dbpedia.org/resource/Bob_Jones_University
44	Brendan Sheerin (born 23 February 1959) is a British International Tour Guide, television personality, pantomime actor and author with 34 years of experience in the travel business, made famous by the reality TV show Coach Trip on Channel 4.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Brendan_Sheerin	http://dbpedia.org/resource/Channel_4
45	François J. Castaing (born 1945 in Marseille) is a veteran automotive executive with Renault, American Motors, and Chrysler.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/François_Castaing	http://dbpedia.org/resource/Chrysler
46	Geoffrey Shawn Fletcher (born October 4, 1970) is an American screenwriter, film director, and adjunct film professor at Columbia University and New York University's Tisch School of the Arts in New York City, New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Geoffrey_S._Fletcher	http://dbpedia.org/resource/Columbia_University
47	Theodore L. Gunderson (November 7, 1928 – July 31, 2011) was an American Federal Bureau of Investigation Special Agent In Charge and head of the Los Angeles FBI.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Ted_Gunderson	http://dbpedia.org/resource/Federal_Bureau_of_Investigation
48	Dr. John McLoughlin, baptized Jean-Baptiste McLoughlin, (October 19, 1784 – September 3, 1857) was a Chief Factor and Superintendent of the Columbia District of the Hudson's Bay Company at Fort Vancouver from 1824 to 1845.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_McLoughlin	http://dbpedia.org/resource/Hudson's_Bay_Company
49	Michel Klyne (2 July 1781 – 1868) was an employee of the North West Company and later the Hudson's Bay Company, serving as postmaster at Jasper House in the Rocky Mountains.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michel_Klyne	http://dbpedia.org/resource/Hudson's_Bay_Company
50	At Bretton Woods, White was a major architect of the International Monetary Fund and World Bank.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Harry_Dexter_White	http://dbpedia.org/resource/International_Monetary_Fund
51	Garry M. Gaber is a game designer, director, project leader, artist, writer and programmer who worked on a number of notable LucasArts Video Games from 1994 through 2003.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Garry_M._Gaber	http://dbpedia.org/resource/LucasArts
52	Theodore Alvin Hall (October 20, 1925 – November 1, 1999) was an American physicist and an atomic spy for the Soviet Union, who, during his work on US efforts to develop the first and second atomic bombs during World War II (the Manhattan Project), gave a detailed description of the "Fat Man" plutonium bomb, and of several processes for purifying plutonium, to Soviet intelligence.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Theodore_Hall	http://dbpedia.org/resource/Manhattan_Project
53	Ronald F. Probstein (born March 11, 1928) is the Ford Professor of Engineering, Emeritus, at the Massachusetts Institute of Technology.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Ronald_F._Probstein	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology
54	Mitchell led the pioneering development and implementation of the Motorola’s mobile phone technology producing the first portable transistorized pager and cell phone; was the driving force behind building quality into engineering, and the establishment of the Motorola University and Six Sigma Institute; and launched the global Iridium Satellite Constellation.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_Francis_Mitchell	http://dbpedia.org/resource/Motorola
55	John Francis Mitchell (January 1, 1928 – June 9, 2006) was an American electronics engineer and President & COO of Motorola.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_Francis_Mitchell	http://dbpedia.org/resource/Motorola
56	Mitchell led the pioneering development and implementation of the Motorola’s mobile phone technology producing the first portable transistorized pager and cell phone; was the driving force behind building quality into engineering, and the establishment of the Motorola University and Six Sigma Institute; and launched the global Iridium Satellite Constellation.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_Francis_Mitchell	http://dbpedia.org/resource/Motorola
57	Reginald "Reggie" Fils-Aimé (/ˈfiːsɛmˌeɪ/ FEESS-em-AY; March 25, 1961) is the president and chief operating officer of Nintendo of America, the North American division of the Japanese video game company Nintendo.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Reggie_Fils-Aimé	http://dbpedia.org/resource/Nintendo
58	Fils-Aimé gained celebrity status among gamers following his appearance at Nintendo's E3 2004 press conference in May 2004.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Reggie_Fils-Aimé	http://dbpedia.org/resource/Nintendo
59	Koch is also the current chairman of the Port Adelaide Football Club, an Australian Football League (AFL) club, having been appointed in 2012.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/David_Koch_(television_presenter)	http://dbpedia.org/resource/Port_Adelaide_Football_Club
60	William P. Didusch(1895-1981) was a scientific illustrator known for his work for the American Urological Association.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/William_Didusch	http://dbpedia.org/resource/American_Urological_Association
61	Esler was previously a main presenter on BBC Two's flagship political analysis programme, Newsnight, from January 2003 until January 2014.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Gavin_Esler	http://dbpedia.org/resource/BBC
62	Gregg Allan Wallace (born 17 October 1964) is an English television presenter known for co-presenting MasterChef, Celebrity MasterChef and MasterChef: The Professionals on BBC One and BBC Two.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Gregg_Wallace	http://dbpedia.org/resource/BBC
63	Gregg Allan Wallace (born 17 October 1964) is an English television presenter known for co-presenting MasterChef, Celebrity MasterChef and MasterChef: The Professionals on BBC One and BBC Two.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Gregg_Wallace	http://dbpedia.org/resource/BBC
64	Philippa Thomas (born 22 November 1965) is a British television newsreader and journalist, both domestic and foreign, at the BBC and the main presenter of World News Today which airs on BBC World News, BBC News Channel and BBC Four.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Philippa_Thomas	http://dbpedia.org/resource/BBC
65	Philippa Thomas (born 22 November 1965) is a British television newsreader and journalist, both domestic and foreign, at the BBC and the main presenter of World News Today which airs on BBC World News, BBC News Channel and BBC Four.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Philippa_Thomas	http://dbpedia.org/resource/BBC
66	Philippa Thomas (born 22 November 1965) is a British television newsreader and journalist, both domestic and foreign, at the BBC and the main presenter of World News Today which airs on BBC World News, BBC News Channel and BBC Four.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Philippa_Thomas	http://dbpedia.org/resource/BBC
67	Philippa Thomas (born 22 November 1965) is a British television newsreader and journalist, both domestic and foreign, at the BBC and the main presenter of World News Today which airs on BBC World News, BBC News Channel and BBC Four.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Philippa_Thomas	http://dbpedia.org/resource/BBC
68	Wyndham Goldie became Head of Talks, and later Head of the Current Affairs Group at BBC Television.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Grace_Wyndham_Goldie	http://dbpedia.org/resource/BBC
