id	text	property	subject	object
0	Muhammad Anwar el-Sadat (Arabic: محمد أنور السادات‎‎ Muḥammad Anwar as-Sādāt  Egyptian Arabic pronunciation: [mæˈħæmmæd ˈʔɑnwɑɾ essæˈdæːt]; 25 December 1918 – 6 October 1981) was the third President of Egypt, serving from 15 October 1970 until his assassination by fundamentalist army officers on 6 October 1981.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Anwar_Sadat	http://dbpedia.org/resource/Egypt
1	Sadat was a senior member of the Free Officers who overthrew King Farouk in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as Vice President twice and whom he succeeded as President in 1970.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Anwar_Sadat	http://dbpedia.org/resource/Egypt
2	Abdullah Muhammad Rajab Abd al-Rahman, known as Ahmad Hasan Abu al-Khayr al-Masri, (born 3 November 1957, Kafr el-Sheikh, Egypt) is an Egyptian al-Qaeda leader who has been described as the general deputy to Ayman al-Zawahiri.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Abu_Khayr_al-Masri	http://dbpedia.org/resource/Egypt
3	Abdullah Muhammad Rajab Abd al-Rahman, known as Ahmad Hasan Abu al-Khayr al-Masri, (born 3 November 1957, Kafr el-Sheikh, Egypt) is an Egyptian al-Qaeda leader who has been described as the general deputy to Ayman al-Zawahiri.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Abu_Khayr_al-Masri	http://dbpedia.org/resource/Egypt
4	Danyon Joseph Loader, ONZM (born 21 April 1975) is an Olympic champion, former world record holder swimmer from New Zealand, based in Dunedin.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Danyon_Loader	http://dbpedia.org/resource/New_Zealand
5	Ivan Gerald Mauger, OBE, (born 4 October 1939 in Christchurch, New Zealand) is a retired motorcycle speedway rider.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Ivan_Mauger	http://dbpedia.org/resource/New_Zealand
6	Marcus Lush (born July 1965) is a television and radio presenter in New Zealand.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Marcus_Lush	http://dbpedia.org/resource/New_Zealand
7	Williams won election to the New Zealand Parliament on 26 November 2011 as a list MP for the New Zealand First Party.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Andrew_Williams_(New_Zealand_politician)	http://dbpedia.org/resource/New_Zealand
8	Williams won election to the New Zealand Parliament on 26 November 2011 as a list MP for the New Zealand First Party.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Andrew_Williams_(New_Zealand_politician)	http://dbpedia.org/resource/New_Zealand
9	Williams won election to the New Zealand Parliament on 26 November 2011 as a list MP for the New Zealand First Party.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Andrew_Williams_(New_Zealand_politician)	http://dbpedia.org/resource/New_Zealand
