id	text	property	subject	object
0	In his eleven years as president, he changed Egypt's trajectory, departing from many of the political and economic tenets of Nasserism, re-instituting a multi-party system, and launching the Infitah economic policy.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Anwar_Sadat	http://dbpedia.org/resource/Egypt
1	Abdullah Muhammad Rajab Abd al-Rahman, known as Ahmad Hasan Abu al-Khayr al-Masri, (born 3 November 1957, Kafr el-Sheikh, Egypt) is an Egyptian al-Qaeda leader who has been described as the general deputy to Ayman al-Zawahiri.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Abu_Khayr_al-Masri	http://dbpedia.org/resource/Egypt
2	Ivan Gerald Mauger, OBE, (born 4 October 1939 in Christchurch, New Zealand) is a retired motorcycle speedway rider.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Ivan_Mauger	http://dbpedia.org/resource/New_Zealand
3	Hermann Hugo Paul Haupt (25 November 1858 in Görlitz – 15 December 1926 in Baltimore, Maryland) was a Semitic scholar, one of the pioneers of Assyriology in the United States.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Paul_Haupt	http://dbpedia.org/resource/United_States
4	He was born in Puebla, Mexico, and his family moved to the United States when he was two years old because his father was a Methodist minister.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Albert_Baez	http://dbpedia.org/resource/United_States
5	Antonio Candido de Mello e Souza (born July 24, 1918, Rio de Janeiro) is a Brazilian writer, professor, sociologist and literary critic.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Antonio_Candido	http://dbpedia.org/resource/Brazil
6	Luiz Gushiken (August 5, 1950 – September 13, 2013) was a Brazilian union leader and politician.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Luiz_Gushiken	http://dbpedia.org/resource/Brazil
7	Eduardo Beca Piccinini (born November 30, 1968 in Manaus) is a former international butterfly swimmer from Brazil.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Eduardo_Piccinini	http://dbpedia.org/resource/Brazil
8	Eike Fuhrken Batista da Silva (Portuguese: [ˈejki ˈfuʁkẽj bɐˈtʃistɐ dɐ 'siwvɐ]; born 3 November 1956) is a Brazilian business magnate who made and lost a fortune in mining and oil and gas exploration.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Eike_Batista	http://dbpedia.org/resource/Brazil
9	Catasse is a Chilean painter of international recognition.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Carlos_Catasse	http://dbpedia.org/resource/Chile
10	Carolina Guerra (born 30 July 1986) is a Colombian model, actress and television presenter chosen in 2005 to represent the nation's capital as Miss Bogotá.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Carolina_Guerra	http://dbpedia.org/resource/Colombia
11	Gabriel Hernández Romero (July 13, 1973 – June 25, 2001) was a male boxer from the Dominican Republic, who competed for his native country at the 1996 Summer Olympics in Atlanta, Georgia.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Gabriel_Hernández_(boxer)	http://dbpedia.org/resource/Dominican_Republic
12	Bassam Tibi (Arabic: بسام طيبي‎‎), born 1944 in Damascus to an aristocratic family, moved to Germany in 1962, becoming a citizen in 1976.	http://dbpedia.org/ontology/nationality	http://dbpedia.org/resource/Bassam_Tibi	http://dbpedia.org/resource/Germany
