id	text	property	subject	object
0	Pacino received his first Best Actor Oscar nomination for Serpico (1973); he was also nominated for The Godfather Part II, Dog Day Afternoon (1975) and ...And Justice for All (1979) and won the award in 1993 for his performance as a blind Lieutenant Colonel in Scent of a Woman (1992).	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/resource/Actor
1	Since 1994, Pacino has been the joint president of the Actors Studio with Ellen Burstyn and Harvey Keitel.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/resource/Actor
2	In television, Pacino has acted in several productions for HBO including the miniseries Angels in America (2003) and the Jack Kevorkian biopic You Don't Know Jack (2010), both of which won him the Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/resource/Actor
3	For his performances in The Godfather, Dick Tracy (1990) and Glengarry Glen Ross (1992), Pacino was nominated for the Academy Award for Best Supporting Actor.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/resource/Actor
4	Rickman's other film roles included the Sheriff of Nottingham in Robin Hood: Prince of Thieves, for which he received the BAFTA Award for Best Actor in a Supporting Role, Jamie in Truly, Madly, Deeply, Colonel Brandon in Ang Lee's Sense and Sensibility, the title character in Rasputin: Dark Servant of Destiny, which won him a Golden Globe, an Emmy and a Screen Actors Guild Award, Harry in Love Actually, P. L. O'Hara in An Awfully Big Adventure, Dr. Alfred Blalock in the Emmy-winning HBO film Something the Lord Made, Alexander Dane in Galaxy Quest, and Judge Turpin in the film adaptation of Stephen Sondheim's musical of Sweeney Todd: The Demon Barber of Fleet Street.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Alan_Rickman	http://dbpedia.org/resource/Actor
5	Rickman's other film roles included the Sheriff of Nottingham in Robin Hood: Prince of Thieves, for which he received the BAFTA Award for Best Actor in a Supporting Role, Jamie in Truly, Madly, Deeply, Colonel Brandon in Ang Lee's Sense and Sensibility, the title character in Rasputin: Dark Servant of Destiny, which won him a Golden Globe, an Emmy and a Screen Actors Guild Award, Harry in Love Actually, P. L. O'Hara in An Awfully Big Adventure, Dr. Alfred Blalock in the Emmy-winning HBO film Something the Lord Made, Alexander Dane in Galaxy Quest, and Judge Turpin in the film adaptation of Stephen Sondheim's musical of Sweeney Todd: The Demon Barber of Fleet Street.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Alan_Rickman	http://dbpedia.org/resource/Actor
6	A recipient of BAFTA, Golden Globe, Emmy and Screen Actors Guild Awards, Finney has been nominated for the Academy Award for Best Actor four times, for Tom Jones (1963), Murder on the Orient Express (1974), The Dresser (1983), and Under the Volcano (1984); and was nominated for an Academy Award for Best Supporting Actor for his performance in Erin Brockovich (2000).	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Albert_Finney	http://dbpedia.org/resource/Actor
7	A recipient of BAFTA, Golden Globe, Emmy and Screen Actors Guild Awards, Finney has been nominated for the Academy Award for Best Actor four times, for Tom Jones (1963), Murder on the Orient Express (1974), The Dresser (1983), and Under the Volcano (1984); and was nominated for an Academy Award for Best Supporting Actor for his performance in Erin Brockovich (2000).	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Albert_Finney	http://dbpedia.org/resource/Actor
8	Allan J. Pinkerton (25 August 1819 – 1 July 1884) was a Scottish American detective and spy, best known for creating the Pinkerton National Detective Agency.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Allan_Pinkerton	http://dbpedia.org/resource/Detective
9	Allan J. Pinkerton (25 August 1819 – 1 July 1884) was a Scottish American detective and spy, best known for creating the Pinkerton National Detective Agency.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Allan_Pinkerton	http://dbpedia.org/resource/Detective
10	Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Andrew_Lloyd_Webber	http://dbpedia.org/resource/Composer
11	Antonio Stradivari (Italian pronunciation: [anˈtɔːnjo stradiˈvaːri]; 1644 – 18 December 1737) was an Italian luthier and a crafter of stringed instruments such as violins, cellos, guitars, violas and harps.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Antonio_Stradivari	http://dbpedia.org/resource/Luthier
12	Basil Zaharoff (born Basileios Zacharias Zacharoff, Greek: Βασίλειος Zαχαρίας Ζαχάρωφ; October 6, 1849 – November 27, 1936) was a Greek-born arms dealer and industrialist.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Basil_Zaharoff	http://dbpedia.org/resource/Dealer
13	Bertha Felicitas Sophie Freifrau von Suttner (Baroness Bertha von Suttner, née Countess Kinsky, Gräfin Kinsky von Wchinitz und Tettau; 9 June 1843 – 21 June 1914) was a Czech-Austrian pacifist and novelist.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Bertha_von_Suttner	http://dbpedia.org/resource/Pacifist
14	Diaz received four Golden Globe Award nominations for her performances in Being John Malkovich (1999), Vanilla Sky (2001), Gangs of New York (2002) and There's Something About Mary (1998), for the latter of which she also won the New York Film Critics Best Lead Actress Award.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Cameron_Diaz	http://dbpedia.org/resource/Actress
15	Cesare Zavattini (20 September 1902 – 13 October 1989) was an Italian screenwriter and one of the first theorists and proponents of the Neorealist movement in Italian cinema.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Cesare_Zavattini	http://dbpedia.org/resource/Screenwriter
16	Clarissa "Clara" Harlowe Barton (December 25, 1821 – April 12, 1912) was a pioneering nurse who founded the American Red Cross.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Clara_Barton	http://dbpedia.org/resource/Nurse
17	Gable won an Academy Award for Best Actor for It Happened One Night (1934), and was nominated for leading roles in Mutiny on the Bounty (1935) and for his arguably best-known role as Rhett Butler in the epic Gone with the Wind (1939).	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Clark_Gable	http://dbpedia.org/resource/Actor
18	For his work in the Western film Unforgiven (1992) and the sports drama Million Dollar Baby (2004), Eastwood won Academy Awards for Best Director and Best Picture, as well as receiving nominations for Best Actor.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Clint_Eastwood	http://dbpedia.org/resource/Actor
19	David Blaine (born David Blaine White; April 4, 1973) is an American magician, illusionist and endurance artist.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/David_Blaine	http://dbpedia.org/resource/Magician
20	Erich Dagobert von Drygalski (February 9, 1865 – January 10, 1949) was a German geographer, geophysicist and polar scientist, born in Königsberg, Province of Prussia.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Erich_von_Drygalski	http://dbpedia.org/resource/Geographer
21	Cooper received the Academy Award for Best Actor for his roles in Sergeant York and High Noon.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Gary_Cooper	http://dbpedia.org/resource/Actor
22	Gladys May Aylward (24 February 1902 – 3 January 1970) was a British evangelical Christian missionary to China, whose story was told in the book The Small Woman, by Alan Burgess, published in 1957, and made into the film The Inn of the Sixth Happiness, starring Ingrid Bergman, in 1958.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Gladys_Aylward	http://dbpedia.org/resource/Christian
23	Godfrey Reggio (born March 29, 1940) is an American director of experimental documentary films.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Godfrey_Reggio	http://dbpedia.org/resource/Director
24	Hawn was nominated for the Academy Award for Best Actress for the title role in the 1980 film Private Benjamin.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Goldie_Hawn	http://dbpedia.org/resource/Actress
25	Paltrow also won an Emmy Award for Outstanding Guest Actress in a Comedy Series in 2011 for her role as Holly Holliday on the FOX hit television series Glee, her first and so far only foray into television acting, for the episode The Substitute.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Gwyneth_Paltrow	http://dbpedia.org/resource/Actress
26	Henricus Antonius "Han" van Meegeren (Dutch pronunciation: [ɦɛnˈrikɵs ɑnˈtoːniɵs ˈɦɑn vɑn ˈmeːɣərə(n)]; 10 October 1889 – 30 December 1947) was a Dutch painter and portraitist and is considered to be one of the most ingenious art forgers of the 20th century.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Han_van_Meegeren	http://dbpedia.org/resource/Painter
27	Harriet Tubman (born Araminta Ross; c. 1822 – March 10, 1913) was an American abolitionist, humanitarian, and an armed scout and spy for the United States Army during the American Civil War.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Harriet_Tubman	http://dbpedia.org/resource/Abolitionist
