id	text	property	subject	object
0	Bernard McConville (October 16, 1887 – December 27, 1961) was an American screenwriter.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Bernard_McConville	http://dbpedia.org/resource/Screenwriter
1	Brewster Martin Higley VI (November 30, 1823 - December 9, 1911) was an otolaryngologist who became famous for writing \"The Western Home.\"	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Brewster_Higley	http://dbpedia.org/resource/Otolaryngologist
2	Afsāneh Najmābādi (Persian: افسانه نجم‌آبادی‎‎; born 1946) is an Iranian-American historian and gender theorist.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Afsaneh_Najmabadi	http://dbpedia.org/resource/Historian
3	Ah Toy (Cantonese: 亞彩/阿台 Aa3 Coi2; c. 1828–1928) was a Cantonese-born American prostitute and madam in San Francisco, California, during the California Gold Rush, and purportedly the first Chinese prostitute in San Francisco.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Ah_Toy	http://dbpedia.org/resource/Prostitute
4	Maria Luisa Angela Martinez de Leon-Rivera was (born August 22, 1979), more famously known as Angelu de Leon, is a Filipina television & film actress.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Angelu_de_Leon	http://dbpedia.org/resource/Television
5	Asa Kasher (Hebrew: אסא כשר‎‎, born on June 6, 1940) is an Israeli philosopher and linguist working as a Professor at Tel Aviv University and at Shalem College, Israel.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Asa_Kasher	http://dbpedia.org/resource/Philosopher
6	Bertha Muzzy Sinclair or Sinclair-Cowan, née Muzzy (November 15, 1871 – July 23, 1940), best known by her pseudonym B. M. Bower, was an American author who wrote novels, fictional short stories, and screenplays about the American Old West.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/B._M._Bower	http://dbpedia.org/resource/Author
7	Bernard Spear (11 September 1919 – 9 May 2003) was an English actor.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Bernard_Spear	http://dbpedia.org/resource/Actor
8	Cha Katō (加藤 茶, かとう ちゃ, カトウ チャ) (born 1 March 1943, Fukushima, Fukushima), also known as Kato-chan, is a male Japanese comedian and actor.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Cha_Katō	http://dbpedia.org/resource/Comedian
9	Dan Resin (February 22, 1931 – July 31, 2010) was an American actor.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Dan_Resin	http://dbpedia.org/resource/Actor
10	Harold Dow (September 28, 1947 – August 21, 2010) was an American television news correspondent, journalist, and investigative reporter with CBS News.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Harold_Dow	http://dbpedia.org/resource/Correspondent
11	Howard Dearing Johnson (February 2, 1897 – June 20, 1972) was an entrepreneur, businessman, and the founder of an American chain of restaurants and motels under one company of the same name, Howard Johnson's.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Howard_Deering_Johnson	http://dbpedia.org/resource/Entrepreneur
12	James Platten Vanderbilt (born November 1975) is an American screenwriter.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/James_Vanderbilt	http://dbpedia.org/resource/Screenwriter
13	Kashpir Ganusov (Russian: Кашпир Ганусов) was a Russian bellmaker of the 16th century.	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Kashpir_Ganusov	http://dbpedia.org/resource/Bellmaker
