id	text	property	subject	object
0	She is the daughter of Marcello Mastroianni and Catherine Deneuve.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Chiara_Mastroianni	http://dbpedia.org/resource/Catherine_Deneuve
1	The son of Cnut the Great and Ælfgifu of Northampton, Harold was elected regent of England, following the death of his father in 1035.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Harold_Harefoot	http://dbpedia.org/resource/Cnut_the_Great
2	Francis III of Brittany (Breton: Frañsez; French: François; 28 February 1518, in Amboise – 10 August 1536) was Duke of Brittany and Dauphin of Viennois as the first son and heir of King Francis I of France and Duchess Claude of Brittany.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Francis_III,_Duke_of_Brittany	http://dbpedia.org/resource/Francis_I_of_France
3	He was the son of King Harald Bluetooth of Denmark, and the father of Cnut the Great.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Sweyn_Forkbeard	http://dbpedia.org/resource/Harald_Bluetooth
4	Alaa Mubarak (Arabic: علاء مبارك‎‎  IPA: [ʕæˈlæːʔ moˈbɑːɾɑk]) (born 26 November 1960 in Cairo) is an Egyptian businessman and the elder of two sons of Hosni Mubarak the former President of Egypt who served from 1981 to 2011, and his wife Suzanne Mubarak.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Alaa_Mubarak	http://dbpedia.org/resource/Hosni_Mubarak
5	According to the tradition recorded in the Norse sagas he was one of the sons of Ragnar Lodbrok, and his brothers included Björn Ironside, Ivar the Boneless, Sigurd Snake-in-the-Eye and Ubba.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Halfdan_Ragnarsson	http://dbpedia.org/resource/Ragnar_Lodbrok
6	A member of the Ottonian dynasty, Otto III was the only son of the Emperor Otto II and his wife Theophanu.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Otto_III,_Holy_Roman_Emperor	http://dbpedia.org/resource/Theophanu
7	1476 – 27 August 1507) was the sole heir and daughter of William Herbert, 2nd Earl of Pembroke, and his first wife, Mary Woodville.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Elizabeth_Somerset,_Baroness_Herbert	http://dbpedia.org/resource/William_Herbert,_2nd_Earl_of_Pembroke
8	Parker Bowles is the son of Camilla, Duchess of Cornwall and Andrew Parker Bowles.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Tom_Parker_Bowles	http://dbpedia.org/resource/Andrew_Parker_Bowles
9	She was the second eldest daughter of Count Christian Frederick of Stolberg-Wernigerode and his wife Auguste Eleonore of Stolberg-Stolberg.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Louise_of_Stolberg-Wernigerode	http://dbpedia.org/resource/Christian_Frederick_of_Stolberg-Wernigerode
10	He is the son of actors Don Johnson and Patti D'Arbanville.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Jesse_Johnson_(actor)	http://dbpedia.org/resource/Don_Johnson
11	Mason was the eldest son of planter and businessman George Mason V and grandson of United States patriot, statesman, and delegate from Virginia to the United States Constitutional Convention, George Mason.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/George_Mason_VI	http://dbpedia.org/resource/George_Mason_V
12	Count Christian Frederick of Stolberg-Wernigerode (German: Christian Friedrich (Graf) zu Stolberg-Wernigerode; 8 January 1746, Wernigerode Castle – 26 May 1824, Peterwaldau) was the only son of Count Henry Ernest of Stolberg-Wernigerode, whom he succeeded as ruler of the County of Wernigerode in 1778.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Christian_Frederick_of_Stolberg-Wernigerode	http://dbpedia.org/resource/Henry_Ernest_of_Stolberg-Wernigerode
13	Watling was born at Fulmer, Buckinghamshire, the daughter of actors Jack Watling and Patricia Hicks.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Deborah_Watling	http://dbpedia.org/resource/Jack_Watling
14	NO_SENTENCE_SELECTED_:::Chloe Frances Dykstra (born September 15, 1988) is an American actress, cosplayer, and model. She produces and co-hosts a web series Just Cos for the Nerdist Industries' YouTube channel and is a cast member of the SyFy show Heroes of Cosplay. She is also a freelance game journalist for a number of websites. She was featured in a Daily Dot article for her parody photo essay of Me and My Place photos. Dykstra was born in Los Angeles, California, and is the daughter of John Dykstra.----0-0 ----EndIndex----483 ---- Mention ---John Dykstra	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Chloe_Dykstra	http://dbpedia.org/resource/John_Dykstra
15	He is the son of director John Landis and costume designer and historian Deborah Nadoolman Landis.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Max_Landis	http://dbpedia.org/resource/John_Landis
16	Princess Louise of Prussia (German: Luise Auguste Wilhelmine Amalie von Preußen, 1 February 1808, in Königsberg or Berlin – 6 December 1870, in Pauw Haus, Wassenaar) was the third surviving daughter and ninth child of Frederick William III of Prussia and Louise of Mecklenburg-Strelitz.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Princess_Louise_of_Prussia_(1808–1870)	http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz
17	He was the son of Charles, Count of Angoulême, and Louise of Savoy.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Francis_I_of_France	http://dbpedia.org/resource/Louise_of_Savoy
18	In September 96, Domitian was succeeded by Marcus Cocceius Nerva, an old and childless senator who proved to be unpopular with the army.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Trajan	http://dbpedia.org/resource/Nerva
19	She was born in London, the daughter of actor Ralph Bates and actress Virginia Wetherell.	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Daisy_Bates_(actress)	http://dbpedia.org/resource/Ralph_Bates
