id	text	property	subject	object
0	Wilhelmus Simon Petrus Fortuijn, known as Pim Fortuyn (Dutch: [ˈpɪm fɔrˈtœyn] (13px listen); 19 February 1948 – 6 May 2002), was a Dutch politician, civil servant, sociologist, author and professor who formed his own party, Pim Fortuyn List (Lijst Pim Fortuyn or LPF) in 2002.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Pim_Fortuyn	http://dbpedia.org/resource/Pim_Fortuyn_List
1	Abdul Haq Shafaq is former commander of the Hezbe Wahdat.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Abdul_Haq_Shafaq	http://dbpedia.org/resource/Hezbe_Wahdat
2	11 January 1944 as Jagdish Singh Kapoor) is an Indian National Congress politician and former member of the Parliament of India.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Jagdish_Tytler	http://dbpedia.org/resource/Indian_National_Congress
3	His father Rewati Raman Acharya was Revenue Minister in the Princely State of Alwar but later revolted against the King and Joined Indian National Congress due to his proximity with British Empire.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Laxmi_Raman_Acharya	http://dbpedia.org/resource/Indian_National_Congress
4	A five-time Member of Parliament, Rawat is a leader of the Indian National Congress party.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Harish_Rawat	http://dbpedia.org/resource/Indian_National_Congress
5	Quirk, formerly a member of the Liberal Party of Australia, is a member of the Liberal National Party of Queensland (LNP).	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Graham_Quirk	http://dbpedia.org/resource/Liberal_National_Party_of_Queensland
6	In 1832, Clay ran for president as a candidate of the National Republican Party, losing to Jackson.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Henry_Clay	http://dbpedia.org/resource/National_Republican_Party
7	James Hermiston Aitchison (1908 in Innerleithen, Scotland – 12 July 1994 in Halifax, Nova Scotia, Canada) was a Canadian academic and politician and leader of the Nova Scotia New Democratic Party.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/James_H._Aitchison	http://dbpedia.org/resource/Nova_Scotia_New_Democratic_Party
8	A founding member of Sri Lanka Freedom Party and Cabinet Minister of Agriculture and Land in Wijeyananda Dahanayake's government, he was the father of the former Sri Lankan President Dr Mahinda Rajapaksa.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/D._A._Rajapaksa	http://dbpedia.org/resource/Sri_Lanka_Freedom_Party
9	Clifford Forsythe (25 August 1929 – 27 April 2000) was a Northern Ireland Ulster Unionist Party politician.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Clifford_Forsythe	http://dbpedia.org/resource/Ulster_Unionist_Party
10	Within four years of Crassus' death, Caesar would cross the Rubicon and begin a civil war against Pompey and the optimates.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Marcus_Licinius_Crassus	http://dbpedia.org/resource/Optimates
11	Jean Isabel Melzer (7 February 1926 – 18 June 2013) was an Australian Senator representing the Australian Labor Party and the state of Victoria.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Jean_Melzer	http://dbpedia.org/resource/Australian_Labor_Party
12	Gavan Michael O'Connor (born 2 December 1947) is an Australian politician who was an Australian Labor Party (ALP) member of the Australian House of Representatives from March 1993 to November 2007, representing the Division of Corio, Victoria.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Gavan_O'Connor	http://dbpedia.org/resource/Australian_Labor_Party
13	Woods was elected as the Member for Clarence in the New South Wales Legislative Assembly for the Australian Labor Party in May 1996 in the by-election that was ironically triggered by Causley's resignation.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Harry_Woods_(Australian_politician)	http://dbpedia.org/resource/Australian_Labor_Party
14	Since the early 2000s, Bielecki has been a member of the Civic Platform party.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Jan_Krzysztof_Bielecki	http://dbpedia.org/resource/Civic_Platform
15	For much of the 1990s Li was ranked second in the Communist Party of China (CPC) hierarchy behind then Party General Secretary Jiang Zemin.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Li_Peng	http://dbpedia.org/resource/Communist_Party_of_China
16	Leonid Ilyich Brezhnev (/ˈbrɛʒnɛf/; Russian: Леони́д Ильи́ч Бре́жнев; IPA: [lʲɪɐˈnʲid ɪˈlʲjitɕ ˈbrʲɛʐnʲɪf] (13px listen); Ukrainian: Леоні́д Іллі́ч Бре́жнєв, 19 December 1906 (O.S. 6 December) – 10 November 1982) was the General Secretary of the Central Committee (CC) of the Communist Party of the Soviet Union (CPSU), presiding over the country from 1964 until his death in 1982.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Leonid_Brezhnev	http://dbpedia.org/resource/Communist_Party_of_the_Soviet_Union
17	Yuriy Vladimirovich Andropov; IPA: [ˈjʉrʲɪj vlɐˈdʲimʲɪrəvʲɪtɕ ɐnˈdropəf]; 15 June [O.S. 2 June] 1914 – 9 February 1984) was a Soviet politician and the General Secretary of the Communist Party of the Soviet Union from 12 November 1982 until his death fifteen months later.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Yuri_Andropov	http://dbpedia.org/resource/Communist_Party_of_the_Soviet_Union
18	Chen is the first president from Democratic Progressive Party (DPP) and ended the Kuomintang's (KMT) more than fifty years of continuous rule in Taiwan.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Chen_Shui-bian	http://dbpedia.org/resource/Democratic_Progressive_Party
19	Forced out of Jordan and into Lebanon, Arafat and Fatah were major targets of Israel's 1978 and 1982 invasions of that country.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Yasser_Arafat	http://dbpedia.org/resource/Fatah
20	John Carty (12 August 1950 – 30 January 2014) was an Irish Fianna Fáil politician.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/John_Carty_(Irish_politician)	http://dbpedia.org/resource/Fianna_Fáil
21	Michael Carty (16 December 1916 – 23 April 1975) was an Irish Fianna Fáil politician.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Michael_Carty	http://dbpedia.org/resource/Fianna_Fáil
