id	text	property	subject	object
0	Abdul Haq Shafaq is former commander of the Hezbe Wahdat.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Abdul_Haq_Shafaq	http://dbpedia.org/resource/Hezbe_Wahdat
1	During his career, he represented five political parties in the Knesset: Mapai, Rafi, the Alignment, Labor and Kadima, and led Alignment and Labor.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Shimon_Peres	http://dbpedia.org/resource/Mapai
2	A leading member of the revolutionary Arab Socialist Ba'ath Party, and later, the Baghdad-based Ba'ath Party and its regional organization the Iraqi Ba'ath Party—which espoused Ba'athism, a mix of Arab nationalism and socialism—Saddam played a key role in the 1968 coup (later referred to as the 17 July Revolution) that brought the party to power in Iraq.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Saddam_Hussein	http://dbpedia.org/resource/Ba'ath_Party
3	11 January 1944 as Jagdish Singh Kapoor) is an Indian National Congress politician and former member of the Parliament of India.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Jagdish_Tytler	http://dbpedia.org/resource/Indian_National_Congress
4	He was elected to the Tamil Nadu legislative assembly as an Indian National Congress candidate from Rajapalayam constituency in 1984 election.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/K._Raman	http://dbpedia.org/resource/Indian_National_Congress
5	Besides marking a paradigm shift from the industrialising, mixed economic model of Jawaharlal Nehru to a market driven one, his years as Prime Minister also saw the emergence of the Bharatiya Janata Party (BJP), a major right-wing party, as an alternative to the Indian National Congress which had been governing India for most of its post-independence history.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/P._V._Narasimha_Rao	http://dbpedia.org/resource/Indian_National_Congress
6	His political party is the Indian National Congress.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Ashok_Kumar_(Indian_politician)	http://dbpedia.org/resource/Indian_National_Congress
7	He was a member of Indian National Congress.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Beant_Singh_(chief_minister)	http://dbpedia.org/resource/Indian_National_Congress
8	A five-time Member of Parliament, Rawat is a leader of the Indian National Congress party.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/Harish_Rawat	http://dbpedia.org/resource/Indian_National_Congress
9	James Hermiston Aitchison (1908 in Innerleithen, Scotland – 12 July 1994 in Halifax, Nova Scotia, Canada) was a Canadian academic and politician and leader of the Nova Scotia New Democratic Party.	http://dbpedia.org/ontology/party	http://dbpedia.org/resource/James_H._Aitchison	http://dbpedia.org/resource/Nova_Scotia_New_Democratic_Party
