id	text	property	subject	object
0	His charm and culture earned him the title \"the first gentleman of England\", but his poor relationship with both his father and his wife, Caroline of Brunswick, and his dissolute way of life, earned him the contempt of the people and dimmed the prestige of the monarchy.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/George_IV_of_the_United_Kingdom	http://dbpedia.org/resource/Caroline_of_Brunswick
1	During this period, Lombard married \"the King of Hollywood\", Clark Gable, and the pair was treated in the media as a celebrity supercouple.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Carole_Lombard	http://dbpedia.org/resource/Clark_Gable
2	Through her marriages to Æthelred the Unready (1002-1016) and Cnut the Great (1017-1035), she became the Queen Consort of England, Denmark, and Norway.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Emma_of_Normandy	http://dbpedia.org/resource/Cnut_the_Great
3	Burton remains closely associated in the public consciousness with his second wife, actress Elizabeth Taylor.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Richard_Burton	http://dbpedia.org/resource/Elizabeth_Taylor
4	Harriet Constance (1800–1854), most commonly known as Harriet Smithson, who also went by Henrietta Constance Smithson, Harriet Smithson Berlioz, and Miss H.C. Smithson, was a famous Shakespearean actress, who is best known as the first wife and muse of Hector Berlioz.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Harriet_Smithson	http://dbpedia.org/resource/Hector_Berlioz
5	Divorced from actress Jennifer Aniston, to whom he was married for five years, he has been married to actress Angelina Jolie since 2014.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Brad_Pitt	http://dbpedia.org/resource/Jennifer_Aniston
6	To the public at the time, Leigh was strongly identified with her second husband Laurence Olivier, to whom she was married from 1940 to 1960.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Vivien_Leigh	http://dbpedia.org/resource/Laurence_Olivier
7	Discontent among the members of France's middle and lower classes resulted in strengthened opposition to the French aristocracy and to the absolute monarchy, of which Louis and his wife, queen Marie Antoinette, were viewed as representatives.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Louis_XVI_of_France	http://dbpedia.org/resource/Marie_Antoinette
8	Yekaterina I Alekseyevna, born Polish: Marta Helena Skowrońska, later known as Marta Samuilovna Skavronskaya; 15 April [O.S. 5 April] 1684 – 17 May [O.S. 6 May] 1727) was the second wife of Peter the Great and Empress of Russia from 1725 until her death.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Catherine_I_of_Russia	http://dbpedia.org/resource/Peter_the_Great
9	During the filming, Taylor and co-star Richard Burton began having an extramarital affair which caused a scandal.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Elizabeth_Taylor	http://dbpedia.org/resource/Richard_Burton
10	After a decade in American films, she starred in Roberto Rossellini's Stromboli (1950), following the revelation that she was having an extramarital affair with the director.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Ingrid_Bergman	http://dbpedia.org/resource/Roberto_Rossellini
11	She was married to fellow poet Ted Hughes from 1956 until they separated in September 1962.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Sylvia_Plath	http://dbpedia.org/resource/Ted_Hughes
12	Following her marriage to Val Kilmer in 1988, she was credited as Joanne Whalley-Kilmer until their divorce in 1996.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Joanne_Whalley	http://dbpedia.org/resource/Val_Kilmer
13	Following relationships with Brad Pitt and Ben Affleck, Paltrow married Chris Martin, the lead vocalist of band Coldplay, in 2003; they have two children.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Gwyneth_Paltrow	http://dbpedia.org/resource/Chris_Martin
14	She is the widow of Aaron Spelling.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Candy_Spelling	http://dbpedia.org/resource/Aaron_Spelling
15	Already a \"liberated\" woman (for the time), it was her meeting, and subsequent marriage to, Léon Brunschvicg, a feminist philosopher and member of the Ligue des droits de l'homme, that spurred her to feminist activism; she became vice-president of the League of Electors for women's suffrage.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Cécile_Brunschvicg	http://dbpedia.org/resource/Léon_Brunschvicg
16	Swan and Bates, that she was a few inches taller than her husband Martin Van Buren Bates who was 7'9\" or 7'11\"; she did not wear heeled shoes in photos with Martin because he was not fond of the fact she was taller than him.	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Anna_Haining_Bates	http://dbpedia.org/resource/Martin_Van_Buren_Bates
